bill_number,bill_idx
H.J.RES.28,0
H.J.RES.31,1
H.R.1,2
H.R.1006,3
H.R.1007,4
H.R.1008,5
H.R.1027,6
H.R.1034,7
H.R.1035,8
H.R.1044,9
H.R.107,10
H.R.1084,11
H.R.1096,12
H.R.1101,13
H.R.1108,14
H.R.1158,15
H.R.1166,16
H.R.1171,17
H.R.1185,18
H.R.1220,19
H.R.1226,20
H.R.1301,21
H.R.1374,22
H.R.1375,23
H.R.1398,24
H.R.1406,25
H.R.1423,26
H.R.1439,27
H.R.1499,28
H.R.1500,29
H.R.1503,30
H.R.1520,31
H.R.1595,32
H.R.1614,33
H.R.1618,34
H.R.1625,35
H.R.1644,36
H.R.1668,37
H.R.1685,38
H.R.1693,39
H.R.1725,40
H.R.1756,41
H.R.1768,42
H.R.1815,43
H.R.1834,44
H.R.1860,45
H.R.1862,46
H.R.1865,47
H.R.1869,48
H.R.19,49
H.R.1922,50
H.R.1940,51
H.R.1954,52
H.R.1957,53
H.R.1961,54
H.R.1976,55
H.R.1994,56
H.R.2,57
H.R.2013,58
H.R.2015,59
H.R.2042,60
H.R.2054,61
H.R.2062,62
H.R.2074,63
H.R.2096,64
H.R.2113,65
H.R.2114,66
H.R.2115,67
H.R.2157,68
H.R.2164,69
H.R.2202,70
H.R.2207,71
H.R.2208,72
H.R.2213,73
H.R.2227,74
H.R.2256,75
H.R.2296,76
H.R.2328,77
H.R.2337,78
H.R.2353,79
H.R.2355,80
H.R.2377,81
H.R.2416,82
H.R.2426,83
H.R.2447,84
H.R.2474,85
H.R.2479,86
H.R.2500,87
H.R.251,88
H.R.2513,89
H.R.2514,90
H.R.2533,91
H.R.2575,92
H.R.2577,93
H.R.2591,94
H.R.2597,95
H.R.2608,96
H.R.2616,97
H.R.2626,98
H.R.2638,99
H.R.264,100
H.R.2682,101
H.R.2684,102
H.R.269,103
H.R.2711,104
H.R.2740,105
H.R.2741,106
H.R.2745,107
H.R.2839,108
H.R.2881,109
H.R.2960,110
H.R.2968,111
H.R.2986,112
H.R.3,113
H.R.302,114
H.R.3031,115
H.R.3052,116
H.R.3055,117
H.R.3079,118
H.R.3107,119
H.R.3111,120
H.R.3151,121
H.R.3162,122
H.R.3163,123
H.R.3164,124
H.R.3167,125
H.R.3182,126
H.R.3240,127
H.R.3256,128
H.R.3279,129
H.R.3300,130
H.R.3301,131
H.R.3351,132
H.R.3375,133
H.R.3388,134
H.R.34,135
H.R.3401,136
H.R.3407,137
H.R.3432,138
H.R.3494,139
H.R.3502,140
H.R.3561,141
H.R.358,142
H.R.3593,143
H.R.360,144
H.R.362,145
H.R.3623,146
H.R.3630,147
H.R.3632,148
H.R.3666,149
H.R.3693,150
H.R.370,151
H.R.3791,152
H.R.3811,153
H.R.3828,154
H.R.3877,155
H.R.3931,156
H.R.3941,157
H.R.3994,158
H.R.4035,159
H.R.4127,160
H.R.4171,161
H.R.4227,162
H.R.4229,163
H.R.4329,164
H.R.4378,165
H.R.4455,166
H.R.4459,167
H.R.4461,168
H.R.4462,169
H.R.4549,170
H.R.4592,171
H.R.4597,172
H.R.4634,173
H.R.4674,174
H.R.4692,175
H.R.4695,176
H.R.4796,177
H.R.4855,178
H.R.4863,179
H.R.4895,180
H.R.4978,181
H.R.5,182
H.R.5035,183
H.R.510,184
H.R.5119,185
H.R.5120,186
H.R.5139,187
H.R.5140,188
H.R.5170,189
H.R.5195,190
H.R.5240,191
H.R.530,192
H.R.535,193
H.R.5376,194
H.R.5427,195
H.R.5428,196
H.R.5430,197
H.R.5515,198
H.R.582,199
H.R.5841,200
H.R.6,201
H.R.648,202
H.R.680,203
H.R.705,204
H.R.748,205
H.R.763,206
H.R.803,207
H.R.861,208
H.R.911,209
H.R.940,210
H.R.946,211
H.R.965,212
H.R.978,213
H.R.985,214
H.RES.109,215
H.RES.153,216
S.1,217
S.1019,218
S.1020,219
S.1060,220
S.1084,221
S.1089,222
S.1094,223
S.1112,224
S.1142,225
S.1178,226
S.1201,227
S.1206,228
S.1214,229
S.1215,230
S.1273,231
S.1298,232
S.1306,233
S.1356,234
S.1359,235
S.1363,236
S.1372,237
S.1398,238
S.1431,239
S.1441,240
S.1457,241
S.1473,242
S.1487,243
S.1507,244
S.151,245
S.1522,246
S.1531,247
S.1558,248
S.1564,249
S.1589,250
S.1602,251
S.1625,252
S.1685,253
S.1699,254
S.1700,255
S.1706,256
S.172,257
S.174,258
S.1750,259
S.1760,260
S.1790,261
S.1822,262
S.189,263
S.1895,264
S.1900,265
S.1939,266
S.1982,267
S.1989,268
S.203,269
S.2033,270
S.2038,271
S.2039,272
S.2040,273
S.2041,274
S.2082,275
S.2095,276
S.2098,277
S.2137,278
S.2155,279
S.2178,280
S.2201,281
S.2223,282
S.2249,283
S.2293,284
S.2299,285
S.2300,286
S.2302,287
S.2332,288
S.2333,289
S.2418,290
S.245,291
S.2470,292
S.2474,293
S.2506,294
S.2520,295
S.2522,296
S.2524,297
S.2543,298
S.2556,299
S.2563,300
S.2580,301
S.2582,302
S.2583,303
S.2584,304
S.2641,305
S.2644,306
S.2662,307
S.2789,308
S.2800,309
S.287,310
S.2877,311
S.2881,312
S.29,313
S.2908,314
S.2921,315
S.2956,316
S.2968,317
S.2987,318
S.300,319
S.3043,320
S.3052,321
S.317,322
S.321,323
S.340,324
S.343,325
S.365,326
S.3676,327
S.383,328
S.386,329
S.448,330
S.460,331
S.463,332
S.47,333
S.475,334
S.476,335
S.482,336
S.510,337
S.569,338
S.583,339
S.603,340
S.604,341
S.617,342
S.638,343
S.64,344
S.640,345
S.649,346
S.657,347
S.659,348
S.670,349
S.674,350
S.682,351
S.684,352
S.692,353
S.724,354
S.734,355
S.747,356
S.748,357
S.762,358
S.764,359
S.765,360
S.788,361
S.80,362
S.803,363
S.826,364
S.839,365
S.842,366
S.847,367
S.893,368
S.911,369
S.918,370
S.919,371
S.920,372
S.926,373
S.950,374
S.952,375
S.972,376
S.978,377
S.988,378
S.993,379
S.RES.59,380
