bill_number,bill_idx
H.CON.RES.23,0
H.J.RES.1,1
H.J.RES.111,2
H.J.RES.28,3
H.J.RES.30,4
H.J.RES.31,5
H.R.1,6
H.R.10,7
H.R.1004,8
H.R.1006,9
H.R.1007,10
H.R.1008,11
H.R.1018,12
H.R.1027,13
H.R.1029,14
H.R.1034,15
H.R.1035,16
H.R.1038,17
H.R.1043,18
H.R.1044,19
H.R.1046,20
H.R.1062,21
H.R.107,22
H.R.1084,23
H.R.1096,24
H.R.1101,25
H.R.1108,26
H.R.1149,27
H.R.1158,28
H.R.1166,29
H.R.1171,30
H.R.1175,31
H.R.1185,32
H.R.1194,33
H.R.1220,34
H.R.1224,35
H.R.1226,36
H.R.1249,37
H.R.1279,38
H.R.1301,39
H.R.1304,40
H.R.1315,41
H.R.1316,42
H.R.1332,43
H.R.1344,44
H.R.135,45
H.R.1361,46
H.R.1374,47
H.R.1375,48
H.R.1384,49
H.R.1398,50
H.R.1406,51
H.R.1417,52
H.R.1420,53
H.R.1423,54
H.R.1426,55
H.R.1439,56
H.R.1443,57
H.R.1471,58
H.R.1485,59
H.R.1499,60
H.R.15,61
H.R.1500,62
H.R.1502,63
H.R.1503,64
H.R.1506,65
H.R.1520,66
H.R.1544,67
H.R.1549,68
H.R.1555,69
H.R.1559,70
H.R.1567,71
H.R.1575,72
H.R.1585,73
H.R.1595,74
H.R.1602,75
H.R.1607,76
H.R.1614,77
H.R.1618,78
H.R.1625,79
H.R.1628,80
H.R.1644,81
H.R.1668,82
H.R.1675,83
H.R.1679,84
H.R.1680,85
H.R.1685,86
H.R.1690,87
H.R.1693,88
H.R.1706,89
H.R.1711,90
H.R.1712,91
H.R.172,92
H.R.1725,93
H.R.1742,94
H.R.1743,95
H.R.1744,96
H.R.1748,97
H.R.1756,98
H.R.1760,99
H.R.1768,100
H.R.1815,101
H.R.1818,102
H.R.1832,103
H.R.1834,104
H.R.1839,105
H.R.1860,106
H.R.1862,107
H.R.1863,108
H.R.1865,109
H.R.1869,110
H.R.1876,111
H.R.1879,112
H.R.19,113
H.R.1907,114
H.R.1910,115
H.R.1922,116
H.R.1938,117
H.R.1940,118
H.R.1941,119
H.R.1948,120
H.R.195,121
H.R.1954,122
H.R.1957,123
H.R.1959,124
H.R.1961,125
H.R.1975,126
H.R.1976,127
H.R.1994,128
H.R.2,129
H.R.2000,130
H.R.2005,131
H.R.2013,132
H.R.2015,133
H.R.2042,134
H.R.2044,135
H.R.205,136
H.R.2054,137
H.R.2062,138
H.R.2063,139
H.R.2074,140
H.R.2093,141
H.R.2096,142
H.R.2102,143
H.R.2113,144
H.R.2114,145
H.R.2115,146
H.R.2119,147
H.R.2120,148
H.R.2139,149
H.R.2144,150
H.R.2157,151
H.R.2163,152
H.R.2164,153
H.R.2170,154
H.R.2181,155
H.R.2195,156
H.R.22,157
H.R.2202,158
H.R.2204,159
H.R.2207,160
H.R.2208,161
H.R.2213,162
H.R.2220,163
H.R.2227,164
H.R.224,165
H.R.2256,166
H.R.2296,167
H.R.2314,168
H.R.2318,169
H.R.2328,170
H.R.2337,171
H.R.2353,172
H.R.2355,173
H.R.2367,174
H.R.2376,175
H.R.2377,176
H.R.2382,177
