company,company_idx
3M,0
ABBVIE,1
AIG,2
ALLSTATE,3
ALPHABET,4
AMAZON,5
AMERICAN AIRLINES GROUP,6
AMERICAN EXPRESS,7
AMERISOURCEBERGEN,8
ARCHER DANIELS MIDLAND,9
AT&T,10
BANK OF AMERICA,11
BERKSHIRE HATHAWAY,12
BEST BUY,13
BOEING,14
CAPITAL ONE FINANCIAL,15
CARDINAL HEALTH,16
CATERPILLAR,17
CENTENE,18
CHARTER COMMUNICATIONS,19
CHEVRON,20
CHS,21
CIGNA,22
CISCO SYSTEMS,23
CITIGROUP,24
COCA-COLA,25
COMCAST,26
CONOCOPHILLIPS,27
COSTCO,28
CVS HEALTH,29
DEERE,30
DELL TECHNOLOGIES,31
DELTA AIR LINES,32
DUPONT DE NEMOURS,33
ENERGY TRANSFER,34
ENTERPRISE PRODUCTS PARTNERS,35
EXELON,36
EXXONMOBIL,37
FACEBOOK,38
FEDEX,39
FORD,40
GENERAL DYNAMICS,41
GENERAL ELECTRIC,42
GENERAL MOTORS,43
GOLDMAN SACHS GROUP,44
HCA HEALTHCARE,45
HOME DEPOT,46
HONEYWELL INTERNATIONAL,47
HP,48
HUMANA,49
IBM,50
INTEL,51
JOHNSON & JOHNSON,52
JPMORGAN CHASE & CO.,53
KROGER,54
LIBERTY MUTUAL INSURANCE GROUP,55
LOCKHEED MARTIN,56
LOWE'S,57
MARATHON PETROLEUM,58
MASSACHUSETTS MUTUAL LIFE INSURANCE,59
MCKESSON,60
MERCK,61
METLIFE,62
MICROSOFT,63
NATIONWIDE,64
NEW YORK LIFE INSURANCE,65
NIKE,66
ORACLE,67
PEPSICO,68
PHILLIPS 66,69
PROCTER & GAMBLE,70
PRUDENTIAL FINANCIAL,71
PUBLIX SUPER MARKETS,72
STATE FARM INSURANCE,73
SYSCO,74
TIAA,75
UNITED AIRLINES HOLDINGS,76
UNITED PARCEL SERVICE,77
UNITED TECHNOLOGIES,78
VALERO ENERGY,79
VERIZON,80
WALGREENS BOOTS ALLIANCE,81
WALMART,82
WALT DISNEY,83
WELLS FARGO,84
