company,company_idx
3M,0
ABBOTT LABORATORIES,1
ABBVIE,2
ABM INDUSTRIES,3
ADOBE,4
ADP,5
ADVANCED MICRO DEVICES,6
AECOM,7
AES,8
AFLAC,9
AIG,10
AIR PRODUCTS & CHEMICALS,11
AK STEEL HOLDING,12
ALASKA AIR GROUP,13
ALLSTATE,14
ALLY FINANCIAL,15
ALPHABET,16
ALTRIA GROUP,17
AMAZON,18
AMEREN,19
AMERICAN AIRLINES GROUP,20
AMERICAN ELECTRIC POWER,21
AMERICAN EXPRESS,22
AMERICAN FAMILY INSURANCE GROUP,23
AMERICAN TOWER,24
AMERIPRISE FINANCIAL,25
AMERISOURCEBERGEN,26
AMGEN,27
APPLIED MATERIALS,28
ARAMARK,29
ARCHER DANIELS MIDLAND,30
ARCONIC,31
ASSURANT,32
AT&T,33
BALL,34
BANK OF AMERICA,35
BANK OF NEW YORK MELLON,36
BAXTER INTERNATIONAL,37
BECTON DICKINSON,38
BERKSHIRE HATHAWAY,39
BEST BUY,40
BIOGEN,41
BLACKROCK,42
BLACKSTONE GROUP,43
BOEING,44
BORGWARNER,45
BOSTON SCIENTIFIC,46
BRISTOL-MYERS SQUIBB,47
BROADCOM,48
CAESARS ENTERTAINMENT,49
CALPINE,50
CAPITAL ONE FINANCIAL,51
CARDINAL HEALTH,52
CATERPILLAR,53
CBS,54
CENTENE,55
CENTERPOINT ENERGY,56
CHARLES SCHWAB,57
CHARTER COMMUNICATIONS,58
CHEMOURS,59
CHEVRON,60
CHS,61
CIGNA,62
CINTAS,63
CISCO SYSTEMS,64
CITIGROUP,65
CITIZENS FINANCIAL GROUP,66
CMS ENERGY,67
COCA-COLA,68
COGNIZANT TECHNOLOGY SOLUTIONS,69
COMCAST,70
CONAGRA BRANDS,71
CONOCOPHILLIPS,72
CONSOLIDATED EDISON,73
CONSTELLATION BRANDS,74
CORNING,75
COSTCO,76
CSX,77
CUMMINS,78
CVS HEALTH,79
DAVITA,80
DEAN FOODS,81
DEERE,82
DELL TECHNOLOGIES,83
DELTA AIR LINES,84
DISCOVER FINANCIAL SERVICES,85
DISH NETWORK,86
DOMINION ENERGY,87
DTE ENERGY,88
DUKE ENERGY,89
DUPONT DE NEMOURS,90
EBAY,91
ECOLAB,92
