rbo_source,rbo_target,rbo_balanced,bill,leader,follower,q_leader,q_follower,lag_quarters,is_bill_directed,shared_lobbyist_count,shared_firm_count,shared_lobbyists,shared_firms,is_lobbyist_mediated,is_firm_mediated,is_any_mediated,net_lob_connected,net_firm_connected,net_any_connected
3M,ABBVIE,1,S.1895,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,ABBVIE,1,H.R.2740,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,AECOM,1,H.R.2960,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,AECOM,1,S.2302,,,4,4,0,False,0,0,,,False,False,False,False,False,False
3M,AECOM,1,H.R.2968,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,AECOM,1,S.2474,,,3,3,0,False,0,0,,,False,False,False,False,False,False
3M,AECOM,1,S.2470,,,3,3,0,False,0,0,,,False,False,False,False,False,False
3M,AMAZON,1,H.R.2740,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,AMEREN,0,H.R.2740,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,AMEREN,0,S.2302,3M,AMEREN,4,5,1,True,0,0,,,False,False,False,False,False,False
3M,AMGEN,1,S.1895,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,BALL,0,H.R.2968,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,BALL,0,H.R.2740,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,BALL,0,S.2474,,,3,3,0,False,0,0,,,False,False,False,False,False,False
3M,BALL,0,H.R.7617,BALL,3M,6,7,1,True,0,0,,,False,False,False,False,False,False
3M,BECTON DICKINSON,0,S.4264,,,7,7,0,False,0,0,,,False,False,False,False,False,False
3M,BECTON DICKINSON,0,S.692,,,1,1,0,False,0,0,,,False,False,False,False,False,False
3M,BECTON DICKINSON,0,H.R.2207,BECTON DICKINSON,3M,1,2,1,True,0,0,,,False,False,False,False,False,False
3M,BERKSHIRE HATHAWAY,0,S.2302,BERKSHIRE HATHAWAY,3M,3,4,1,True,0,0,,,False,False,False,False,False,False
3M,BIOGEN,0,S.1895,3M,BIOGEN,2,7,5,True,0,0,,,False,False,False,False,False,False
3M,BLACKSTONE GROUP,1,S.1895,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,BLACKSTONE GROUP,1,S.317,,,1,1,0,False,0,0,,,False,False,False,False,False,False
3M,BOEING,1,S.1895,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,BOSTON SCIENTIFIC,0,S.692,,,1,1,0,False,0,0,,,False,False,False,False,False,False
3M,BOSTON SCIENTIFIC,0,H.R.2207,BOSTON SCIENTIFIC,3M,1,2,1,True,0,0,,,False,False,False,False,False,False
3M,CARDINAL HEALTH,0,S.692,,,1,1,0,False,0,0,,,False,False,False,False,False,False
3M,CARDINAL HEALTH,0,H.R.2207,CARDINAL HEALTH,3M,1,2,1,True,0,0,,,False,False,False,False,False,False
3M,CATERPILLAR,0,S.1895,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,CATERPILLAR,0,H.R.3052,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,CATERPILLAR,0,S.2580,,,3,3,0,False,0,0,,,False,False,False,False,False,False
3M,CATERPILLAR,0,S.2302,CATERPILLAR,3M,3,4,1,True,0,0,,,False,False,False,False,False,False
3M,CENTENE,1,S.1895,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,CENTENE,1,H.R.1226,,,1,1,0,False,0,0,,,False,False,False,False,False,False
3M,CHEMOURS,0,S.4264,,,7,7,0,False,0,0,,,False,False,False,False,False,False
3M,CHEMOURS,0,H.R.535,3M,CHEMOURS,1,5,4,True,0,0,,,False,False,False,False,False,False
3M,CHEMOURS,0,S.2302,3M,CHEMOURS,4,6,2,True,0,0,,,False,False,False,False,False,False
3M,CHEVRON,0,H.R.535,3M,CHEVRON,1,4,3,True,0,0,,,False,False,False,False,False,False
3M,CHEVRON,0,S.2580,,,3,3,0,False,0,0,,,False,False,False,False,False,False
3M,CIGNA,1,S.1895,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,CORNING,0,H.R.2740,,,2,2,0,False,0,0,,,False,False,False,False,False,False
3M,CORNING,0,H.R.2207,CORNING,3M,1,2,1,True,0,0,,,False,False,False,False,False,False
3M,CORNING,0,H.R.3052,3M,CORNING,2,4,2,True,0,0,,,False,False,False,False,False,False
3M,CORNING,0,H.R.2968,3M,CORNING,2,4,2,True,0,0,,,False,False,False,False,False,False
