firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
COCA-COLA,5,0.581808,3.4857,0.8028,0.006202,0.034195,kinless_hub
AT&T,1,0.51223,3.6628,0.6129,0.01096,0.073711,connector_hub
VERIZON,1,0.452001,2.7487,0.547,0.00779,0.05774,connector_hub
BRISTOL-MYERS SQUIBB,4,0.43127,2.7971,0.4384,0.00617,0.041436,connector_hub
CHARTER COMMUNICATIONS,1,0.420954,2.3799,0.4819,0.006784,0.055078,peripheral
ILLINOIS TOOL WORKS,5,0.406815,0.6036,0.7483,0.002472,0.03036,non_hub_connector
CMS ENERGY,2,0.402848,2.7461,0.4515,0.019894,0.305877,connector_hub
BERKSHIRE HATHAWAY,2,0.394008,2.6896,0.5035,0.021143,0.307882,connector_hub
NATIONWIDE,0,0.392003,3.4454,0.6452,0.012293,0.068938,connector_hub
DTE ENERGY,2,0.37579,2.4899,0.4403,0.018149,0.285774,peripheral
AMERIPRISE FINANCIAL,0,0.374905,3.4304,0.4983,0.010058,0.053475,connector_hub
AK STEEL HOLDING,5,0.368636,0.8341,0.6575,0.001605,0.024895,non_hub_connector
AMGEN,4,0.347999,1.8469,0.5579,0.005676,0.036711,peripheral
ABBVIE,4,0.330422,1.6379,0.587,0.005273,0.039151,peripheral
NORTHWESTERN MUTUAL,0,0.330134,2.5454,0.3427,0.007103,0.040734,connector_hub
CVS HEALTH,4,0.327796,2.0749,0.4652,0.005563,0.035626,peripheral
NUCOR,5,0.326021,0.2577,0.5533,0.00105,0.02226,peripheral
LOCKHEED MARTIN,3,0.321161,2.2583,0.6773,0.011675,0.110767,non_hub_connector
DELTA AIR LINES,3,0.310697,2.2703,0.581,0.009428,0.089714,peripheral
EXELON,2,0.308949,1.8952,0.5047,0.016518,0.244346,peripheral
ALLSTATE,0,0.30793,2.2454,0.3911,0.006796,0.03954,peripheral
XCEL ENERGY,2,0.303535,2.0081,0.4346,0.015855,0.235749,peripheral
MICROSOFT,1,0.28441,1.7224,0.7154,0.008004,0.062454,non_hub_connector
CIGNA,4,0.275239,1.6759,0.6387,0.006049,0.045684,non_hub_connector
RAYTHEON,3,0.272423,1.5761,0.6432,0.008762,0.075754,non_hub_connector
AMERICAN FAMILY INSURANCE GROUP,0,0.266339,1.6604,0.6786,0.007816,0.054158,non_hub_connector
GENERAL ELECTRIC,3,0.260278,1.6838,0.7304,0.012646,0.108152,non_hub_connector
INTERNATIONAL PAPER,5,0.258684,0.2577,0.7944,0.004099,0.036174,non_hub_connector
PPL,2,0.247988,1.3048,0.4528,0.012,0.194864,peripheral
HARTFORD FINANCIAL SERVICES,0,0.245337,2.3354,0.577,0.008483,0.051943,peripheral
IBM,1,0.242182,2.6846,0.7472,0.014711,0.09453,connector_hub
CENTENE,4,0.241216,1.5619,0.7227,0.007513,0.066088,non_hub_connector
GENERAL DYNAMICS,3,0.237025,1.229,0.6339,0.007391,0.077273,non_hub_connector
PRINCIPAL FINANCIAL,0,0.235499,1.3454,0.6097,0.006284,0.043396,peripheral
HUMANA,4,0.23196,1.2578,0.5651,0.00448,0.037353,peripheral
PEPSICO,5,0.231908,0.0271,0.7658,0.001389,0.021418,non_hub_connector
LEIDOS HOLDINGS,3,0.230968,1.241,0.6108,0.007168,0.070631,peripheral
