firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
LIVE NATION ENTERTAINMENT,5,1.0,0.0,0.3193,0.001882,0.017179,peripheral
EBAY,5,1.0,0.0,0.3946,0.001961,0.017487,peripheral
SALESFORCE,1,0.354631,2.6824,0.1543,0.005844,0.073124,provincial_hub
STATE STREET CORP.,2,0.325013,1.5673,0.1187,0.004982,0.087077,peripheral
VISA,2,0.325013,1.5673,0.1187,0.004982,0.087077,peripheral
ALLY FINANCIAL,2,0.323443,1.5731,0.1524,0.005135,0.087579,peripheral
CVS HEALTH,3,0.317141,2.0045,0.3739,0.005238,0.046181,peripheral
WESCO INTERNATIONAL,4,0.316831,1.6167,0.2799,0.007821,0.20574,peripheral
OWENS-ILLINOIS,4,0.316831,1.6167,0.2799,0.007821,0.20574,peripheral
COSTCO,4,0.316831,1.6167,0.2799,0.007821,0.20574,peripheral
COGNIZANT TECHNOLOGY SOLUTIONS,1,0.314107,1.8286,0.2635,0.005003,0.066147,peripheral
BEST BUY,4,0.308869,1.5251,0.3366,0.008149,0.202475,peripheral
NEXTERA ENERGY,4,0.303456,1.459,0.3308,0.007794,0.200124,peripheral
BLACKSTONE GROUP,3,0.294619,1.3602,0.3479,0.004252,0.040705,peripheral
AMERICAN EXPRESS,2,0.292335,1.2301,0.2322,0.004903,0.082582,peripheral
TEXAS INSTRUMENTS,1,0.29031,1.7533,0.2808,0.005084,0.064065,peripheral
FIFTH THIRD BANCORP,2,0.2896,1.4595,0.4944,0.007056,0.134598,peripheral
CENTENE,3,0.289235,1.3508,0.4676,0.004744,0.043576,peripheral
U.S. BANCORP,2,0.281215,1.8999,0.1303,0.005791,0.085198,peripheral
APPLIED MATERIALS,4,0.280522,1.2116,0.551,0.00985,0.208293,peripheral
DTE ENERGY,0,0.275319,2.2307,0.1849,0.006612,0.062689,peripheral
MAGELLAN HEALTH,3,0.274906,1.2146,0.3609,0.00409,0.041221,peripheral
PNC FINANCIAL SERVICES,2,0.272596,1.5094,0.3197,0.005884,0.087806,peripheral
BORGWARNER,4,0.269217,1.0713,0.2825,0.00661,0.176377,peripheral
NORTHERN TRUST,2,0.26865,1.8901,0.1903,0.00619,0.086516,peripheral
PPL,0,0.26246,1.7646,0.1267,0.005593,0.055517,peripheral
CMS ENERGY,0,0.261351,2.0456,0.2219,0.006526,0.061468,peripheral
ELI LILLY,3,0.260815,0.9079,0.392,0.003857,0.039195,peripheral
CIGNA,3,0.260539,1.2053,0.4841,0.004775,0.041753,peripheral
HUMANA,3,0.258277,1.163,0.41,0.004224,0.041725,peripheral
HCA HEALTHCARE,3,0.256569,0.8535,0.3968,0.003908,0.037346,peripheral
SYNCHRONY FINANCIAL,2,0.25312,0.8304,0.2213,0.004207,0.07273,peripheral
XCEL ENERGY,0,0.250091,1.738,0.1519,0.005673,0.055187,peripheral
DUKE ENERGY,0,0.245318,2.2146,0.1867,0.006727,0.061718,peripheral
ORACLE,1,0.241813,1.9068,0.6332,0.008465,0.105671,non_hub_connector
BIOGEN,3,0.239263,1.0763,0.4657,0.004313,0.046298,peripheral
MICROSOFT,1,0.238285,1.7229,0.6063,0.007308,0.098437,peripheral
