firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
TENNECO,20,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
PRINCIPAL FINANCIAL,27,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
FORD,21,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
EOG RESOURCES,25,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
LAM RESEARCH,19,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
NAVIENT,23,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
USAA,27,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
NETAPP,24,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
CISCO SYSTEMS,24,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
NEWMONT,25,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
CIGNA,23,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
WESTROCK,26,1.0,0.0,0.0,0.006803,0.033097,ultra_peripheral
CATERPILLAR,18,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
CAPITAL ONE FINANCIAL,22,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
PNC FINANCIAL SERVICES,22,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
GRAPHIC PACKAGING HOLDING,26,1.0,0.0,0.0,0.006803,0.033097,ultra_peripheral
AT&T,21,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
AMAZON,18,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
ARROW ELECTRONICS,20,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
APPLIED MATERIALS,19,1.0,0.0,0.0,0.006803,0.031295,ultra_peripheral
MICRON TECHNOLOGY,14,0.707107,1.4142,0.0,0.009922,0.03292,ultra_peripheral
WELLS FARGO,17,0.707107,1.4142,0.0,0.009922,0.03292,ultra_peripheral
FIDELITY NATIONAL FINANCIAL,15,0.707107,1.069,0.0,0.009922,0.03679,ultra_peripheral
HENRY SCHEIN,16,0.707106,0.9806,0.0,0.009922,0.039115,ultra_peripheral
ALPHABET,13,0.707106,1.4027,0.0832,0.014893,0.200166,peripheral
RAYTHEON,12,0.701592,1.0864,0.0,0.01205,0.075739,ultra_peripheral
UNITED TECHNOLOGIES,12,0.698778,0.9054,0.0,0.010781,0.074633,ultra_peripheral
LEIDOS HOLDINGS,10,0.697173,1.1163,0.0,0.011836,0.055708,ultra_peripheral
KOHL'S,10,0.69202,0.8682,0.0,0.010345,0.054519,ultra_peripheral
JOHNSON & JOHNSON,16,0.685995,0.3922,0.0,0.007777,0.037758,ultra_peripheral
DISCOVERY,7,0.679892,1.6615,0.2604,0.011579,0.064305,peripheral
REPUBLIC SERVICES,15,0.67082,0.2673,0.0,0.007355,0.035379,ultra_peripheral
IBM,13,0.631169,0.3825,0.1244,0.00955,0.177561,peripheral
ALLIANCE DATA SYSTEMS,6,0.618063,2.1381,0.0,0.013052,0.042794,ultra_peripheral
ELI LILLY,3,0.616482,2.3632,0.0,0.014742,0.085575,ultra_peripheral
COMCAST,11,0.603508,0.5774,0.0,0.007776,0.035109,ultra_peripheral
PHILIP MORRIS INTERNATIONAL,11,0.603508,0.5774,0.0,0.007776,0.035109,ultra_peripheral
NAVISTAR INTERNATIONAL,7,0.601695,0.2374,0.0,0.00632,0.052923,ultra_peripheral
