firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
KEURIG DR PEPPER,7,1.0,0.0,0.0,0.003937,0.016583,ultra_peripheral
WASTE MANAGEMENT,7,1.0,0.0,0.0,0.003937,0.016583,ultra_peripheral
COCA-COLA,6,0.487477,1.2424,0.3455,0.005926,0.034613,peripheral
PEPSICO,6,0.486045,1.1707,0.2755,0.005189,0.033239,peripheral
BERKSHIRE HATHAWAY,1,0.464411,1.5534,0.306,0.004665,0.037005,peripheral
HOME DEPOT,6,0.436399,1.1569,0.5254,0.006205,0.044049,peripheral
LOWE'S,6,0.430751,1.4333,0.2632,0.005476,0.035185,peripheral
CSX,1,0.430278,1.1511,0.1014,0.003669,0.0306,peripheral
PPL,3,0.392896,2.2174,0.042,0.00726,0.077637,ultra_peripheral
PNC FINANCIAL SERVICES,4,0.374306,2.2695,0.2069,0.007371,0.080298,peripheral
UNION PACIFIC,1,0.363077,0.9925,0.5568,0.004694,0.045716,peripheral
DTE ENERGY,3,0.357476,1.8622,0.0815,0.006743,0.072324,peripheral
BLACKSTONE GROUP,2,0.354502,1.8431,0.1189,0.005916,0.056708,peripheral
CENTENE,2,0.3541,2.0161,0.1663,0.006366,0.05997,peripheral
TEXAS INSTRUMENTS,0,0.349928,2.1606,0.2304,0.007732,0.11827,peripheral
NORTHERN TRUST,4,0.345615,2.1446,0.1356,0.007017,0.069518,peripheral
CVS HEALTH,2,0.337386,2.1804,0.1901,0.006848,0.065516,peripheral
HEWLETT PACKARD ENTERPRISE,0,0.332276,2.1349,0.4351,0.009122,0.128342,peripheral
FIFTH THIRD BANCORP,4,0.329284,1.5554,0.4819,0.007902,0.111047,peripheral
XCEL ENERGY,3,0.327172,1.9257,0.1472,0.007275,0.07316,peripheral
FIRSTENERGY,3,0.326716,1.6765,0.0823,0.006531,0.069257,peripheral
NORFOLK SOUTHERN,1,0.31623,0.243,0.0,0.002429,0.02443,ultra_peripheral
MICROSOFT,0,0.310803,1.9498,0.5479,0.009657,0.138766,peripheral
HCA HEALTHCARE,2,0.309215,1.4649,0.275,0.005893,0.055847,peripheral
NORTHWESTERN MUTUAL,4,0.303174,1.4336,0.4741,0.007368,0.069566,peripheral
AMERICAN ELECTRIC POWER,3,0.303043,1.4861,0.1128,0.006237,0.067033,peripheral
CMS ENERGY,3,0.300742,1.1472,0.058,0.005224,0.060662,peripheral
COGNIZANT TECHNOLOGY SOLUTIONS,0,0.298782,1.417,0.2031,0.005792,0.099714,peripheral
AMERICAN EXPRESS,4,0.295165,1.1978,0.3475,0.005927,0.065001,peripheral
NATIONWIDE,5,0.294734,1.6477,0.2508,0.00911,0.189627,peripheral
SYNCHRONY FINANCIAL,4,0.293095,1.1083,0.1905,0.005066,0.056952,peripheral
PRUDENTIAL FINANCIAL,5,0.292268,1.8273,0.3093,0.010302,0.192261,peripheral
ORACLE,0,0.288669,1.6793,0.5837,0.009554,0.130006,peripheral
CUMMINS,0,0.286216,2.1129,0.5542,0.010809,0.130302,peripheral
HARTFORD FINANCIAL SERVICES,5,0.278806,1.2988,0.4492,0.009836,0.193582,peripheral
U.S. BANCORP,4,0.27834,1.3109,0.0768,0.005288,0.055678,peripheral
FACEBOOK,5,0.276418,1.287,0.5241,0.011996,0.227002,peripheral
MAGELLAN HEALTH,2,0.275406,1.1239,0.1651,0.004834,0.051188,peripheral
SALESFORCE,0,0.275088,1.5262,0.1632,0.005959,0.09404,peripheral
ABBVIE,5,0.272896,1.2821,0.5457,0.012575,0.20797,peripheral
CITIGROUP,5,0.269314,1.2302,0.4847,0.010492,0.191759,peripheral
ALLY FINANCIAL,4,0.265279,0.9132,0.0825,0.004497,0.050074,peripheral
BEST BUY,5,0.260504,1.111,0.2726,0.008025,0.166946,peripheral
INTEL,0,0.259057,1.1774,0.4155,0.006354,0.095491,peripheral
APPLIED MATERIALS,5,0.258485,1.0773,0.5086,0.01062,0.212697,peripheral
CISCO SYSTEMS,0,0.257787,1.2208,0.3522,0.006422,0.097,peripheral
SOUTHERN,3,0.253962,0.7924,0.1361,0.004766,0.056234,peripheral
W.R. BERKLEY,5,0.237455,0.835,0.1023,0.006157,0.147847,peripheral
KEYCORP,4,0.234372,0.9691,0.2423,0.00517,0.058587,peripheral
SYSCO,6,0.231167,-0.3605,0.0,0.002146,0.022609,ultra_peripheral
REGIONS FINANCIAL,4,0.228072,0.4968,0.0317,0.003589,0.044497,ultra_peripheral
DUKE ENERGY,3,0.227403,1.1952,0.253,0.006256,0.062191,peripheral
NEXTERA ENERGY,5,0.225069,0.6661,0.1119,0.00577,0.140271,peripheral
MASSACHUSETTS MUTUAL LIFE INSURANCE,5,0.225069,0.6661,0.1023,0.005748,0.139834,peripheral
BORGWARNER,5,0.225069,0.6661,0.078,0.005653,0.1393,peripheral
EXELON,3,0.224005,0.7184,0.1454,0.004653,0.054167,peripheral
ALPHABET,0,0.22233,1.3068,0.1997,0.006547,0.086327,peripheral
EVERSOURCE ENERGY,3,0.218011,0.9853,0.3866,0.007051,0.060314,peripheral
HUMANA,2,0.216858,0.8332,0.2104,0.004521,0.049069,peripheral
CIGNA,2,0.206252,1.0234,0.2018,0.005131,0.045354,peripheral
DEAN FOODS,6,0.205121,-0.4786,0.5789,0.003454,0.025716,peripheral
BIOGEN,2,0.204893,1.2895,0.3193,0.005654,0.065684,peripheral
GOLDMAN SACHS GROUP,5,0.203154,0.3762,0.1806,0.005301,0.129291,peripheral
WALMART,2,0.192979,0.8063,0.2399,0.004741,0.047046,peripheral
MOLINA HEALTHCARE,2,0.192566,0.4278,0.1338,0.003658,0.039971,peripheral
ELI LILLY,2,0.192556,0.2199,0.1287,0.003469,0.039092,peripheral
GILEAD SCIENCES,2,0.185028,0.8759,0.4109,0.005258,0.059088,peripheral
DELTA AIR LINES,1,0.184894,1.6059,0.4128,0.005171,0.044842,peripheral
MICRON TECHNOLOGY,0,0.18121,0.5472,0.6716,0.008221,0.100831,non_hub_connector
BOEING,2,0.180033,0.174,0.5041,0.004269,0.045782,peripheral
GENERAL DYNAMICS,1,0.176333,1.5221,0.6243,0.006969,0.053366,peripheral
BALL,1,0.176217,1.7309,0.4993,0.00603,0.051682,peripheral
AECOM,1,0.175851,1.3662,0.5787,0.005937,0.048242,peripheral
NORTHROP GRUMMAN,1,0.172357,1.8724,0.5238,0.006443,0.056871,peripheral
MERCK,2,0.172326,0.8903,0.2836,0.004836,0.059014,peripheral
AMAZON,0,0.169581,1.3358,0.4085,0.006825,0.087715,peripheral
ENTERGY,3,0.164953,0.5345,0.671,0.008067,0.082484,non_hub_connector
MUTUAL OF OMAHA INSURANCE,2,0.156365,0.2404,0.6727,0.00598,0.053803,non_hub_connector
GRAPHIC PACKAGING HOLDING,1,0.151677,1.4972,0.3647,0.005177,0.041127,peripheral
APPLE,0,0.148308,0.2289,0.1695,0.004359,0.05409,peripheral
RITE AID,2,0.146911,0.4902,0.6002,0.006428,0.090486,peripheral
HUNTSMAN,5,0.146864,-0.0709,0.5926,0.006573,0.124219,peripheral
FEDEX,1,0.144819,1.5969,0.3332,0.005652,0.038572,peripheral
YUM BRANDS,6,0.144762,0.0169,0.4768,0.003528,0.030302,peripheral
MCDONALD'S,6,0.144722,-0.0156,0.3734,0.003148,0.031483,peripheral
BANK OF AMERICA,4,0.144376,0.1639,0.4563,0.004322,0.05299,peripheral
HOLLYFRONTIER,1,0.140141,1.0845,0.4482,0.004541,0.0419,peripheral
VISA,4,0.137799,-0.229,0.0,0.002382,0.032589,ultra_peripheral
STATE STREET CORP.,4,0.137799,-0.229,0.0,0.002382,0.032589,ultra_peripheral
PUBLIC SERVICE ENTERPRISE GROUP,3,0.137256,0.4282,0.2533,0.004701,0.048515,peripheral
UNITED TECHNOLOGIES,1,0.133328,0.6031,0.6703,0.004903,0.044578,non_hub_connector
LABORATORY CORP. OF AMERICA,2,0.132499,0.6468,0.2724,0.005037,0.038403,peripheral
LEIDOS HOLDINGS,1,0.128874,0.5223,0.7366,0.005528,0.061647,non_hub_connector
WESTROCK,1,0.127473,0.9072,0.2653,0.004042,0.03311,peripheral
GENWORTH FINANCIAL,5,0.126319,-0.301,0.2027,0.003837,0.089516,peripheral
ALASKA AIR GROUP,1,0.123525,1.0837,0.4781,0.005118,0.043558,peripheral
WELLS FARGO,4,0.12186,0.4126,0.2574,0.004541,0.046788,peripheral
WESCO INTERNATIONAL,5,0.118938,-0.503,-0.0,0.002931,0.078487,ultra_peripheral
COSTCO,5,0.118938,-0.503,-0.0,0.002931,0.078487,ultra_peripheral
OWENS-ILLINOIS,5,0.118938,-0.503,-0.0,0.002931,0.078487,ultra_peripheral
DELL TECHNOLOGIES,0,0.118457,1.029,0.6002,0.008167,0.110727,peripheral
GENERAL ELECTRIC,5,0.11724,-0.3586,0.666,0.00722,0.11043,non_hub_connector
IBM,0,0.11723,0.6333,0.5181,0.006344,0.072973,peripheral
JPMORGAN CHASE & CO.,4,0.116969,0.4245,0.4127,0.005338,0.047935,peripheral
METLIFE,5,0.113059,-0.4699,0.0969,0.003187,0.079683,peripheral
CATERPILLAR,5,0.109988,-0.4299,0.7347,0.007499,0.111505,non_hub_connector
FLUOR,1,0.109451,0.7904,0.6402,0.005483,0.051216,non_hub_connector
CORNING,1,0.108921,-0.2057,0.8067,0.005874,0.058395,kinless
KROGER,6,0.108475,-0.1801,0.6802,0.004495,0.03247,non_hub_connector
PG&E,3,0.103951,0.1969,0.4417,0.005036,0.044367,peripheral
NAVISTAR INTERNATIONAL,2,0.102062,-0.5056,0.5006,0.00287,0.031909,peripheral
INTUIT,0,0.100469,-0.0777,0.3468,0.003294,0.049668,peripheral
CONOCOPHILLIPS,2,0.099396,-0.5151,0.6011,0.003765,0.034052,peripheral
TESLA,3,0.099353,0.0494,0.4941,0.004664,0.045521,peripheral
DOMINION ENERGY,3,0.097643,-0.2267,0.1275,0.002883,0.033811,peripheral
3M,2,0.095158,-0.4273,0.7414,0.004981,0.050321,non_hub_connector
AIG,4,0.093667,-0.0089,0.3874,0.003742,0.042358,peripheral
BRISTOL-MYERS SQUIBB,2,0.092262,-0.4411,0.2714,0.002393,0.031744,peripheral
AES,3,0.089385,-0.5719,0.5056,0.003251,0.033031,peripheral
GENERAL MOTORS,0,0.085944,0.4107,0.6038,0.005885,0.064239,peripheral
WEYERHAEUSER,1,0.085845,0.1917,0.5814,0.004334,0.032636,peripheral
CENTERPOINT ENERGY,3,0.080358,0.5702,0.4541,0.006626,0.046179,peripheral
UNITED AIRLINES HOLDINGS,1,0.07978,0.0699,0.5798,0.003688,0.029598,peripheral
AMERICAN AIRLINES GROUP,1,0.079775,0.2033,0.1023,0.002698,0.025444,peripheral
PPG INDUSTRIES,5,0.077486,-0.6028,0.6388,0.005614,0.079983,non_hub_connector
GENERAL MILLS,0,0.07688,0.5335,0.106,0.004133,0.046674,peripheral
SOUTHWEST AIRLINES,1,0.076065,0.1547,0.3157,0.003014,0.026559,peripheral
RAYTHEON,1,0.075267,0.0917,0.6498,0.003953,0.038575,non_hub_connector
AMGEN,2,0.075109,-0.6092,0.3436,0.002245,0.031732,peripheral
WALGREENS BOOTS ALLIANCE,2,0.074568,-0.2429,0.3175,0.003472,0.030352,peripheral
DEERE,5,0.073496,-0.8122,0.186,0.002573,0.060385,peripheral
CAPITAL ONE FINANCIAL,0,0.066662,0.0689,0.5432,0.003838,0.053027,peripheral
EDISON INTERNATIONAL,3,0.065915,-0.3279,0.5329,0.003747,0.039235,peripheral
VERIZON,0,0.064088,-0.0836,0.6102,0.003905,0.049197,peripheral
NEW YORK LIFE INSURANCE,4,0.063443,-0.056,0.4016,0.004037,0.037197,peripheral
LOCKHEED MARTIN,1,0.06311,-0.4194,0.7722,0.004673,0.050078,non_hub_connector
AMERISOURCEBERGEN,2,0.061851,-0.5635,0.0628,0.002132,0.025234,peripheral
JACOBS ENGINEERING GROUP,1,0.060407,0.3597,0.0367,0.002994,0.025341,ultra_peripheral
REGENERON PHARMACEUTICALS,2,0.060198,-0.6777,0.1271,0.001762,0.029883,peripheral
DAVITA,1,0.059085,-0.4618,0.6551,0.002425,0.032078,non_hub_connector
AMEREN,3,0.056819,-0.1962,0.5525,0.004221,0.042526,peripheral
S&P GLOBAL,5,0.054069,-0.9204,0.344,0.002905,0.052124,peripheral
CHS,5,0.053988,-1.0086,0.5668,0.002964,0.055625,peripheral
LINCOLN NATIONAL,5,0.053255,-0.9243,0.4805,0.003401,0.051003,peripheral
ILLINOIS TOOL WORKS,1,0.051736,0.251,0.3834,0.00414,0.025939,peripheral
CARDINAL HEALTH,0,0.050231,0.0892,0.5985,0.004676,0.047163,peripheral
POLARIS INC,1,0.049979,-0.7144,0.067,0.00136,0.021853,peripheral
CITIZENS FINANCIAL GROUP,4,0.048481,-0.3794,0.2165,0.002907,0.028115,peripheral
AT&T,0,0.048279,0.193,0.291,0.00378,0.039151,peripheral
BANK OF NEW YORK MELLON,4,0.047842,-0.5277,0.3863,0.002877,0.027674,peripheral
HONEYWELL INTERNATIONAL,0,0.044907,-0.4009,0.74,0.004084,0.051313,non_hub_connector
STANLEY BLACK & DECKER,0,0.043479,-0.1317,0.3106,0.002769,0.033769,peripheral
CONSTELLATION BRANDS,4,0.041823,-0.3822,0.2338,0.003041,0.028547,peripheral
MARATHON PETROLEUM,3,0.041786,-0.0926,0.3689,0.004053,0.034739,peripheral
INTERNATIONAL PAPER,1,0.041347,-0.6329,0.7293,0.003072,0.032195,non_hub_connector
AIR PRODUCTS & CHEMICALS,1,0.039947,-0.3936,0.5777,0.002643,0.030318,peripheral
WESTERN UNION,5,0.039529,-1.1703,0.5347,0.002493,0.046766,peripheral
MOTOROLA SOLUTIONS,3,0.037681,-0.8643,0.6557,0.002949,0.039477,non_hub_connector
LOEWS,3,0.037475,-0.2547,0.1104,0.003344,0.028413,peripheral
AMERIPRISE FINANCIAL,5,0.036902,-1.1327,0.581,0.002779,0.041846,peripheral
EXXONMOBIL,3,0.036733,-0.6644,0.6842,0.003784,0.035365,non_hub_connector
BLACKROCK,4,0.035571,-0.5948,0.3569,0.00236,0.02788,peripheral
PRINCIPAL FINANCIAL,0,0.034649,-0.6388,0.6683,0.002091,0.035824,non_hub_connector
QUEST DIAGNOSTICS,2,0.034102,-0.1921,0.1745,0.003432,0.02495,peripheral
LUMEN TECHNOLOGIES,0,0.033972,-0.3599,0.3222,0.003618,0.028857,peripheral
