fortune_name,community_aff
AIG,0
ALLSTATE,0
ALLY FINANCIAL,0
ALTRIA GROUP,0
AMERICAN EXPRESS,0
AMERICAN FAMILY INSURANCE GROUP,0
AMERIPRISE FINANCIAL,0
ARCONIC,0
ASSURANT,0
BANK OF AMERICA,0
BANK OF NEW YORK MELLON,0
BLACKROCK,0
BORGWARNER,0
BRIGHTHOUSE FINANCIAL,0
CAPITAL ONE FINANCIAL,0
CELANESE,0
CHARLES SCHWAB,0
CHS,0
CITIGROUP,0
CITIZENS FINANCIAL GROUP,0
CONSTELLATION BRANDS,0
COSTCO,0
DEERE,0
DISCOVER FINANCIAL SERVICES,0
FIFTH THIRD BANCORP,0
FORD,0
GENWORTH FINANCIAL,0
GOLDMAN SACHS GROUP,0
HARTFORD FINANCIAL SERVICES,0
HILTON WORLDWIDE HOLDINGS,0
INTERNATIONAL PAPER,0
JPMORGAN CHASE & CO.,0
KELLOGG,0
KEYCORP,0
LAND O'LAKES,0
LAS VEGAS SANDS,0
LIBERTY MUTUAL INSURANCE GROUP,0
LINCOLN NATIONAL,0
MARRIOTT INTERNATIONAL,0
MARSH & MCLENNAN,0
MASSACHUSETTS MUTUAL LIFE INSURANCE,0
METLIFE,0
MORGAN STANLEY,0
NATIONWIDE,0
NCR,0
NEW YORK LIFE INSURANCE,0
NEXTERA ENERGY,0
NORTHERN TRUST,0
NORTHWESTERN MUTUAL,0
OWENS-ILLINOIS,0
PHILIP MORRIS INTERNATIONAL,0
PNC FINANCIAL SERVICES,0
PRINCIPAL FINANCIAL,0
PRUDENTIAL FINANCIAL,0
PUBLIX SUPER MARKETS,0
REGIONS FINANCIAL,0
S&P GLOBAL,0
STATE FARM INSURANCE,0
STATE STREET CORP.,0
SYNCHRONY FINANCIAL,0
TIAA,0
TRAVELERS,0
U.S. BANCORP,0
UNITED PARCEL SERVICE,0
USAA,0
VISA,0
W.R. BERKLEY,0
WELLS FARGO,0
WESCO INTERNATIONAL,0
WESTERN UNION,0
XEROX,0
YUM CHINA HOLDINGS,0
ADOBE,1
ADP,1
ADVANCED MICRO DEVICES,1
AFLAC,1
ALPHABET,1
AMAZON,1
AMERICAN TOWER,1
APPLE,1
APPLIED MATERIALS,1
AT&T,1
BAXTER INTERNATIONAL,1
BEST BUY,1
BOSTON SCIENTIFIC,1
BROADCOM,1
CAMPBELL SOUP,1
CARDINAL HEALTH,1
CBS,1
CHARTER COMMUNICATIONS,1
CISCO SYSTEMS,1
COCA-COLA,1
COMCAST,1
DEAN FOODS,1
DELL TECHNOLOGIES,1
DISH NETWORK,1
ENTERPRISE PRODUCTS PARTNERS,1
FACEBOOK,1
FOX CORP,1
GAP,1
GENERAL MILLS,1
HARLEY-DAVIDSON,1
HEWLETT PACKARD ENTERPRISE,1
HOME DEPOT,1
HONEYWELL INTERNATIONAL,1
HP,1
IBM,1
IHEARTMEDIA,1
INTEL,1
INTUIT,1
KRAFT HEINZ,1
KROGER,1
LIBERTY MEDIA,1
LOWE'S,1
LUMEN TECHNOLOGIES,1
MCDONALD'S,1
MICRON TECHNOLOGY,1
MICROSOFT,1
MOLSON COORS BEVERAGE,1
NAVIENT,1
NEWS CORP.,1
NIKE,1
ORACLE,1
PEPSICO,1
QUALCOMM,1
QURATE RETAIL,1
SALESFORCE,1
STANLEY BLACK & DECKER,1
SYSCO,1
TARGET,1
TEXAS INSTRUMENTS,1
VERIZON,1
WALT DISNEY,1
WESTERN DIGITAL,1
WINDSTREAM HOLDINGS,1
YUM BRANDS,1
3M,2
AECOM,2
AIR PRODUCTS & CHEMICALS,2
ALASKA AIR GROUP,2
AMERICAN AIRLINES GROUP,2
BALL,2
BOEING,2
BOOZ ALLEN HAMILTON,2
COGNIZANT TECHNOLOGY SOLUTIONS,2
CORNING,2
CSX,2
CUMMINS,2
DAVITA,2
DELTA AIR LINES,2
EMERSON ELECTRIC,2
FEDEX,2
FLUOR,2
GENERAL DYNAMICS,2
GENERAL ELECTRIC,2
GOODYEAR TIRE & RUBBER,2
GRAPHIC PACKAGING HOLDING,2
HALLIBURTON,2
HOLLYFRONTIER,2
HUNTSMAN,2
ILLINOIS TOOL WORKS,2
JACOBS ENGINEERING GROUP,2
JETBLUE AIRWAYS,2
KEURIG DR PEPPER,2
L3HARRIS TECHNOLOGIES,2
LEIDOS HOLDINGS,2
LOCKHEED MARTIN,2
MASCO,2
MOTOROLA SOLUTIONS,2
NORFOLK SOUTHERN,2
NORTHROP GRUMMAN,2
OSHKOSH,2
OWENS CORNING,2
POLARIS INC,2
PPG INDUSTRIES,2
RAYTHEON,2
SOUTHWEST AIRLINES,2
TEXTRON,2
THERMO FISHER SCIENTIFIC,2
UNION PACIFIC,2
UNITED AIRLINES HOLDINGS,2
UNITED TECHNOLOGIES,2
WASTE MANAGEMENT,2
WESTROCK,2
WEYERHAEUSER,2
ABM INDUSTRIES,3
AES,3
AMEREN,3
AMERICAN ELECTRIC POWER,3
ARTHUR J. GALLAGHER,3
BERKSHIRE HATHAWAY,3
BOOKING HOLDINGS,3
CENTERPOINT ENERGY,3
CHEMOURS,3
CHEVRON,3
CMS ENERGY,3
CONOCOPHILLIPS,3
CONSOLIDATED EDISON,3
DOMINION ENERGY,3
DTE ENERGY,3
DUKE ENERGY,3
DUPONT DE NEMOURS,3
ECOLAB,3
EDISON INTERNATIONAL,3
ENERGY TRANSFER,3
ENTERGY,3
EVERSOURCE ENERGY,3
EXELON,3
EXXONMOBIL,3
FIRSTENERGY,3
GENERAL MOTORS,3
LOEWS,3
MARATHON PETROLEUM,3
MGM RESORTS INTERNATIONAL,3
NRG ENERGY,3
NUCOR,3
OLIN,3
ONEOK,3
PEABODY ENERGY,3
PG&E,3
PHILLIPS 66,3
PPL,3
PUBLIC SERVICE ENTERPRISE GROUP,3
SEMPRA ENERGY,3
SHERWIN-WILLIAMS,3
SOUTHERN,3
TENET HEALTHCARE,3
TENNECO,3
TESLA,3
VALERO ENERGY,3
VF,3
WEC ENERGY GROUP,3
WHIRLPOOL,3
XCEL ENERGY,3
ABBOTT LABORATORIES,4
ABBVIE,4
AMERISOURCEBERGEN,4
AMGEN,4
ARAMARK,4
BECTON DICKINSON,4
BIOGEN,4
BLACKSTONE GROUP,4
BRISTOL-MYERS SQUIBB,4
CATERPILLAR,4
CENTENE,4
CIGNA,4
CLOROX,4
COMMUNITY HEALTH SYSTEMS,4
CVS HEALTH,4
DANAHER,4
EBAY,4
ELI LILLY,4
ESTEE LAUDER,4
GILEAD SCIENCES,4
HCA HEALTHCARE,4
HERSHEY,4
HUMANA,4
JOHNSON & JOHNSON,4
KIMBERLY-CLARK,4
LABORATORY CORP. OF AMERICA,4
LIVE NATION ENTERTAINMENT,4
MAGELLAN HEALTH,4
MCKESSON,4
MERCK,4
MOLINA HEALTHCARE,4
MUTUAL OF OMAHA INSURANCE,4
NAVISTAR INTERNATIONAL,4
OWENS & MINOR,4
PROCTER & GAMBLE,4
QUEST DIAGNOSTICS,4
REGENERON PHARMACEUTICALS,4
RITE AID,4
RYDER SYSTEM,4
STARBUCKS,4
WALGREENS BOOTS ALLIANCE,4
WALMART,4
ZIMMER BIOMET HOLDINGS,4
