fortune_name,community_lobby
AIR PRODUCTS & CHEMICALS,0
AVIS BUDGET GROUP,0
BERKSHIRE HATHAWAY,0
CENTERPOINT ENERGY,0
CHARLES SCHWAB,0
COMMUNITY HEALTH SYSTEMS,0
FREEPORT-MCMORAN,0
GENERAL DYNAMICS,0
GENERAL MOTORS,0
HONEYWELL INTERNATIONAL,0
LIBERTY MEDIA,0
MICROSOFT,0
NGL ENERGY PARTNERS,0
OSHKOSH,0
PARKER-HANNIFIN,0
QURATE RETAIL,0
STANLEY BLACK & DECKER,0
WESTERN DIGITAL,0
WORLD FUEL SERVICES,0
BLACKSTONE GROUP,1
BRIGHTHOUSE FINANCIAL,1
DANAHER,1
DARDEN RESTAURANTS,1
ELI LILLY,1
EOG RESOURCES,1
INTERPUBLIC GROUP,1
LUMEN TECHNOLOGIES,1
NIKE,1
ORACLE,1
PVH,1
RAYTHEON,1
WALGREENS BOOTS ALLIANCE,1
WYNN RESORTS,1
CINTAS,2
CITIGROUP,2
COMCAST,2
COSTCO,2
DISCOVERY,2
ENTERPRISE PRODUCTS PARTNERS,2
FRANKLIN RESOURCES,2
JABIL,2
LENNAR,2
MONDELEZ INTERNATIONAL,2
PHILIP MORRIS INTERNATIONAL,2
UNITED RENTALS,2
WEC ENERGY GROUP,2
WESTLAKE CHEMICAL,2
BORGWARNER,3
ECOLAB,3
FLUOR,3
IQVIA HOLDINGS,3
JEFFERIES FINANCIAL GROUP,3
LOEWS,3
MASTERCARD,3
NEWELL BRANDS,3
SEMPRA ENERGY,3
STATE FARM INSURANCE,3
TAPESTRY,3
YUM CHINA HOLDINGS,3
ALTICE USA,4
DUPONT DE NEMOURS,4
FIRSTENERGY,4
HUNTSMAN,4
LEVI STRAUSS,4
OWENS & MINOR,4
PERFORMANCE FOOD GROUP,4
UNITED TECHNOLOGIES,4
US FOODS HOLDING,4
WALT DISNEY,4
XPO LOGISTICS,4
AES,5
ARAMARK,5
ARTHUR J. GALLAGHER,5
CAMPBELL SOUP,5
CONSTELLATION BRANDS,5
ESTEE LAUDER,5
MORGAN STANLEY,5
NORTHROP GRUMMAN,5
ADP,6
COLGATE-PALMOLIVE,6
CVS HEALTH,6
FIDELITY NATIONAL FINANCIAL,6
LAS VEGAS SANDS,6
MURPHY USA,6
REPUBLIC SERVICES,6
CENTENE,7
ENERGY TRANSFER,7
ENTERGY,7
EXELON,7
HARLEY-DAVIDSON,7
NEXTERA ENERGY,7
VISTRA ENERGY,7
FORTIVE,8
GENERAL ELECTRIC,8
HENRY SCHEIN,8
JOHNSON & JOHNSON,8
KINDER MORGAN,8
NVR,8
UNITED HEALTH GROUP,8
HESS,9
NAVISTAR INTERNATIONAL,9
NEWS CORP.,9
PLAINS GP HOLDINGS,9
W.W. GRAINGER,9
WASTE MANAGEMENT,9
ALLIANCE DATA SYSTEMS,10
BROADCOM,10
FIRST AMERICAN FINANCIAL,10
L BRANDS,10
ACTIVISION BLIZZARD,11
ALPHABET,11
CONSOLIDATED EDISON,11
IBM,11
HCA HEALTHCARE,12
TRAVELERS,12
UNITED NATURAL FOODS,12
ARROW ELECTRONICS,13
TENNECO,13
CIGNA,14
NAVIENT,14
CISCO SYSTEMS,15
NETAPP,15
GRAPHIC PACKAGING HOLDING,16
WESTROCK,16
KOHL'S,17
LEIDOS HOLDINGS,17
