lobbyist_id,lobbyist,fortune_name
Y0000050861L,"Aronson, Lauren",3M
Y0000055939L,"Bennett, McKenzie",3M
Y0000037332L,"Carr, Megan",3M
Y0000040224L,"Castagnetti, David",3M
Y0000055509L,"Distefano, Nichole",3M
Y0000050250L,"Eastman, Sage",3M
Y0000012061L,"Geier, Thomas",3M
Y0000055017L,"Haro, Steven",3M
YX000054115L,"Hechavarria, Andrea",3M
Y0000028362L,"Hickey, Daniel J",3M
Y0000052095L,"Hingson, Dean Constantine",3M
Y0000055783L,"Masalosalo, Brittany",3M
Y0000021662L,"Mehlman, Bruce P",3M
Y0000020499L,"Pickering, Elise Finley",3M
Y0000041277L,"Robinson, Michael C",3M
Y0000040392L,"Rosen, Dean",3M
Y0000040001L,"Thomas, David R",3M
Y0000036949L,"Thornell, Paul",3M
Y0000054325L,"Tolar, Helen",3M
Y0000004465L,"Vargas, Omar A",3M
Y0000050379L,"Veoni, Dan",3M
Y0000048280L,"Wooters, Charles",3M
Y0000057742L,"Barblan, Jennifer",ABBOTT LABORATORIES
Y0000024657L,"Burcky, P Claude",ABBOTT LABORATORIES
Y0000048367L,"Burnes, Austin",ABBOTT LABORATORIES
Y0000048399L,"Devlin, Anne",ABBOTT LABORATORIES
Y0000043464L,"Evers, Thomas",ABBOTT LABORATORIES
YX000055168L,"Foltz, D Nicole",ABBOTT LABORATORIES
Y0000003791L,"Grove, Jason",ABBOTT LABORATORIES
Y0000054699L,"Kumar, Rosalyn",ABBOTT LABORATORIES
Y0000053370L,"Miller, Jeff B",ABBOTT LABORATORIES
Y0000049804L,"Moskowitz, Andrew",ABBOTT LABORATORIES
Y0000014320L,"Radus, Seth",ABBOTT LABORATORIES
Y0000013042L,"Sensibaugh, Cynthia B",ABBOTT LABORATORIES
Y0000057643L,"Adekunle, Dorcas",ABBVIE
Y0000051729L,"Bachner, Daniel",ABBVIE
Y0000049658L,"Beard, Binta",ABBVIE
YX000054888L,"Harder, Daniel M",ABBVIE
Y0000021834L,"Herzog, John",ABBVIE
Y0000052076L,"Hochul, Christina Gervasi",ABBVIE
Y0000049432L,"Hodge, Kenneth",ABBVIE
Y0000054691L,"Kennedy, Hayden Rhudy",ABBVIE
Y0000001919L,"Kimbell, Jeffrey J",ABBVIE
Y0000032412L,"Lively, Robert",ABBVIE
Y0000039517L,"Lockhart, Jodie",ABBVIE
Y0000012153L,"Major, Diane",ABBVIE
Y0000022912L,"McManus, John",ABBVIE
Y0000053790L,"Piron, Courtney",ABBVIE
Y0000049235L,"Ray, John R",ABBVIE
Y0000035219L,"Reese, Brenda",ABBVIE
Y0000054799L,"Rudloff, David",ABBVIE
Y0000045932L,"Scango, Stephen",ABBVIE
Y0000037779L,"Studdard, Keith",ABBVIE
Y0000046877L,"Temme, Alanna",ABBVIE
Y0000004780L,"Thornhill, Barrett",ABBVIE
Y0000001604L,"Van Heuvelen, Robert",ABBVIE
