source,target,weight,affil_norm,shared_n,cosine_weight,rbo_weight
3M,ABBVIE,0.0064235519176007215,0.0009057971014492,2,0.092367,0.0767763521282686
3M,AECOM,0.031087215793149024,0.0027173913043478,6,0.164,0.0697566793407253
3M,ALASKA AIR GROUP,2.82477967963962e-07,0.0004528985507246,1,0.0026,0.0002398889820248
3M,AMAZON,6.56742450674334e-05,0.0009057971014492,2,0.026109,0.0027769874968192
3M,AMEREN,0.006063747920794435,0.0013586956521739,3,0.066745,0.0668652104233238
3M,AMERICAN ELECTRIC POWER,8.600057871358315e-07,0.0004528985507246,1,0.005521,0.0003439400068821
3M,AMGEN,0.00045865630709534725,0.0004528985507246,1,0.042561,0.0237943921915982
3M,BALL,0.010176628668994837,0.0027173913043478,6,0.119066,0.0314531381770626
3M,BECTON DICKINSON,0.008449686800638198,0.0013586956521739,3,0.180653,0.0344249444253335
3M,BERKSHIRE HATHAWAY,0.004056958026540203,0.0027173913043478,6,0.043204,0.0345560724415982
3M,BIOGEN,0.00028563297773496414,0.0004528985507246,1,0.037888,0.0166458407632721
3M,BLACKSTONE GROUP,0.018097955010292332,0.0013586956521739,3,0.208356,0.0639294999307689
3M,BOEING,0.01650617630688372,0.0027173913043478,6,0.0928,0.0654555267341947
3M,BOSTON SCIENTIFIC,0.000995777103784564,0.0009057971014492,2,0.102153,0.01076168025
3M,CARDINAL HEALTH,0.0005969504901154294,0.0009057971014492,2,0.11023,0.0059787112499999
3M,CATERPILLAR,0.02099584805071363,0.0022644927536231,5,0.135412,0.0684707891412541
3M,CENTENE,0.01663932746756282,0.0022644927536231,5,0.109651,0.0670119470837113
3M,CHEMOURS,0.012138746534161356,0.0013586956521739,3,0.18617,0.0479890285714285
3M,CHEVRON,0.00023879184701368792,0.0013586956521739,3,0.049245,0.0035689064758265
3M,CIGNA,0.001436730345528483,0.0004528985507246,1,0.061018,0.0519895867273125
3M,COCA-COLA,5.8132360384172974e-08,0.0004528985507246,1,0.001846,6.953209736092341e-05
3M,CORNING,0.08300318221495176,0.0040760869565217,9,0.209868,0.0970297871522498
3M,CSX,3.8966181543654126e-05,0.0004528985507246,1,0.014458,0.0059508458188128
3M,CUMMINS,0.05670483325092583,0.004981884057971,11,0.189668,0.0600112118486679
3M,CVS HEALTH,0.006718171054445739,0.0013586956521739,3,0.07594,0.0651115867273125
3M,DELL TECHNOLOGIES,0.0005972669955496754,0.0018115942028985,4,0.029332,0.0112399898248817
3M,DELTA AIR LINES,0.024448493760769623,0.0045289855072463,10,0.107854,0.0500512491180487
3M,DTE ENERGY,2.488113102322269e-05,0.0022644927536231,5,0.031946,0.0003439400068821
3M,DUKE ENERGY,0.0016826370632849724,0.0036231884057971,8,0.065156,0.0071276295270835
3M,DUPONT DE NEMOURS,0.001458323199762348,0.0031702898550724,7,0.024309,0.0189229011305356
3M,ECOLAB,0.024970705077719604,0.0022644927536231,5,0.187936,0.0586745666733431
3M,EDISON INTERNATIONAL,0.0017392973414030969,0.0004528985507246,1,0.078833,0.0487152401889863
3M,ELI LILLY,0.00242832772418457,0.0004528985507246,1,0.23349,0.0229634999999999
3M,ENTERGY,0.004628063328712026,0.0022644927536231,5,0.096872,0.021097456085962
3M,EVERSOURCE ENERGY,0.000215785834506655,0.0009057971014492,2,0.033269,0.0071606468873536
3M,EXXONMOBIL,0.020602285194507214,0.0031702898550724,7,0.142381,0.0456419703968054
3M,FACEBOOK,3.3644203146974864e-06,0.0009057971014492,2,0.006362,0.000583828988907
3M,FEDEX,5.883595360275543e-07,0.0004528985507246,1,0.006664,0.0001949426553945
3M,FIRSTENERGY,0.00016861645810553055,0.0013586956521739,3,0.035314,0.0035142355203509
3M,FLUOR,0.006609398238307007,0.0018115942028985,4,0.188206,0.0193850771364652
3M,FORD,0.000787628408069856,0.0004528985507246,1,0.074281,0.0234122255357142
3M,GENERAL DYNAMICS,0.006021591007077255,0.0022644927536231,5,0.095228,0.0279238731121668
3M,GENERAL ELECTRIC,0.04005258264904793,0.0045289855072463,10,0.135742,0.0651501395950401
