source,target,weight
3M,ABBVIE,0.092367
3M,AECOM,0.164
3M,AIR PRODUCTS & CHEMICALS,0.209845
3M,ALASKA AIR GROUP,0.0026
3M,AMAZON,0.026109
3M,AMEREN,0.066745
3M,AMERICAN AIRLINES GROUP,0.002392
3M,AMERICAN ELECTRIC POWER,0.005521
3M,AMGEN,0.042561
3M,APPLIED MATERIALS,0.04988
3M,ARAMARK,0.01174
3M,BALL,0.119066
3M,BECTON DICKINSON,0.180653
3M,BERKSHIRE HATHAWAY,0.043204
3M,BIOGEN,0.037888
3M,BLACKSTONE GROUP,0.208356
3M,BOEING,0.0928
3M,BOSTON SCIENTIFIC,0.102153
3M,BRISTOL-MYERS SQUIBB,0.011514
3M,CARDINAL HEALTH,0.11023
3M,CATERPILLAR,0.135412
3M,CENTENE,0.109651
3M,CHEMOURS,0.18617
3M,CHEVRON,0.049245
3M,CHS,0.011879
3M,CIGNA,0.061018
3M,CISCO SYSTEMS,0.010637
3M,CMS ENERGY,0.035295
3M,COCA-COLA,0.001846
3M,COGNIZANT TECHNOLOGY SOLUTIONS,0.005997
3M,CONOCOPHILLIPS,0.006446
3M,CONSOLIDATED EDISON,0.045061
3M,CORNING,0.209868
3M,CSX,0.014458
3M,CUMMINS,0.189668
3M,CVS HEALTH,0.07594
3M,DAVITA,0.025508
3M,DELL TECHNOLOGIES,0.029332
3M,DELTA AIR LINES,0.107854
3M,DTE ENERGY,0.031946
3M,DUKE ENERGY,0.065156
3M,DUPONT DE NEMOURS,0.024309
3M,ECOLAB,0.187936
3M,EDISON INTERNATIONAL,0.078833
3M,ELI LILLY,0.23349
3M,ENERGY TRANSFER,0.062398
3M,ENTERGY,0.096872
3M,EVERSOURCE ENERGY,0.033269
3M,EXELON,0.044981
3M,EXXONMOBIL,0.142381
3M,FACEBOOK,0.006362
3M,FEDEX,0.006664
3M,FIRSTENERGY,0.035314
3M,FLUOR,0.188206
3M,FORD,0.074281
3M,GENERAL DYNAMICS,0.095228
3M,GENERAL ELECTRIC,0.135742
3M,GENERAL MOTORS,0.006779
3M,GILEAD SCIENCES,0.027253
3M,GOODYEAR TIRE & RUBBER,0.07707
3M,GRAPHIC PACKAGING HOLDING,0.086748
3M,HCA HEALTHCARE,0.122236
3M,HEWLETT PACKARD ENTERPRISE,0.029075
3M,HOLLYFRONTIER,0.019507
3M,HOME DEPOT,0.032607
3M,HONEYWELL INTERNATIONAL,0.066298
3M,HUMANA,0.007547
3M,HUNTSMAN,0.15515
3M,IBM,0.064129
3M,ILLINOIS TOOL WORKS,0.002675
3M,INTERNATIONAL PAPER,0.013571
3M,JACOBS ENGINEERING GROUP,0.020272
3M,JETBLUE AIRWAYS,0.00828
3M,JOHNSON & JOHNSON,0.00806
3M,LABORATORY CORP. OF AMERICA,0.04996
3M,LEIDOS HOLDINGS,0.159943
3M,LIBERTY MUTUAL INSURANCE GROUP,0.015258
3M,LOCKHEED MARTIN,0.057121
3M,MAGELLAN HEALTH,0.118922
3M,MCKESSON,0.002183
3M,MERCK,0.050276
3M,MICRON TECHNOLOGY,0.172084
3M,MICROSOFT,0.001541
3M,MOLINA HEALTHCARE,0.067085
3M,MOTOROLA SOLUTIONS,0.024919
3M,MUTUAL OF OMAHA INSURANCE,0.007531
3M,NATIONWIDE,0.014725
3M,NAVISTAR INTERNATIONAL,0.059446
3M,NORTHROP GRUMMAN,0.183974
3M,ORACLE,0.078559
3M,OSHKOSH,0.139741
3M,OWENS CORNING,0.013826
3M,PG&E,0.044174
3M,PHILLIPS 66,0.11898
3M,POLARIS INC,0.159897
3M,PPG INDUSTRIES,0.137636
3M,PPL,0.010747
3M,PUBLIC SERVICE ENTERPRISE GROUP,0.026337
3M,RAYTHEON,0.06929
3M,SOUTHERN,0.014927
3M,SOUTHWEST AIRLINES,0.003115
3M,STANLEY BLACK & DECKER,0.0288
3M,TESLA,0.079365
3M,TEXAS INSTRUMENTS,0.005715
3M,TEXTRON,0.054017
3M,THERMO FISHER SCIENTIFIC,0.024199
3M,UNION PACIFIC,0.057468
3M,UNITED AIRLINES HOLDINGS,0.00137
3M,UNITED TECHNOLOGIES,0.044923
3M,USAA,0.001689
3M,VALERO ENERGY,0.250423
3M,WALMART,0.07891
3M,WESTROCK,0.079067
3M,WEYERHAEUSER,0.026031
3M,XCEL ENERGY,0.01755
3M,ZIMMER BIOMET HOLDINGS,0.177421
ABBOTT LABORATORIES,AIG,0.027683
ABBOTT LABORATORIES,ALLSTATE,0.041386
ABBOTT LABORATORIES,BECTON DICKINSON,0.072273
ABBOTT LABORATORIES,CHS,0.095549
ABBOTT LABORATORIES,DANAHER,0.238645
ABBOTT LABORATORIES,GENERAL ELECTRIC,0.051747
ABBOTT LABORATORIES,JOHNSON & JOHNSON,0.076807
ABBOTT LABORATORIES,LABORATORY CORP. OF AMERICA,0.203851
ABBOTT LABORATORIES,NATIONWIDE,0.007789
ABBOTT LABORATORIES,QUEST DIAGNOSTICS,0.173549
ABBOTT LABORATORIES,RAYTHEON,0.005119
ABBVIE,AIR PRODUCTS & CHEMICALS,0.039468
ABBVIE,AMAZON,0.025913
ABBVIE,AMEREN,0.021477
ABBVIE,AMERISOURCEBERGEN,0.06895
ABBVIE,AMGEN,0.372337
ABBVIE,APPLIED MATERIALS,0.334228
