firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
AT&T,1,0.511009,3.921,0.5931,0.01129,0.074496,connector_hub
VERIZON,1,0.451582,3.0024,0.5172,0.00807,0.058601,connector_hub
CHARTER COMMUNICATIONS,1,0.418333,2.5267,0.4726,0.007009,0.055861,connector_hub
BRISTOL-MYERS SQUIBB,4,0.418229,2.7281,0.3989,0.006315,0.041944,connector_hub
CMS ENERGY,3,0.406655,2.765,0.4536,0.020184,0.307524,connector_hub
NATIONWIDE,0,0.406568,3.5263,0.6655,0.012587,0.069279,connector_hub
BERKSHIRE HATHAWAY,3,0.398244,2.7206,0.5051,0.021536,0.31004,connector_hub
AMERIPRISE FINANCIAL,0,0.385934,3.5263,0.5243,0.010162,0.053114,connector_hub
DTE ENERGY,3,0.379691,2.5164,0.4417,0.018423,0.287533,connector_hub
NORTHWESTERN MUTUAL,0,0.338941,2.583,0.3849,0.007136,0.040329,connector_hub
AMGEN,4,0.337654,1.8109,0.5253,0.005776,0.037085,peripheral
CVS HEALTH,4,0.323862,2.0677,0.4015,0.005642,0.03586,peripheral
ALLSTATE,0,0.321841,2.3228,0.43,0.006896,0.039581,peripheral
LOCKHEED MARTIN,2,0.32091,2.2928,0.6732,0.012,0.112677,non_hub_connector
ABBVIE,4,0.31985,1.5908,0.5589,0.005391,0.039607,peripheral
EXELON,3,0.311419,1.9216,0.4985,0.01666,0.245389,peripheral
DELTA AIR LINES,2,0.310395,2.3047,0.5793,0.009712,0.091539,peripheral
XCEL ENERGY,3,0.304876,2.0059,0.4405,0.016032,0.236079,peripheral
MICROSOFT,1,0.283496,1.8705,0.7072,0.008207,0.062993,non_hub_connector
AMERICAN FAMILY INSURANCE GROUP,0,0.282465,1.8024,0.6946,0.008085,0.054936,non_hub_connector
CIGNA,4,0.275802,1.7008,0.5969,0.006092,0.04591,peripheral
RAYTHEON,2,0.272447,1.6422,0.6275,0.008905,0.076901,non_hub_connector
GENERAL ELECTRIC,2,0.260323,1.7487,0.7244,0.012969,0.109812,non_hub_connector
HARTFORD FINANCIAL SERVICES,0,0.257054,2.4692,0.5928,0.008678,0.052192,peripheral
PPL,3,0.250034,1.3223,0.4567,0.012167,0.195756,peripheral
IBM,1,0.243087,2.9039,0.7386,0.015064,0.096045,connector_hub
CENTENE,4,0.240752,1.5541,0.7041,0.007643,0.06691,non_hub_connector
PRINCIPAL FINANCIAL,0,0.239138,1.3471,0.6333,0.006259,0.042957,non_hub_connector
GENERAL DYNAMICS,2,0.236798,1.2756,0.6339,0.00764,0.078831,non_hub_connector
HUMANA,4,0.231174,1.2606,0.5192,0.004546,0.037672,peripheral
LEIDOS HOLDINGS,2,0.23074,1.2874,0.6108,0.007407,0.072063,peripheral
ENTERGY,3,0.227054,1.2335,0.598,0.014649,0.192308,peripheral
NORTHROP GRUMMAN,2,0.22326,1.1809,0.5475,0.006459,0.071768,peripheral
UNION PACIFIC,2,0.214505,1.2992,0.6869,0.009618,0.099572,non_hub_connector
AMERICAN ELECTRIC POWER,3,0.210703,0.9627,0.3187,0.008956,0.159529,peripheral
BIOGEN,4,0.210569,0.8754,0.4261,0.003491,0.034073,peripheral
PG&E,3,0.205245,1.1714,0.5117,0.012567,0.173138,peripheral
CUMMINS,2,0.201648,1.0626,0.7123,0.011255,0.102292,non_hub_connector
BALL,2,0.20145,1.11,0.6475,0.007858,0.07391,non_hub_connector
BOEING,2,0.200346,0.9798,0.7371,0.009922,0.070154,non_hub_connector
MERCK,4,0.197422,0.6553,0.2081,0.002792,0.027387,peripheral
AECOM,2,0.192033,0.8261,0.5909,0.0061,0.062944,peripheral
PPG INDUSTRIES,2,0.18986,0.9207,0.717,0.009046,0.08286,non_hub_connector
GILEAD SCIENCES,4,0.187385,0.747,0.7114,0.005456,0.054619,non_hub_connector
DUKE ENERGY,3,0.186152,0.9849,0.5031,0.011708,0.160527,peripheral
UNITED TECHNOLOGIES,2,0.179839,0.7314,0.6319,0.006314,0.057756,non_hub_connector
AIG,0,0.179789,1.1357,0.23,0.004183,0.029441,peripheral
PRUDENTIAL FINANCIAL,0,0.178909,1.1682,0.3411,0.004364,0.030798,peripheral
TIAA,0,0.177658,1.0218,0.1847,0.003805,0.028701,peripheral
UNITED AIRLINES HOLDINGS,2,0.175905,0.7078,0.5683,0.005566,0.050474,peripheral
MUTUAL OF OMAHA INSURANCE,4,0.175358,0.802,0.6747,0.006697,0.038873,non_hub_connector
AMERICAN AIRLINES GROUP,2,0.175024,0.696,0.5409,0.005274,0.051346,peripheral
JOHNSON & JOHNSON,4,0.174061,0.7103,0.5968,0.004798,0.034998,peripheral
FIRSTENERGY,3,0.168462,0.7097,0.3884,0.00829,0.136829,peripheral
DELL TECHNOLOGIES,1,0.168208,1.1324,0.7495,0.007455,0.05865,non_hub_connector
MAGELLAN HEALTH,4,0.165947,0.4718,0.6439,0.003787,0.039046,non_hub_connector
STATE FARM INSURANCE,0,0.165356,1.0218,0.4103,0.004457,0.030555,peripheral
CENTERPOINT ENERGY,3,0.165059,0.6742,0.2374,0.007167,0.128979,peripheral
LINCOLN NATIONAL,0,0.163562,0.7942,0.2165,0.003384,0.028045,peripheral
ALASKA AIR GROUP,2,0.16287,0.5422,0.5493,0.004939,0.050552,peripheral
ORACLE,1,0.159965,1.0503,0.7191,0.006955,0.056931,non_hub_connector
3M,2,0.157485,0.5895,0.6901,0.007268,0.068115,non_hub_connector
AMAZON,1,0.156816,1.7557,0.7181,0.009408,0.063312,non_hub_connector
SOUTHWEST AIRLINES,2,0.141774,0.211,0.588,0.004304,0.04989,peripheral
CORNING,2,0.128857,0.2465,0.7154,0.007671,0.075136,non_hub_connector
FOX CORP,1,0.124618,0.4926,0.503,0.003411,0.029377,peripheral
BLACKSTONE GROUP,4,0.122802,0.4168,0.5632,0.003704,0.033027,peripheral
FACEBOOK,1,0.121789,0.9027,0.6936,0.005969,0.041197,non_hub_connector
CISCO SYSTEMS,1,0.117162,0.5746,0.5992,0.003733,0.035781,peripheral
JPMORGAN CHASE & CO.,0,0.112462,0.9243,0.5017,0.004528,0.032478,peripheral
MOLINA HEALTHCARE,4,0.111773,0.0866,0.5421,0.002498,0.031367,peripheral
HCA HEALTHCARE,4,0.109294,0.1049,0.7057,0.003401,0.035905,non_hub_connector
NEW YORK LIFE INSURANCE,0,0.106065,0.2738,0.2883,0.002642,0.025707,peripheral
WALMART,4,0.105733,-0.0418,0.6799,0.003824,0.029909,non_hub_connector
HOLLYFRONTIER,2,0.104642,-0.0374,0.5985,0.004146,0.053192,peripheral
FEDEX,2,0.102297,-0.132,0.6902,0.004817,0.047433,non_hub_connector
ELI LILLY,4,0.101086,0.0316,0.4494,0.002297,0.028757,peripheral
DISH NETWORK,1,0.097253,-0.0979,0.4011,0.001818,0.026394,peripheral
BANK OF AMERICA,0,0.09716,0.599,0.4965,0.004292,0.029201,peripheral
IHEARTMEDIA,1,0.093743,0.0169,0.5987,0.00293,0.02772,peripheral
RITE AID,4,0.092404,-0.1519,0.657,0.002996,0.02662,non_hub_connector
CBS,1,0.090893,0.0989,0.5999,0.002853,0.027664,peripheral
PUBLIC SERVICE ENTERPRISE GROUP,3,0.088786,0.066,0.5473,0.006388,0.090754,peripheral
