firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
EBAY,7,1.0,0.0,0.0233,0.003784,0.043424,ultra_peripheral
BOOZ ALLEN HAMILTON,9,1.0,0.0,0.1264,0.003819,0.043384,peripheral
LIVE NATION ENTERTAINMENT,7,1.0,0.0,0.0095,0.003771,0.043423,ultra_peripheral
CAMPBELL SOUP,10,1.0,0.0,0.088,0.003574,0.043563,peripheral
ADVANCED MICRO DEVICES,11,1.0,0.0,0.0624,0.003661,0.043362,peripheral
WASTE MANAGEMENT,8,1.0,0.0,0.0,0.003937,0.043363,ultra_peripheral
WESTERN DIGITAL,11,1.0,0.0,0.0,0.003602,0.043361,ultra_peripheral
KEURIG DR PEPPER,8,1.0,0.0,0.0,0.003937,0.043363,ultra_peripheral
GAP,10,1.0,0.0,0.088,0.003574,0.043563,peripheral
MASCO,9,1.0,0.0,0.0,0.003623,0.043381,ultra_peripheral
MARRIOTT INTERNATIONAL,6,0.707107,0.7088,0.0245,0.005498,0.044559,ultra_peripheral
HILTON WORLDWIDE HOLDINGS,6,0.707106,0.7054,0.0663,0.005339,0.044583,peripheral
WESTROCK,4,0.70702,2.9491,0.0394,0.008497,0.048767,provincial_hub
GRAPHIC PACKAGING HOLDING,4,0.706983,2.9357,0.0803,0.008678,0.048855,provincial_hub
BERKSHIRE HATHAWAY,5,0.660363,1.2916,0.0492,0.009493,0.058362,ultra_peripheral
DTE ENERGY,2,0.634758,3.4386,0.0053,0.023839,0.424348,provincial_hub
ALASKA AIR GROUP,0,0.631344,3.6847,0.0004,0.009611,0.049227,provincial_hub
CMS ENERGY,2,0.614232,2.988,0.0042,0.020707,0.408792,provincial_hub
UNION PACIFIC,5,0.582111,0.3145,0.1309,0.008053,0.054765,peripheral
AMERICAN AIRLINES GROUP,0,0.57773,3.0425,0.0012,0.008164,0.048427,provincial_hub
UNITED AIRLINES HOLDINGS,0,0.503546,2.5634,0.0415,0.007754,0.047869,provincial_hub
AMERIPRISE FINANCIAL,1,0.495923,2.5085,0.0183,0.008621,0.04635,provincial_hub
PRUDENTIAL FINANCIAL,1,0.491942,2.9837,0.0585,0.01019,0.046792,provincial_hub
NATIONWIDE,1,0.451815,2.6755,0.1053,0.00986,0.046622,provincial_hub
CSX,5,0.446437,-0.1164,0.0017,0.005625,0.051957,ultra_peripheral
LINCOLN NATIONAL,1,0.430465,1.8542,0.0155,0.007128,0.045796,ultra_peripheral
CENTENE,3,0.426612,2.3375,0.0256,0.010122,0.047318,ultra_peripheral
CVS HEALTH,3,0.410786,2.3615,0.0171,0.010418,0.047341,ultra_peripheral
BLACKSTONE GROUP,3,0.391334,1.5599,0.0208,0.007964,0.046433,ultra_peripheral
HCA HEALTHCARE,3,0.328444,0.9259,0.0355,0.006264,0.04573,ultra_peripheral
PPL,2,0.300226,1.7452,0.0008,0.01497,0.230903,ultra_peripheral
CIGNA,3,0.29118,0.9849,0.0167,0.006972,0.045774,ultra_peripheral
HUMANA,3,0.251512,0.7034,0.0357,0.005609,0.045473,ultra_peripheral
MOLINA HEALTHCARE,3,0.251054,0.4155,0.0139,0.00462,0.045127,ultra_peripheral
EXELON,2,0.20692,0.7795,0.0128,0.009307,0.168717,ultra_peripheral
BIOGEN,3,0.194775,1.472,0.0508,0.008402,0.046353,peripheral
TIAA,1,0.193957,0.6978,0.0451,0.004989,0.044823,ultra_peripheral
ABBVIE,3,0.188695,1.2885,0.3212,0.010055,0.046669,peripheral
XCEL ENERGY,2,0.179949,1.2914,0.0098,0.013375,0.163482,ultra_peripheral
HARTFORD FINANCIAL SERVICES,1,0.177528,0.8024,0.1831,0.005608,0.045048,peripheral
AMERICAN ELECTRIC POWER,2,0.171192,0.7679,0.0037,0.008864,0.151134,ultra_peripheral
GILEAD SCIENCES,3,0.169394,0.8347,0.0631,0.00635,0.045648,peripheral
NORFOLK SOUTHERN,5,0.160504,-1.4898,0.0,0.002337,0.046441,ultra_peripheral
MAGELLAN HEALTH,3,0.15349,0.0716,0.018,0.003853,0.044711,ultra_peripheral
FIRSTENERGY,2,0.12652,0.5103,0.0034,0.007878,0.124507,ultra_peripheral
ALLSTATE,1,0.124758,1.0584,0.0936,0.006121,0.045155,peripheral
PUBLIX SUPER MARKETS,1,0.114408,-0.3575,0.0028,0.001988,0.043916,ultra_peripheral
MERCK,3,0.101498,0.0961,0.0381,0.004277,0.04475,ultra_peripheral
