firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
DELL TECHNOLOGIES,3,0.182404,1.7918,0.7893,0.003441,0.060512,non_hub_connector
LOCKHEED MARTIN,3,0.17731,1.6143,0.7847,0.003854,0.07079,non_hub_connector
BRISTOL-MYERS SQUIBB,4,0.174259,1.3087,0.7732,0.003293,0.058472,non_hub_connector
HEWLETT PACKARD ENTERPRISE,3,0.171848,1.4139,0.7837,0.003702,0.067841,non_hub_connector
GENERAL ELECTRIC,3,0.171181,1.3448,0.7924,0.004142,0.073001,non_hub_connector
AMAZON,3,0.170592,1.5166,0.7953,0.003657,0.063533,non_hub_connector
PFIZER,4,0.169618,1.1822,0.787,0.003888,0.070826,non_hub_connector
TAPESTRY,2,0.167822,1.4855,0.7671,0.003626,0.070994,non_hub_connector
RITE AID,4,0.166058,1.0775,0.692,0.002403,0.040995,non_hub_connector
BECTON DICKINSON,4,0.165941,1.1269,0.7823,0.003607,0.065583,non_hub_connector
BIOGEN,4,0.165422,1.0579,0.714,0.002465,0.04185,non_hub_connector
ABBVIE,4,0.164859,1.0446,0.7875,0.003742,0.067914,non_hub_connector
AMGEN,4,0.163683,0.998,0.7716,0.003196,0.057121,non_hub_connector
IBM,3,0.163538,1.1858,0.7912,0.003475,0.063528,non_hub_connector
ORACLE,3,0.162833,1.5278,0.7794,0.003019,0.050215,non_hub_connector
DANAHER,4,0.162153,0.9573,0.4497,0.001717,0.027384,peripheral
ADOBE,3,0.161243,1.2629,0.7607,0.002535,0.0438,non_hub_connector
HCA HEALTHCARE,4,0.160605,0.9232,0.4242,0.001675,0.026723,peripheral
RAYTHEON,3,0.160179,0.9777,0.7923,0.003818,0.068894,non_hub_connector
PARKER-HANNIFIN,3,0.160077,0.9642,0.7785,0.002788,0.049911,non_hub_connector
STRYKER,4,0.159834,0.8803,0.7701,0.003291,0.059369,non_hub_connector
LAM RESEARCH,3,0.159294,0.8906,0.79,0.003558,0.066961,non_hub_connector
HANESBRANDS,2,0.158976,1.2297,0.774,0.003835,0.075015,non_hub_connector
CHS,2,0.15859,1.3407,0.7769,0.004046,0.077311,non_hub_connector
QUEST DIAGNOSTICS,4,0.158271,0.8157,0.4205,0.00165,0.025964,peripheral
BAXTER INTERNATIONAL,4,0.156516,0.8228,0.7917,0.003692,0.066867,non_hub_connector
L3HARRIS TECHNOLOGIES,3,0.156101,0.9101,0.7324,0.002316,0.041421,non_hub_connector
MERCK,4,0.156038,0.8286,0.7624,0.002977,0.052336,non_hub_connector
CISCO SYSTEMS,3,0.154186,1.2692,0.7867,0.003195,0.055884,non_hub_connector
MCKESSON,4,0.153626,0.7522,0.7217,0.002467,0.042672,non_hub_connector
