firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
ARCONIC,5,0.228074,1.5303,0.7833,0.003849,0.065181,non_hub_connector
UNITED TECHNOLOGIES,5,0.227887,1.5106,0.7874,0.004417,0.078631,non_hub_connector
CISCO SYSTEMS,5,0.22613,1.6629,0.7852,0.003575,0.057054,non_hub_connector
INTEL,5,0.224696,1.5918,0.8024,0.004068,0.066463,kinless
ABBOTT LABORATORIES,4,0.221842,1.4962,0.7586,0.004182,0.066298,non_hub_connector
MERCK,4,0.221068,1.5056,0.7289,0.003923,0.060754,non_hub_connector
ILLINOIS TOOL WORKS,5,0.219816,1.3446,0.7749,0.003829,0.066001,non_hub_connector
BAXTER INTERNATIONAL,4,0.219586,1.4533,0.7491,0.004226,0.071206,non_hub_connector
NIKE,5,0.216634,1.3286,0.8028,0.003623,0.057866,kinless
BIOGEN,4,0.21648,1.4445,0.6412,0.003187,0.049296,non_hub_connector
ABBVIE,4,0.215253,1.4045,0.7511,0.004039,0.064566,non_hub_connector
PFIZER,4,0.214762,1.3954,0.7257,0.003793,0.058704,non_hub_connector
PUBLIC SERVICE ENTERPRISE GROUP,3,0.214655,1.8247,0.71,0.004974,0.099341,non_hub_connector
ENTERGY,3,0.213935,1.8053,0.7466,0.005557,0.107781,non_hub_connector
3M,4,0.211151,1.2992,0.7321,0.003961,0.066921,non_hub_connector
LIBERTY MUTUAL INSURANCE GROUP,1,0.211124,1.9861,0.694,0.003986,0.058301,non_hub_connector
TENNECO,5,0.210578,1.1885,0.7643,0.002918,0.048743,non_hub_connector
CONSTELLATION BRANDS,5,0.206549,1.1122,0.7935,0.003288,0.052482,non_hub_connector
CVS HEALTH,4,0.204423,1.2548,0.7276,0.003711,0.056526,non_hub_connector
JPMORGAN CHASE & CO.,1,0.20374,1.9128,0.6525,0.003615,0.053229,non_hub_connector
INTERNATIONAL PAPER,3,0.203321,1.764,0.6783,0.00382,0.073165,non_hub_connector
CHS,0,0.202257,1.6721,0.7935,0.005099,0.086781,non_hub_connector
BRISTOL-MYERS SQUIBB,4,0.201093,1.1607,0.7119,0.003431,0.053291,non_hub_connector
ADVANCED MICRO DEVICES,5,0.200397,1.2733,0.6206,0.002131,0.031636,peripheral
AMERIPRISE FINANCIAL,1,0.199876,1.7868,0.486,0.002917,0.038508,peripheral
WESTERN UNION,1,0.198874,1.6718,0.5839,0.003129,0.044431,peripheral
HESS,0,0.198794,1.6349,0.7585,0.004147,0.067894,non_hub_connector
CHEVRON,3,0.198321,1.7007,0.6802,0.003805,0.071877,non_hub_connector
VF,5,0.19776,0.9092,0.7496,0.002557,0.041481,non_hub_connector
YUM BRANDS,0,0.196879,1.6498,0.7796,0.004564,0.072289,non_hub_connector
PACCAR,3,0.196256,1.6489,0.6946,0.003864,0.072161,non_hub_connector
BECTON DICKINSON,4,0.195545,1.0291,0.8001,0.004732,0.075456,kinless
GOODYEAR TIRE & RUBBER,0,0.194011,1.5446,0.7819,0.004532,0.073362,non_hub_connector
NUCOR,3,0.191057,1.5886,0.6577,0.003552,0.066258,non_hub_connector
EXELON,3,0.191008,1.5477,0.7453,0.00493,0.097684,non_hub_connector
WEC ENERGY GROUP,3,0.190593,1.3648,0.6852,0.004282,0.085352,non_hub_connector
STATE STREET CORP.,1,0.190576,1.5419,0.5472,0.002933,0.039628,peripheral
S&P GLOBAL,5,0.190489,0.8022,0.7735,0.002953,0.043014,non_hub_connector
MCKESSON,4,0.19036,0.9892,0.4127,0.002285,0.033618,peripheral
WHIRLPOOL,0,0.189946,1.4758,0.7712,0.004201,0.068443,non_hub_connector
FIRSTENERGY,3,0.189538,1.2626,0.7276,0.004701,0.092674,non_hub_connector
JOHNSON & JOHNSON,4,0.188237,0.8679,0.7677,0.004645,0.083244,non_hub_connector
LKQ,5,0.187228,0.7203,0.7601,0.002748,0.046329,non_hub_connector
NEXTERA ENERGY,3,0.186579,1.1915,0.7003,0.004415,0.088699,non_hub_connector
EVERSOURCE ENERGY,0,0.18633,1.4622,0.763,0.004695,0.08535,non_hub_connector
POLARIS INC,5,0.186042,0.6858,0.6967,0.002173,0.032664,non_hub_connector
GENWORTH FINANCIAL,1,0.184367,1.3819,0.3727,0.002443,0.031802,peripheral
CENTERPOINT ENERGY,3,0.182581,1.2175,0.7582,0.004424,0.08228,non_hub_connector
BANK OF AMERICA,1,0.182345,1.2459,0.7119,0.003781,0.056181,non_hub_connector
NORTHERN TRUST,1,0.181701,1.2895,0.5888,0.002937,0.042997,peripheral
KINDER MORGAN,5,0.181162,0.55,0.6706,0.001992,0.032048,non_hub_connector
ECOLAB,4,0.180825,0.7766,0.8081,0.005069,0.08695,kinless
AES,3,0.180208,1.2959,0.7622,0.00443,0.080202,non_hub_connector
LOCKHEED MARTIN,2,0.179345,1.7119,0.672,0.004793,0.095494,non_hub_connector
USAA,1,0.177404,1.1769,0.6942,0.003283,0.048785,non_hub_connector
DOMINION ENERGY,3,0.177341,1.1084,0.7572,0.004696,0.086275,non_hub_connector
APPLE,1,0.176643,1.1588,0.7187,0.003412,0.051342,non_hub_connector
HEWLETT PACKARD ENTERPRISE,2,0.175825,1.5928,0.6236,0.004313,0.0885,peripheral
RITE AID,4,0.175673,0.7118,0.439,0.00219,0.032171,peripheral
DUKE ENERGY,2,0.17541,1.3836,0.6983,0.005224,0.108269,non_hub_connector
HARLEY-DAVIDSON,0,0.174542,1.2172,0.7194,0.003239,0.053265,non_hub_connector
OCCIDENTAL PETROLEUM,3,0.173434,1.0729,0.7405,0.004118,0.07433,non_hub_connector
DANAHER,4,0.173363,0.6565,0.3518,0.00203,0.029559,peripheral
CORNING,0,0.172528,1.267,0.7939,0.005111,0.092186,non_hub_connector
LOWE'S,1,0.172481,1.0291,0.6538,0.002911,0.04445,non_hub_connector
KIMBERLY-CLARK,0,0.171909,1.1908,0.7822,0.004051,0.064019,non_hub_connector
KEYCORP,1,0.170057,1.0051,0.7219,0.003426,0.052065,non_hub_connector
BERKSHIRE HATHAWAY,0,0.168577,1.2328,0.7849,0.005024,0.093678,non_hub_connector
GOLDMAN SACHS GROUP,1,0.168488,0.9683,0.5649,0.002579,0.036327,peripheral
ZIMMER BIOMET HOLDINGS,4,0.168042,0.5562,0.7726,0.003904,0.061361,non_hub_connector
AMEREN,2,0.16781,1.1947,0.7333,0.005391,0.108494,non_hub_connector
CONSOLIDATED EDISON,2,0.167247,1.1876,0.6631,0.004562,0.095329,non_hub_connector
XCEL ENERGY,2,0.166997,1.1926,0.7118,0.004972,0.102095,non_hub_connector
HONEYWELL INTERNATIONAL,2,0.165757,1.3147,0.6147,0.003984,0.084215,peripheral
CINTAS,5,0.16433,0.2793,0.4621,0.001469,0.021672,peripheral
AMERICAN ELECTRIC POWER,2,0.164182,1.0891,0.6847,0.004707,0.097642,non_hub_connector
LEVI STRAUSS,5,0.163879,0.2793,0.626,0.001747,0.026203,non_hub_connector
DISCOVERY,0,0.163602,1.0912,0.7191,0.003176,0.051348,non_hub_connector
