firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
NAVIENT,14,1.0,0.0,0.0,0.007937,0.029718,ultra_peripheral
LEIDOS HOLDINGS,17,1.0,0.0,0.0,0.007937,0.029718,ultra_peripheral
TENNECO,13,1.0,0.0,0.0,0.007937,0.029718,ultra_peripheral
NETAPP,15,1.0,0.0,0.0,0.007937,0.029718,ultra_peripheral
ARROW ELECTRONICS,13,1.0,0.0,0.0,0.007937,0.029718,ultra_peripheral
KOHL'S,17,1.0,0.0,0.0,0.007937,0.029718,ultra_peripheral
GRAPHIC PACKAGING HOLDING,16,1.0,0.0,0.0,0.007937,0.029718,ultra_peripheral
CISCO SYSTEMS,15,1.0,0.0,0.0,0.007937,0.029718,ultra_peripheral
CIGNA,14,1.0,0.0,0.0,0.007937,0.029718,ultra_peripheral
WESTROCK,16,1.0,0.0,0.0,0.007937,0.029718,ultra_peripheral
ALPHABET,11,0.707107,1.7321,0.0,0.015247,0.036736,ultra_peripheral
TRAVELERS,12,0.707107,1.4142,0.0,0.011592,0.033181,ultra_peripheral
ENTERGY,7,0.61551,2.1243,0.0,0.014424,0.049471,ultra_peripheral
ALLIANCE DATA SYSTEMS,10,0.611722,1.069,0.0,0.011718,0.062936,ultra_peripheral
LAS VEGAS SANDS,6,0.596817,1.8371,0.6667,0.012434,0.103204,non_hub_connector
FIRST AMERICAN FINANCIAL,10,0.595271,0.5345,0.0,0.009453,0.060101,ultra_peripheral
BLACKSTONE GROUP,1,0.5228,2.4666,0.6133,0.026694,0.181908,peripheral
GENERAL ELECTRIC,8,0.506834,1.2127,0.32,0.010708,0.076841,peripheral
L BRANDS,10,0.505044,0.0,0.0,0.007725,0.054278,ultra_peripheral
KINDER MORGAN,8,0.502268,1.2127,0.0,0.009831,0.049099,ultra_peripheral
HCA HEALTHCARE,12,0.5,-0.7071,0.0,0.006109,0.030111,ultra_peripheral
UNITED NATURAL FOODS,12,0.5,-0.7071,0.0,0.006109,0.030111,ultra_peripheral
LOEWS,3,0.494106,1.6681,0.0,0.011289,0.065519,ultra_peripheral
ELI LILLY,1,0.492906,1.5811,0.0,0.012622,0.111636,ultra_peripheral
