firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
COCA-COLA,4,0.520411,3.7607,0.7502,0.005393,kinless_hub
NATIONWIDE,1,0.464278,4.7259,0.5424,0.015032,connector_hub
BRISTOL-MYERS SQUIBB,3,0.402364,2.5623,0.5242,0.008097,connector_hub
CMS ENERGY,2,0.402259,2.8216,0.4112,0.016646,connector_hub
BERKSHIRE HATHAWAY,2,0.39535,2.8124,0.4764,0.018287,connector_hub
DTE ENERGY,2,0.373442,2.5449,0.3984,0.015128,connector_hub
PEPSICO,4,0.373266,1.1433,0.6965,0.002165,non_hub_connector
AMERIPRISE FINANCIAL,1,0.364385,3.1191,0.533,0.010754,connector_hub
MERCK,3,0.359425,2.0981,0.6129,0.008605,peripheral
AMGEN,3,0.356594,1.9888,0.4499,0.00635,peripheral
KEURIG DR PEPPER,4,0.339373,1.0706,0.4649,0.002138,peripheral
NORTHWESTERN MUTUAL,1,0.333809,2.5271,0.4591,0.008366,connector_hub
PFIZER,3,0.331098,1.9206,0.6886,0.00937,non_hub_connector
EXELON,2,0.309158,1.987,0.4472,0.013768,peripheral
XCEL ENERGY,2,0.299846,2.0793,0.3589,0.012872,peripheral
HOME DEPOT,4,0.281799,0.8524,0.7555,0.005296,non_hub_connector
ALLSTATE,1,0.263219,1.8626,0.3284,0.006251,peripheral
LOCKHEED MARTIN,0,0.254964,2.1995,0.5497,0.010874,peripheral
CIGNA,3,0.253333,1.825,0.6148,0.007772,peripheral
JOHNSON & JOHNSON,3,0.246979,1.4837,0.6861,0.008731,non_hub_connector
IBM,0,0.245852,2.3138,0.6022,0.012584,peripheral
ILLINOIS TOOL WORKS,4,0.240709,0.7797,0.7209,0.00268,non_hub_connector
PPL,2,0.238864,1.3,0.3718,0.009458,peripheral
DELTA AIR LINES,0,0.238295,2.1203,0.5191,0.009925,peripheral
PRINCIPAL FINANCIAL,1,0.23573,1.2948,0.5976,0.006641,peripheral
LOWE'S,4,0.229469,0.4889,0.6907,0.00189,non_hub_connector
INTERNATIONAL PAPER,4,0.225277,0.7797,0.7595,0.003814,non_hub_connector
MICROSOFT,0,0.22476,2.0587,0.5562,0.011474,peripheral
AMAZON,0,0.224494,1.962,0.5649,0.011475,peripheral
AT&T,0,0.222465,1.8828,0.661,0.012853,non_hub_connector
ENTERGY,2,0.222115,1.2954,0.5824,0.012822,peripheral
PACIFIC LIFE,1,0.216851,1.2103,0.373,0.00496,peripheral
PRUDENTIAL FINANCIAL,1,0.21056,1.1619,0.2259,0.004483,peripheral
AMERICAN ELECTRIC POWER,2,0.207128,0.9957,0.1885,0.007011,peripheral
DEAN FOODS,4,0.205477,0.7797,0.3564,0.001513,peripheral
