firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
GOODYEAR TIRE & RUBBER,5,0.635265,1.0199,0.5918,0.001696,peripheral
MOSAIC,5,0.573603,0.3885,0.4334,0.0013,peripheral
ARTHUR J. GALLAGHER,5,0.498346,0.249,0.6447,0.001641,non_hub_connector
COCA-COLA,4,0.400928,1.664,0.7533,0.005565,non_hub_connector
DEAN FOODS,4,0.359045,1.4887,0.2105,0.001925,peripheral
PEPSICO,4,0.337789,0.7141,0.7564,0.002567,non_hub_connector
HOME DEPOT,4,0.311324,0.8061,0.7513,0.006736,non_hub_connector
UNITED PARCEL SERVICE,4,0.294092,0.7209,0.7548,0.004266,non_hub_connector
WEYERHAEUSER,4,0.282264,0.1574,0.6974,0.002515,non_hub_connector
NORTHWESTERN MUTUAL,0,0.271397,2.5921,0.6237,0.008409,connector_hub
CIGNA,3,0.268325,1.8092,0.7052,0.007461,non_hub_connector
LOWE'S,4,0.266958,0.491,0.6438,0.002303,non_hub_connector
AMERIPRISE FINANCIAL,0,0.262805,2.335,0.6907,0.009121,non_hub_connector
KEURIG DR PEPPER,4,0.259031,0.0143,0.5985,0.001738,peripheral
ALLSTATE,0,0.25615,2.3293,0.4475,0.006213,peripheral
AK STEEL HOLDING,4,0.245519,0.5905,0.5655,0.001844,peripheral
BRISTOL-MYERS SQUIBB,3,0.244559,1.4479,0.6538,0.005898,non_hub_connector
HUMANA,3,0.23603,1.3699,0.613,0.00518,peripheral
DUKE ENERGY,2,0.235754,1.7258,0.631,0.009315,non_hub_connector
PG&E,2,0.235506,1.6954,0.637,0.008491,non_hub_connector
AMGEN,3,0.2351,1.3336,0.6383,0.005367,non_hub_connector
CALPINE,2,0.234385,1.6975,0.4561,0.005972,peripheral
PRINCIPAL FINANCIAL,0,0.226084,1.4854,0.7006,0.007295,non_hub_connector
CVS HEALTH,3,0.225005,1.236,0.4634,0.004369,peripheral
FIRSTENERGY,2,0.224885,1.5315,0.5482,0.006462,peripheral
NATIONWIDE,0,0.223887,1.9253,0.6942,0.008466,non_hub_connector
DTE ENERGY,2,0.22187,1.5161,0.6516,0.008325,non_hub_connector
PACIFIC LIFE,0,0.221067,1.6187,0.5372,0.005542,peripheral
DELTA AIR LINES,1,0.218463,1.8299,0.5942,0.008497,peripheral
ILLINOIS TOOL WORKS,4,0.217643,-0.0264,0.6992,0.003495,non_hub_connector
ENTERGY,2,0.215374,1.4803,0.7024,0.01012,non_hub_connector
JOHNSON & JOHNSON,3,0.213904,1.1694,0.7369,0.007256,non_hub_connector
GUARDIAN LIFE INS. CO. OF AMERICA,3,0.213156,1.0139,0.7181,0.008267,non_hub_connector
WELLCARE HEALTH PLANS,3,0.211539,1.0268,0.3333,0.003457,peripheral
HARTFORD FINANCIAL SERVICES,0,0.209243,1.6028,0.5595,0.005735,peripheral
PFIZER,3,0.206998,1.0984,0.7457,0.009487,non_hub_connector
GILEAD SCIENCES,3,0.20584,0.963,0.6682,0.006499,non_hub_connector
