firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
HILTON WORLDWIDE HOLDINGS,11,1.0,0.0,0.0,0.004115,ultra_peripheral
MARRIOTT INTERNATIONAL,11,1.0,0.0,0.0,0.004115,ultra_peripheral
BOOKING HOLDINGS,10,1.0,0.0,0.0,0.004115,ultra_peripheral
LOEWS,10,1.0,0.0,0.0,0.004115,ultra_peripheral
CAMPBELL SOUP,9,0.648783,0.7079,0.1362,0.00419,peripheral
GAP,9,0.648702,0.7063,0.1361,0.004188,peripheral
OWENS CORNING,7,0.459064,1.0914,0.0,0.00385,ultra_peripheral
CHEMOURS,7,0.452602,0.8071,0.5297,0.004989,peripheral
SYSCO,6,0.446596,1.2832,0.1718,0.004585,peripheral
ZOETIS,3,0.440983,1.8915,0.2524,0.005191,peripheral
DEAN FOODS,6,0.440701,1.8415,0.1091,0.005351,peripheral
LOWE'S,6,0.440644,2.1026,0.2989,0.005899,peripheral
WHIRLPOOL,7,0.428837,0.5134,0.4668,0.004177,peripheral
EMERSON ELECTRIC,7,0.428285,0.7221,0.1024,0.003679,peripheral
ILLINOIS TOOL WORKS,7,0.415066,1.0997,0.3593,0.004816,peripheral
TEXAS INSTRUMENTS,2,0.406564,2.3302,0.1121,0.008111,peripheral
INTERNATIONAL PAPER,3,0.401703,1.6567,0.4853,0.006392,peripheral
NIKE,9,0.397827,-1.4142,0.0,0.002427,ultra_peripheral
COGNIZANT TECHNOLOGY SOLUTIONS,2,0.393382,1.9594,0.0606,0.007032,peripheral
VISA,8,0.385315,0.923,0.237,0.005971,peripheral
STATE STREET CORP.,8,0.385089,0.9192,0.2423,0.005993,peripheral
GENERAL MOTORS,3,0.382938,1.678,0.4796,0.005571,peripheral
ALLY FINANCIAL,8,0.380631,0.8418,0.2546,0.006001,peripheral
PEPSICO,6,0.376068,1.2254,0.122,0.004838,peripheral
PNC FINANCIAL SERVICES,8,0.36967,0.6536,0.2152,0.005602,peripheral
APPLIED MATERIALS,2,0.343149,1.7743,0.5621,0.011109,peripheral
AMERICAN EXPRESS,8,0.337298,0.1247,0.2427,0.005225,peripheral
REGIONS FINANCIAL,8,0.335256,0.0909,0.2122,0.005055,peripheral
NEW YORK LIFE INSURANCE,0,0.323645,2.0169,0.1927,0.008027,peripheral
TIAA,0,0.320384,1.78,0.1787,0.007403,peripheral
DUKE ENERGY,1,0.311813,1.7037,0.1011,0.007138,peripheral
GENERAL DYNAMICS,4,0.310853,2.4644,0.3859,0.007231,peripheral
PPL,1,0.310733,1.5399,0.05,0.006557,peripheral
CMS ENERGY,1,0.309914,1.6232,0.0,0.006511,ultra_peripheral
BOEING,3,0.309013,0.6593,0.6357,0.005017,non_hub_connector
HUMANA,5,0.308158,1.5718,0.0,0.0072,ultra_peripheral
REGENERON PHARMACEUTICALS,5,0.306961,1.3407,0.0439,0.006917,ultra_peripheral
DELTA AIR LINES,4,0.305999,1.6885,0.1135,0.005185,peripheral
DTE ENERGY,1,0.301948,1.7785,0.1369,0.007433,peripheral
INTEL,2,0.301894,1.2516,0.0,0.005667,ultra_peripheral
BIOGEN,5,0.301317,1.3229,0.0,0.006737,ultra_peripheral
GOLDMAN SACHS GROUP,8,0.29902,-0.4675,0.2094,0.004517,peripheral
XEROX,0,0.294253,1.3524,0.179,0.006886,peripheral
SALESFORCE.COM,2,0.284445,0.9929,0.4832,0.007032,peripheral
FIFTH THIRD BANCORP,8,0.278014,-0.78,0.4867,0.005946,peripheral
EXPEDIA GROUP,4,0.276999,1.1748,0.1956,0.004852,peripheral
MICROSOFT,2,0.276376,1.3095,0.1285,0.006851,peripheral
USAA,0,0.273756,1.3298,0.1369,0.006448,peripheral
NORTHROP GRUMMAN,4,0.272058,1.735,0.448,0.006481,peripheral
ORACLE,2,0.271827,1.3333,0.476,0.007967,peripheral
AECOM,4,0.263573,1.3759,0.4148,0.006173,peripheral
CVS HEALTH,5,0.263361,1.7491,0.0713,0.008199,peripheral
ALASKA AIR GROUP,4,0.262532,0.8527,0.2076,0.004546,peripheral
RITE AID,5,0.262404,0.7803,0.2359,0.006942,peripheral
PFIZER,5,0.260396,0.8757,0.0686,0.006194,peripheral
CENTERPOINT ENERGY,1,0.250249,0.8055,0.0,0.005092,ultra_peripheral
UNITED CONTINENTAL HOLDINGS,4,0.249335,0.6816,0.339,0.004784,peripheral
MERCK,5,0.249184,0.9219,0.1094,0.006759,peripheral
HOME DEPOT,6,0.248951,1.0209,0.4869,0.004853,peripheral
NORTHERN TRUST,0,0.24748,1.0687,0.5119,0.00772,peripheral
PRUDENTIAL FINANCIAL,0,0.244406,1.5023,0.0569,0.006655,peripheral
HORMEL FOODS,3,0.243822,0.014,0.0,0.002371,ultra_peripheral
FIRSTENERGY,1,0.243702,0.5953,0.0,0.004724,ultra_peripheral
GILEAD SCIENCES,5,0.243565,0.5904,0.0388,0.005508,ultra_peripheral
JPMORGAN CHASE & CO.,0,0.238783,1.0439,0.1605,0.005813,peripheral
ECOLAB,3,0.235005,1.9664,0.3175,0.005825,peripheral
ALPHABET,2,0.230542,1.0281,0.0,0.005734,ultra_peripheral
WELLS FARGO,0,0.230305,1.5252,0.1291,0.006768,peripheral
XCEL ENERGY,1,0.227284,0.6331,0.0958,0.005079,peripheral
HEWLETT PACKARD ENTERPRISE,2,0.227232,0.7943,0.3333,0.005629,peripheral
EVERSOURCE ENERGY,1,0.224829,1.1055,0.0595,0.006068,peripheral
CARDINAL HEALTH,3,0.223318,1.5688,0.3973,0.005179,peripheral
ENTERGY,1,0.220901,0.7177,0.5283,0.007996,peripheral
PACIFIC LIFE,0,0.216446,0.7595,0.3105,0.006069,peripheral
AMERICAN AIRLINES GROUP,4,0.215884,0.241,0.0893,0.003557,peripheral
AMERISOURCEBERGEN,5,0.2147,0.1915,0.0,0.004661,ultra_peripheral
PG&E,1,0.213494,1.1081,0.1978,0.006553,peripheral
AMERICAN ELECTRIC POWER,1,0.212224,0.4137,0.1095,0.004723,peripheral
MAGELLAN HEALTH,5,0.21121,0.7766,0.045,0.00605,ultra_peripheral
MORGAN STANLEY,4,0.209537,0.2993,0.4157,0.004181,peripheral
MUTUAL OF OMAHA INSURANCE,5,0.207503,0.2783,0.486,0.007496,peripheral
CHS,3,0.20659,0.1491,0.5984,0.004731,peripheral
TRAVELERS,0,0.206319,1.0922,0.0951,0.005884,peripheral
M&T BANK CORP.,0,0.204674,1.048,0.0,0.005457,ultra_peripheral
