firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
ELI LILLY,3,0.189639,1.1608,0.7437,0.003876,non_hub_connector
BRISTOL-MYERS SQUIBB,3,0.188125,1.0932,0.7421,0.003878,non_hub_connector
BAXTER INTERNATIONAL,3,0.187775,1.1164,0.7326,0.003897,non_hub_connector
PFIZER,3,0.18683,1.0672,0.7432,0.003794,non_hub_connector
STRYKER,3,0.184292,1.1015,0.7451,0.003565,non_hub_connector
BECTON DICKINSON,3,0.184081,0.9962,0.7396,0.003955,non_hub_connector
ABBOTT LABORATORIES,3,0.182426,0.9633,0.7351,0.00404,non_hub_connector
BIOGEN,3,0.1809,0.9782,0.7367,0.003226,non_hub_connector
JOHNSON & JOHNSON,3,0.179706,0.8768,0.7249,0.004055,non_hub_connector
TENET HEALTHCARE,3,0.177916,0.8764,0.7325,0.003603,non_hub_connector
CIGNA,3,0.174909,0.8283,0.7422,0.0035,non_hub_connector
GILEAD SCIENCES,3,0.174769,0.696,0.7344,0.0033,non_hub_connector
REGENERON PHARMACEUTICALS,3,0.173991,0.8211,0.7327,0.003055,non_hub_connector
GUARDIAN LIFE INS. CO. OF AMERICA,3,0.173247,0.7275,0.7357,0.003931,non_hub_connector
MERCK,3,0.17075,0.6352,0.7388,0.003453,non_hub_connector
AMGEN,3,0.168461,0.6373,0.7434,0.003135,non_hub_connector
UNITED HEALTH GROUP,3,0.16803,0.6276,0.7414,0.003119,non_hub_connector
ECOLAB,3,0.165376,0.4792,0.726,0.004208,non_hub_connector
RITE AID,3,0.164946,0.5812,0.747,0.002842,non_hub_connector
BOSTON SCIENTIFIC,3,0.164278,0.4589,0.7303,0.003988,non_hub_connector
ZIMMER BIOMET HOLDINGS,3,0.160768,0.3801,0.7399,0.003665,non_hub_connector
MCKESSON,3,0.159738,0.3752,0.7453,0.002901,non_hub_connector
KROGER,3,0.155576,0.2422,0.7354,0.00373,non_hub_connector
TYSON FOODS,2,0.150486,1.3706,0.7218,0.004076,non_hub_connector
NATIONWIDE,3,0.14843,0.0209,0.7368,0.003558,non_hub_connector
COCA-COLA,2,0.147921,1.2118,0.7205,0.004514,non_hub_connector
CVS HEALTH,3,0.14669,0.0893,0.7423,0.002982,non_hub_connector
CATERPILLAR,2,0.146337,1.1777,0.7195,0.00466,non_hub_connector
LAND O'LAKES,3,0.146119,-0.1215,0.7247,0.003801,non_hub_connector
OWENS-ILLINOIS,2,0.145636,1.1338,0.7215,0.004395,non_hub_connector
ARCHER DANIELS MIDLAND,2,0.14529,1.1667,0.721,0.003929,non_hub_connector
HUMANA,3,0.145263,0.0021,0.7407,0.002741,non_hub_connector
KIMBERLY-CLARK,3,0.14525,-0.0835,0.7369,0.00359,non_hub_connector
UNITED STATES STEEL,2,0.145185,1.2009,0.7179,0.004153,non_hub_connector
INTERNATIONAL PAPER,2,0.142319,1.0367,0.7148,0.004375,non_hub_connector
AK STEEL HOLDING,2,0.142134,1.1309,0.7111,0.004037,non_hub_connector
PACCAR,2,0.140467,0.9953,0.7195,0.003857,non_hub_connector
