firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
RAYTHEON,8,1.0,0.0,0.0,0.004386,ultra_peripheral
LABORATORY CORP. OF AMERICA,8,1.0,0.0,0.0,0.004386,ultra_peripheral
MASCO,7,1.0,0.0,0.0,0.004386,ultra_peripheral
ILLINOIS TOOL WORKS,7,1.0,0.0,0.0,0.004386,ultra_peripheral
COMCAST,1,0.489533,4.0641,0.7901,0.022963,kinless_hub
FEDEX,1,0.430863,2.5887,0.8155,0.016415,kinless_hub
MICROSOFT,6,0.397145,3.2389,0.7934,0.009523,kinless_hub
USAA,6,0.386296,1.3699,0.704,0.004285,non_hub_connector
NORTHWESTERN MUTUAL,6,0.386296,1.3699,0.6757,0.003754,non_hub_connector
AMGEN,2,0.377946,2.463,0.7893,0.021076,non_hub_connector
MERCK,2,0.361332,2.2988,0.7072,0.014953,non_hub_connector
JPMORGAN CHASE & CO.,6,0.342905,1.3699,0.7874,0.004819,non_hub_connector
NEXTERA ENERGY,0,0.32822,2.4564,0.7003,0.012085,non_hub_connector
PRUDENTIAL FINANCIAL,0,0.326952,3.0369,0.6074,0.012096,connector_hub
GILEAD SCIENCES,2,0.326743,1.9704,0.6615,0.012223,non_hub_connector
WALMART,1,0.324816,1.4295,0.7372,0.008882,non_hub_connector
VERIZON,5,0.318959,1.7132,0.7865,0.014852,non_hub_connector
JOHNSON & JOHNSON,3,0.308929,1.1821,0.7905,0.008308,non_hub_connector
PFIZER,1,0.305699,1.4295,0.784,0.011216,non_hub_connector
ALTRIA GROUP,2,0.305638,1.8883,0.7063,0.014261,non_hub_connector
DELTA AIR LINES,5,0.302646,1.4788,0.678,0.009289,non_hub_connector
EXXONMOBIL,1,0.294095,1.1133,0.7637,0.01104,non_hub_connector
ABBOTT LABORATORIES,2,0.293772,1.7241,0.5992,0.010288,peripheral
ALPHABET,4,0.291449,1.4184,0.719,0.007189,non_hub_connector
S&P GLOBAL,3,0.291189,2.0776,0.7279,0.008309,non_hub_connector
SEMPRA ENERGY,4,0.290774,1.4184,0.7485,0.008724,non_hub_connector
BAXTER INTERNATIONAL,3,0.290282,1.003,0.7497,0.008104,non_hub_connector
METLIFE,5,0.289345,1.3616,0.7026,0.010319,non_hub_connector
