firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
QURATE RETAIL,9,1.0,0.0,0.2355,0.002568,peripheral
LIBERTY MEDIA,9,1.0,0.0,0.2355,0.002568,peripheral
HILTON WORLDWIDE HOLDINGS,8,0.671803,1.1707,0.2802,0.003783,peripheral
MARRIOTT INTERNATIONAL,8,0.610251,0.1017,0.166,0.0029,peripheral
PEPSICO,5,0.522248,1.953,0.2971,0.005502,peripheral
ECOLAB,6,0.506236,2.2641,0.7164,0.006957,non_hub_connector
BOEING,7,0.505158,1.5171,0.7626,0.006737,non_hub_connector
INTERNATIONAL PAPER,7,0.484584,1.7664,0.6163,0.005506,peripheral
LOWE'S,5,0.466315,1.9662,0.3273,0.005337,peripheral
GENERAL MOTORS,7,0.463396,1.1028,0.8063,0.008305,kinless
COCA-COLA,5,0.462144,1.2491,0.4056,0.005367,peripheral
BECTON DICKINSON,6,0.424901,1.4572,0.4919,0.004019,peripheral
LOEWS,8,0.419851,-1.2724,0.2042,0.002212,peripheral
CARDINAL HEALTH,6,0.400003,0.703,0.6513,0.00435,non_hub_connector
TIAA,0,0.394349,2.8609,0.1194,0.008984,provincial_hub
PPL,3,0.391664,2.4834,0.0861,0.00856,peripheral
GENERAL DYNAMICS,1,0.364464,2.983,0.5551,0.009592,connector_hub
BRISTOL-MYERS SQUIBB,4,0.362397,2.3986,0.0896,0.010258,peripheral
DEAN FOODS,5,0.361321,0.7141,0.2768,0.003518,peripheral
FIRSTENERGY,3,0.353503,1.9586,0.0966,0.007358,peripheral
TEXAS INSTRUMENTS,2,0.352673,1.9818,0.1995,0.008532,peripheral
MASSACHUSETTS MUTUAL LIFE INSURANCE,0,0.345014,1.9667,0.0462,0.006888,ultra_peripheral
ZOETIS,7,0.341586,0.1592,0.0806,0.002065,peripheral
DELTA AIR LINES,1,0.339122,1.9922,0.5685,0.007083,peripheral
PACIFIC LIFE,0,0.333353,2.0094,0.0893,0.007177,peripheral
DUKE ENERGY,3,0.332961,1.719,0.1089,0.006931,peripheral
MASTERCARD,7,0.314911,0.1065,0.7323,0.004499,non_hub_connector
ALASKA AIR GROUP,1,0.314734,1.7715,0.4578,0.006009,peripheral
HEWLETT PACKARD ENTERPRISE,2,0.313497,1.7923,0.2916,0.009057,peripheral
MICROSOFT,2,0.311397,1.6728,0.3088,0.008358,peripheral
ALPHABET,2,0.310602,1.9069,0.0314,0.007706,ultra_peripheral
NEW YORK LIFE INSURANCE,0,0.30839,1.8261,0.1452,0.007221,peripheral
PRUDENTIAL FINANCIAL,0,0.299568,1.8494,0.0646,0.007192,peripheral
ZIMMER BIOMET HOLDINGS,6,0.295281,-0.0848,0.4206,0.002112,peripheral
CORNING,6,0.292334,0.0304,0.8158,0.006277,kinless
CISCO SYSTEMS,2,0.288005,1.4734,0.3546,0.008435,peripheral
XCEL ENERGY,3,0.281318,1.2263,0.0796,0.006138,peripheral
HUMANA,4,0.278811,1.3201,0.0811,0.007686,peripheral
SALESFORCE.COM,2,0.278569,1.5538,0.4203,0.008678,peripheral
PFIZER,4,0.276973,1.2691,0.2691,0.008751,peripheral
NORTHROP GRUMMAN,1,0.273943,1.61,0.6036,0.007099,peripheral
COGNIZANT TECHNOLOGY SOLUTIONS,2,0.27169,0.9934,0.0775,0.005447,peripheral
CVS HEALTH,4,0.271063,1.4667,0.1221,0.008169,peripheral
BIOGEN,4,0.270216,1.0922,0.0814,0.007155,peripheral
BOSTON SCIENTIFIC,6,0.267709,-0.1718,0.5763,0.002651,peripheral
UNITED CONTINENTAL HOLDINGS,1,0.265707,1.028,0.432,0.004569,peripheral
CENTERPOINT ENERGY,3,0.26566,1.1636,0.2325,0.00655,peripheral
APPLIED MATERIALS,2,0.264604,1.1805,0.4625,0.008963,peripheral
HUNTINGTON INGALLS INDUSTRIES,1,0.260683,1.2811,0.3909,0.005034,peripheral
INTEL,2,0.260397,1.1462,0.266,0.006955,peripheral
AECOM,1,0.259992,1.2065,0.6177,0.006432,peripheral
JPMORGAN CHASE & CO.,0,0.258794,1.9179,0.1275,0.007622,peripheral
METLIFE,0,0.258058,0.941,0.2238,0.005501,peripheral
MERCK,4,0.257679,1.1016,0.2192,0.007947,peripheral
ELI LILLY,4,0.257292,1.1261,0.1363,0.007415,peripheral
GILEAD SCIENCES,4,0.251476,0.9143,0.209,0.007339,peripheral
DTE ENERGY,3,0.248658,0.999,0.0344,0.005443,ultra_peripheral
ORACLE,2,0.243631,1.3006,0.4976,0.008948,peripheral
NORTHERN TRUST,0,0.235562,1.5332,0.0768,0.006499,peripheral
BALL,1,0.229458,1.5829,0.6923,0.008443,non_hub_connector
AMERICAN ELECTRIC POWER,3,0.223851,0.8406,0.1045,0.005373,peripheral
CMS ENERGY,3,0.220771,0.6203,0.0476,0.004778,ultra_peripheral
RITE AID,4,0.21914,0.5824,0.2317,0.006864,peripheral
JOHNSON & JOHNSON,6,0.216345,-0.3088,0.5854,0.002821,peripheral
HORMEL FOODS,7,0.215377,-0.3903,0.079,0.00167,peripheral
APPLE,2,0.215005,1.2711,0.0369,0.007485,ultra_peripheral
MAGELLAN HEALTH,4,0.213597,0.6441,0.0958,0.005981,peripheral
SYSCO,5,0.209833,-0.3803,0.0,0.001743,ultra_peripheral
AMERICAN AIRLINES GROUP,1,0.208807,0.435,0.1279,0.002957,peripheral
CIGNA,4,0.203891,0.7848,0.1804,0.006798,peripheral
FEDEX,1,0.199481,0.348,0.678,0.004631,non_hub_connector
BERKSHIRE HATHAWAY,3,0.19789,1.2582,0.1361,0.00605,peripheral
EVERSOURCE ENERGY,3,0.189996,0.4854,0.2491,0.005108,peripheral
SOUTHWEST AIRLINES,1,0.189133,0.2372,0.3972,0.003177,peripheral
LABORATORY CORP. OF AMERICA,6,0.188391,0.4372,0.6554,0.004468,non_hub_connector
HOME DEPOT,5,0.188071,-0.0525,0.7944,0.005654,non_hub_connector
QUEST DIAGNOSTICS,6,0.182494,0.6135,0.2298,0.002573,peripheral
MUTUAL OF OMAHA INSURANCE,4,0.181087,0.3754,0.4894,0.008035,peripheral
CALPINE,3,0.179284,0.234,0.0793,0.00416,peripheral
EXELON,3,0.17448,0.1185,0.0309,0.003782,ultra_peripheral
VOYA FINANCIAL,0,0.172882,0.0369,0.0146,0.003387,ultra_peripheral
PUBLIC SERVICE ENTERPRISE GROUP,3,0.170292,0.8684,0.1205,0.005932,peripheral
YUM BRANDS,5,0.16648,0.1053,0.6558,0.003571,non_hub_connector
ENTERGY,3,0.163752,0.4129,0.6483,0.008128,non_hub_connector
LOCKHEED MARTIN,1,0.162613,0.5923,0.684,0.006205,non_hub_connector
MORGAN STANLEY,1,0.1602,0.8241,0.4183,0.004563,peripheral
MCDONALD'S,5,0.159343,0.1463,0.3518,0.00264,peripheral
WEYERHAEUSER,1,0.155755,0.2129,0.6388,0.004893,non_hub_connector
UNITED HEALTH GROUP,4,0.154776,0.3295,0.1943,0.005681,peripheral
STATE STREET CORP.,0,0.15443,1.4157,0.0671,0.006506,peripheral
MICRON TECHNOLOGY,2,0.152368,0.2901,0.6167,0.008049,peripheral
3M,4,0.151703,0.0096,0.5141,0.006639,peripheral
CENTENE,4,0.147622,0.045,0.2215,0.004971,peripheral
BLACKSTONE GROUP,4,0.145835,-0.0338,0.0927,0.004366,peripheral
WELLCARE HEALTH PLANS,4,0.144279,0.028,0.1888,0.004961,peripheral
GENWORTH FINANCIAL,0,0.144193,-0.3754,0.4682,0.003659,peripheral
IBM,2,0.141295,0.3647,0.4748,0.005371,peripheral
PG&E,3,0.140964,0.4586,0.2872,0.005366,peripheral
GUARDIAN LIFE INS. CO. OF AMERICA,4,0.13884,-0.186,0.5605,0.007435,peripheral
BLACKROCK,0,0.138429,-0.1317,0.1083,0.003325,peripheral
RAYTHEON,0,0.136535,-0.1563,0.739,0.007579,non_hub_connector
BOOZ ALLEN HAMILTON,1,0.134763,0.3929,0.5483,0.00453,peripheral
BANK OF AMERICA,0,0.133534,0.7487,0.096,0.005274,peripheral
ABBOTT LABORATORIES,6,0.132271,-0.5261,0.6524,0.002024,non_hub_connector
INTUIT,2,0.127149,-0.0013,0.1785,0.004001,peripheral
KROGER,5,0.12576,0.0864,0.7202,0.004442,non_hub_connector
USAA,0,0.125338,-0.2804,-0.0,0.003083,ultra_peripheral
PRINCIPAL FINANCIAL,0,0.121079,-0.2508,0.3967,0.003826,peripheral
FLUOR,1,0.11859,0.1195,0.6071,0.004267,peripheral
AMAZON,2,0.116218,0.2281,0.531,0.005169,peripheral
WASTE MANAGEMENT,7,0.114655,-0.6516,0.5814,0.00216,peripheral
EXPEDIA GROUP,1,0.113539,-0.107,0.2594,0.002595,peripheral
AMGEN,4,0.113271,-0.5611,0.2056,0.003479,peripheral
NATIONWIDE,0,0.112146,-0.0393,0.4836,0.005185,peripheral
THERMO FISHER SCIENTIFIC,6,0.107982,-0.6232,0.7281,0.002375,non_hub_connector
PPG INDUSTRIES,1,0.106585,0.2813,0.5187,0.004564,peripheral
ESTEE LAUDER,6,0.105436,-1.0067,0.0,0.001146,ultra_peripheral
CHS,7,0.10536,-0.6184,0.6906,0.002622,non_hub_connector
FORD,0,0.10483,-0.5806,0.4958,0.003563,peripheral
TEXTRON,1,0.102841,-0.4757,0.5578,0.002257,peripheral
AMEREN,3,0.102181,-0.0941,0.4102,0.004466,peripheral
WALMART,4,0.100831,-0.4622,0.4611,0.004725,peripheral
MOLINA HEALTHCARE,4,0.09931,-0.3849,0.1908,0.003803,peripheral
DAVITA,1,0.097881,-0.5205,0.633,0.002354,non_hub_connector
UNITED PARCEL SERVICE,5,0.097821,-0.0315,0.7206,0.004397,non_hub_connector
GENERAL ELECTRIC,4,0.097216,-0.6858,0.4696,0.004247,peripheral
NRG ENERGY,3,0.095086,-0.4045,0.1935,0.00328,peripheral
NORFOLK SOUTHERN,3,0.093814,0.1345,0.3867,0.004787,peripheral
CSX,3,0.093215,0.053,0.2843,0.004167,peripheral
POLARIS INDUSTRIES,1,0.091566,-0.6702,0.1442,0.00149,peripheral
MARATHON PETROLEUM,3,0.090953,0.143,0.4214,0.005583,peripheral
UNION PACIFIC,3,0.090542,0.1315,0.3749,0.004692,peripheral
NAVISTAR INTERNATIONAL,4,0.090084,-0.5896,0.1304,0.003144,peripheral
AMERISOURCEBERGEN,4,0.089687,-0.8278,0.1169,0.002569,peripheral
AT&T,2,0.088855,0.259,0.167,0.004324,peripheral
ADOBE,1,0.08794,-0.5448,0.5521,0.002081,peripheral
DELL TECHNOLOGIES,2,0.081212,0.0448,0.694,0.005906,non_hub_connector
EASTMAN CHEMICAL,7,0.079043,-0.4951,0.5801,0.002374,peripheral
ILLINOIS TOOL WORKS,1,0.077788,0.7265,0.2791,0.004725,peripheral
NORTHWESTERN MUTUAL,0,0.076958,-0.4055,0.597,0.004427,peripheral
COMCAST,2,0.076103,-0.2271,0.6357,0.004129,non_hub_connector
EXXONMOBIL,3,0.075353,-0.197,0.5714,0.005485,peripheral
