firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
STANLEY BLACK & DECKER,9,1.0,0.0,0.0,0.005025,0.021404,ultra_peripheral
HILTON WORLDWIDE HOLDINGS,10,1.0,0.0,0.0,0.005025,0.021582,ultra_peripheral
UNITED PARCEL SERVICE,11,1.0,0.0,0.0,0.005025,0.021582,ultra_peripheral
CSX,8,1.0,0.0,0.1818,0.003107,0.022375,peripheral
GENERAL MILLS,9,1.0,0.0,0.0,0.005025,0.021404,ultra_peripheral
LIBERTY MUTUAL INSURANCE GROUP,11,1.0,0.0,0.0,0.005025,0.021582,ultra_peripheral
MARRIOTT INTERNATIONAL,10,1.0,0.0,0.0,0.005025,0.021582,ultra_peripheral
NORFOLK SOUTHERN,8,1.0,0.0,0.3496,0.003408,0.022649,peripheral
VISA,7,0.57735,0.0,0.0,0.005025,0.021826,ultra_peripheral
AMERICAN EXPRESS,7,0.57735,0.0,0.0,0.005025,0.021826,ultra_peripheral
ALLY FINANCIAL,7,0.57735,0.0,0.0,0.005025,0.021826,ultra_peripheral
ECOLAB,5,0.527962,1.0405,0.3463,0.004231,0.028809,peripheral
BECTON DICKINSON,5,0.513406,0.8524,0.5099,0.004328,0.03163,peripheral
AMERICAN AIRLINES GROUP,6,0.507588,0.9458,0.3743,0.004076,0.029386,peripheral
ALASKA AIR GROUP,6,0.501869,0.8978,0.4476,0.004279,0.030301,peripheral
CARDINAL HEALTH,5,0.495361,1.0715,0.3686,0.004526,0.030357,peripheral
FEDEX,6,0.480537,1.2162,0.4755,0.005229,0.030212,peripheral
FIRSTENERGY,3,0.464628,1.8714,0.2171,0.006053,0.032043,peripheral
XCEL ENERGY,3,0.462628,1.9182,0.4282,0.006816,0.036517,peripheral
BOSTON SCIENTIFIC,5,0.446919,0.4302,0.3423,0.003225,0.027488,peripheral
PPL,3,0.415781,1.4275,0.4405,0.005997,0.036603,peripheral
DTE ENERGY,3,0.414727,1.7067,0.2526,0.005786,0.031455,peripheral
WEYERHAEUSER,6,0.391998,0.0884,0.3349,0.003103,0.026721,peripheral
AIG,1,0.381328,2.1156,0.2241,0.007149,0.041972,peripheral
FORD,1,0.357285,1.6506,0.2774,0.005952,0.039849,peripheral
GENERAL DYNAMICS,0,0.349003,2.5255,0.2783,0.012187,0.097571,provincial_hub
ORACLE,4,0.348349,1.5561,0.6443,0.012072,0.104869,non_hub_connector
TIAA,1,0.34512,1.3911,0.2708,0.005287,0.041238,peripheral
CUMMINS,4,0.342725,1.1883,0.5163,0.007123,0.071414,peripheral
AMAZON,4,0.3407,1.1868,0.4492,0.00665,0.063578,peripheral
ALPHABET,4,0.339481,1.4865,0.3123,0.007,0.06383,peripheral
AMERIPRISE FINANCIAL,1,0.335578,1.4105,0.2149,0.005227,0.040219,peripheral
HEWLETT PACKARD ENTERPRISE,4,0.333084,1.1875,0.5003,0.007323,0.064511,peripheral
ALLSTATE,1,0.327441,1.5544,0.2426,0.00606,0.039909,peripheral
NORTHROP GRUMMAN,0,0.327334,2.2516,0.3422,0.011971,0.096434,peripheral
PRINCIPAL FINANCIAL,1,0.323708,1.1978,0.6165,0.007554,0.06243,peripheral
BLACKROCK,1,0.320397,2.2809,0.258,0.00753,0.042407,peripheral
TEXAS INSTRUMENTS,4,0.313321,0.9656,0.4448,0.005887,0.05928,peripheral
DOMINION ENERGY,3,0.310615,0.8115,0.3271,0.004736,0.02917,peripheral
HOLLYFRONTIER,6,0.303947,-0.4983,0.32,0.002498,0.025186,peripheral
BALL,0,0.303821,1.8794,0.3087,0.010332,0.089136,peripheral
LEIDOS HOLDINGS,0,0.300535,2.2459,0.3341,0.012131,0.095546,peripheral
CISCO SYSTEMS,4,0.297852,0.8642,0.6245,0.008107,0.076177,peripheral
INTEL,4,0.29372,0.8186,0.4407,0.005525,0.057062,peripheral
COGNIZANT TECHNOLOGY SOLUTIONS,4,0.287968,0.7804,0.2894,0.004702,0.052139,peripheral
FLUOR,0,0.271801,1.5786,0.2777,0.009346,0.077337,peripheral
LOCKHEED MARTIN,0,0.255706,1.5958,0.3661,0.010402,0.085176,peripheral
AECOM,0,0.25098,1.289,0.3148,0.008694,0.075965,peripheral
TEXTRON,0,0.238692,1.0562,0.2879,0.007658,0.070943,peripheral
SALESFORCE,4,0.229886,0.3667,0.2118,0.003693,0.042865,peripheral
HONEYWELL INTERNATIONAL,2,0.227336,0.9094,0.4412,0.01409,0.210906,peripheral
MICROSOFT,2,0.22249,0.8425,0.3997,0.013202,0.198603,peripheral
GENERAL ELECTRIC,2,0.221231,0.8224,0.3018,0.011797,0.190135,peripheral
FACEBOOK,2,0.220942,0.8201,0.3433,0.012081,0.195265,peripheral
PPG INDUSTRIES,2,0.220417,0.815,0.4636,0.014626,0.202665,peripheral
DELTA AIR LINES,0,0.218662,1.2427,0.1988,0.00824,0.067979,peripheral
LINCOLN NATIONAL,1,0.214956,0.4097,0.3487,0.003951,0.037678,peripheral
APPLIED MATERIALS,2,0.213843,0.7158,0.4786,0.013309,0.201737,peripheral
NATIONWIDE,2,0.213256,0.7213,0.079,0.009726,0.174593,peripheral
ABBVIE,2,0.213079,0.7193,0.0934,0.00986,0.17495,peripheral
PRUDENTIAL FINANCIAL,2,0.213043,0.7183,0.3214,0.01218,0.182297,peripheral
AMGEN,2,0.212889,0.7179,0.0368,0.009262,0.17343,ultra_peripheral
HARTFORD FINANCIAL SERVICES,2,0.212833,0.7158,0.0447,0.009262,0.173575,ultra_peripheral
DELL TECHNOLOGIES,2,0.211239,0.7558,0.0664,0.010873,0.173389,peripheral
CATERPILLAR,2,0.209329,0.6732,0.1265,0.009733,0.173543,peripheral
CMS ENERGY,3,0.20845,0.7064,0.2069,0.00428,0.02746,peripheral
DUKE ENERGY,3,0.207487,0.6302,0.451,0.005137,0.029733,peripheral
NEXTERA ENERGY,2,0.203704,0.584,0.353,0.011469,0.181832,peripheral
CITIGROUP,2,0.202853,0.5767,0.1188,0.009876,0.167432,peripheral
DEERE,2,0.19048,0.4073,0.0798,0.009254,0.157616,peripheral
