firm,community
3M,0
AECOM,0
ALASKA AIR GROUP,0
AMAZON,0
BALL,0
BECTON DICKINSON,0
BOSTON SCIENTIFIC,0
CARDINAL HEALTH,0
CATERPILLAR,0
CHEMOURS,0
CORNING,0
CUMMINS,0
DELL TECHNOLOGIES,0
DELTA AIR LINES,0
ECOLAB,0
FACEBOOK,0
FEDEX,0
FLUOR,0
GENERAL DYNAMICS,0
GENERAL ELECTRIC,0
GENERAL MOTORS,0
HEWLETT PACKARD ENTERPRISE,0
HONEYWELL INTERNATIONAL,0
IBM,0
LEIDOS HOLDINGS,0
LOCKHEED MARTIN,0
MICRON TECHNOLOGY,0
MOTOROLA SOLUTIONS,0
NORTHROP GRUMMAN,0
ORACLE,0
OWENS CORNING,0
PPG INDUSTRIES,0
RAYTHEON,0
UNITED TECHNOLOGIES,0
CHS,0
APPLIED MATERIALS,0
CBS,0
HUNTSMAN,0
MCKESSON,0
MICROSOFT,0
ABM INDUSTRIES,0
AMERICAN AIRLINES GROUP,0
CISCO SYSTEMS,0
HOLLYFRONTIER,0
JACOBS ENGINEERING GROUP,0
SOUTHWEST AIRLINES,0
STANLEY BLACK & DECKER,0
TEXTRON,0
UNITED AIRLINES HOLDINGS,0
WEYERHAEUSER,0
ARAMARK,0
L3HARRIS TECHNOLOGIES,0
AFLAC,0
HP,0
CAPITAL ONE FINANCIAL,0
AIR PRODUCTS & CHEMICALS,0
DAVITA,0
JETBLUE AIRWAYS,0
OSHKOSH,0
GENERAL MILLS,0
SALESFORCE,0
VERIZON,0
AT&T,0
FOX CORP,0
ALPHABET,0
APPLE,0
CHARTER COMMUNICATIONS,0
COGNIZANT TECHNOLOGY SOLUTIONS,0
COMCAST,0
IHEARTMEDIA,0
INTEL,0
INTUIT,0
LUMEN TECHNOLOGIES,0
TEXAS INSTRUMENTS,0
VF,0
UNITED PARCEL SERVICE,0
NIKE,0
POLARIS INC,0
QUALCOMM,0
ARTHUR J. GALLAGHER,0
BAXTER INTERNATIONAL,0
DISH NETWORK,0
HERSHEY,0
EMERSON ELECTRIC,0
SHERWIN-WILLIAMS,0
VALERO ENERGY,0
ZIMMER BIOMET HOLDINGS,0
LIBERTY MEDIA,0
KRAFT HEINZ,0
HARLEY-DAVIDSON,0
LAS VEGAS SANDS,0
MGM RESORTS INTERNATIONAL,0
NAVIENT,0
QURATE RETAIL,0
WINDSTREAM HOLDINGS,0
LIBERTY MUTUAL INSURANCE GROUP,1
AIG,1
BEST BUY,1
BORGWARNER,1
CITIGROUP,1
COSTCO,1
DEERE,1
FIFTH THIRD BANCORP,1
GENWORTH FINANCIAL,1
GOLDMAN SACHS GROUP,1
HARTFORD FINANCIAL SERVICES,1
MASSACHUSETTS MUTUAL LIFE INSURANCE,1
METLIFE,1
NATIONWIDE,1
NEXTERA ENERGY,1
OWENS-ILLINOIS,1
PRUDENTIAL FINANCIAL,1
S&P GLOBAL,1
W.R. BERKLEY,1
WESCO INTERNATIONAL,1
WESTERN UNION,1
ALLSTATE,1
ALLY FINANCIAL,1
AMERICAN EXPRESS,1
AMERICAN FAMILY INSURANCE GROUP,1
AMERIPRISE FINANCIAL,1
BANK OF AMERICA,1
BLACKROCK,1
CHARLES SCHWAB,1
DISCOVER FINANCIAL SERVICES,1
JPMORGAN CHASE & CO.,1
KEYCORP,1
LINCOLN NATIONAL,1
NEW YORK LIFE INSURANCE,1
NORTHERN TRUST,1
NORTHWESTERN MUTUAL,1
PNC FINANCIAL SERVICES,1
PRINCIPAL FINANCIAL,1
STATE FARM INSURANCE,1
SYNCHRONY FINANCIAL,1
TIAA,1
U.S. BANCORP,1
ASSURANT,1
CITIZENS FINANCIAL GROUP,1
REGIONS FINANCIAL,1
STATE STREET CORP.,1
VISA,1
PUBLIX SUPER MARKETS,1
MARSH & MCLENNAN,1
