firm,community
AVIS BUDGET GROUP,0
BERKSHIRE HATHAWAY,0
CENTERPOINT ENERGY,0
CHARLES SCHWAB,0
ENTERPRISE PRODUCTS PARTNERS,0
FORTIVE,0
HONEYWELL INTERNATIONAL,0
L3HARRIS TECHNOLOGIES,0
LIBERTY MEDIA,0
MICROSOFT,0
OSHKOSH,0
QURATE RETAIL,0
STANLEY BLACK & DECKER,0
WESTERN DIGITAL,0
WORLD FUEL SERVICES,0
AES,1
AMERICAN FINANCIAL GROUP,1
ARAMARK,1
ARTHUR J. GALLAGHER,1
BLACKSTONE GROUP,1
CAMPBELL SOUP,1
CONSTELLATION BRANDS,1
ESTEE LAUDER,1
FREEPORT-MCMORAN,1
HESS,1
HILTON WORLDWIDE HOLDINGS,1
MORGAN STANLEY,1
NORTHROP GRUMMAN,1
ALTICE USA,2
DUPONT DE NEMOURS,2
FIRSTENERGY,2
FOX CORP,2
HUNTSMAN,2
NEWS CORP.,2
OWENS & MINOR,2
PERFORMANCE FOOD GROUP,2
US FOODS HOLDING,2
W.W. GRAINGER,2
WALT DISNEY,2
WASTE MANAGEMENT,2
XPO LOGISTICS,2
BRIGHTHOUSE FINANCIAL,3
DANAHER,3
DARDEN RESTAURANTS,3
ELI LILLY,3
GENERAL DYNAMICS,3
GENERAL MOTORS,3
LUMEN TECHNOLOGIES,3
ORACLE,3
PARKER-HANNIFIN,3
PVH,3
WALGREENS BOOTS ALLIANCE,3
WYNN RESORTS,3
ABBOTT LABORATORIES,4
ADP,4
BECTON DICKINSON,4
CENTENE,4
CITIGROUP,4
COSTCO,4
CVS HEALTH,4
FRANKLIN RESOURCES,4
LAS VEGAS SANDS,4
MONDELEZ INTERNATIONAL,4
WESTLAKE CHEMICAL,4
ECOLAB,5
FLUOR,5
JEFFERIES FINANCIAL GROUP,5
LOEWS,5
MASTERCARD,5
SEMPRA ENERGY,5
SHERWIN-WILLIAMS,5
STATE FARM INSURANCE,5
YUM CHINA HOLDINGS,5
ALLIANCE DATA SYSTEMS,6
BROADCOM,6
CITIZENS FINANCIAL GROUP,6
FIRST AMERICAN FINANCIAL,6
HCA HEALTHCARE,6
L BRANDS,6
TRAVELERS,6
UNITED NATURAL FOODS,6
CINTAS,7
DISCOVERY,7
LENNAR,7
NAVISTAR INTERNATIONAL,7
NEWELL BRANDS,7
TAPESTRY,7
CHEVRON,8
GENERAL ELECTRIC,8
KINDER MORGAN,8
NVR,8
TYSON FOODS,8
UNITED HEALTH GROUP,8
ENERGY TRANSFER,9
ENTERGY,9
EXELON,9
HARLEY-DAVIDSON,9
NEXTERA ENERGY,9
VISTRA ENERGY,9
FACEBOOK,10
KOHL'S,10
LEIDOS HOLDINGS,10
LOCKHEED MARTIN,10
COMCAST,11
JABIL,11
PHILIP MORRIS INTERNATIONAL,11
UNITED RENTALS,11
BOEING,12
INTEL,12
RAYTHEON,12
UNITED TECHNOLOGIES,12
ACTIVISION BLIZZARD,13
ALPHABET,13
CONSOLIDATED EDISON,13
IBM,13
ADVANCED MICRO DEVICES,14
DELL TECHNOLOGIES,14
MICRON TECHNOLOGY,14
COLGATE-PALMOLIVE,15
FIDELITY NATIONAL FINANCIAL,15
REPUBLIC SERVICES,15
COMMUNITY HEALTH SYSTEMS,16
HENRY SCHEIN,16
JOHNSON & JOHNSON,16
REGIONS FINANCIAL,17
VISA,17
WELLS FARGO,17
AMAZON,18
CATERPILLAR,18
APPLIED MATERIALS,19
LAM RESEARCH,19
ARROW ELECTRONICS,20
TENNECO,20
AT&T,21
FORD,21
CAPITAL ONE FINANCIAL,22
PNC FINANCIAL SERVICES,22
CIGNA,23
NAVIENT,23
CISCO SYSTEMS,24
NETAPP,24
EOG RESOURCES,25
NEWMONT,25
GRAPHIC PACKAGING HOLDING,26
WESTROCK,26
PRINCIPAL FINANCIAL,27
USAA,27
