fortune_name,community_composite,community_affiliation,community_cosine,community_rbo,consensus_count,stability_label
3M,0.0,0,6.0,2.0,1,partially_stable
ABBOTT LABORATORIES,9.0,2,2.0,2.0,0,composite_divergent
ABBVIE,2.0,2,2.0,7.0,2,partially_stable
ABM INDUSTRIES,0.0,4,3.0,4.0,0,composite_divergent
ADOBE,,5,0.0,,0,absent_from_composite
ADP,5.0,5,5.0,5.0,3,fully_stable
ADVANCED MICRO DEVICES,16.0,5,0.0,6.0,0,composite_divergent
AECOM,0.0,0,6.0,6.0,1,partially_stable
AES,4.0,4,3.0,4.0,2,partially_stable
AFLAC,0.0,5,0.0,0.0,2,partially_stable
AIG,1.0,1,1.0,1.0,3,fully_stable
AIR PRODUCTS & CHEMICALS,0.0,0,6.0,6.0,1,partially_stable
ALASKA AIR GROUP,7.0,0,6.0,6.0,0,composite_divergent
ALLSTATE,1.0,1,1.0,0.0,2,partially_stable
ALLY FINANCIAL,1.0,1,1.0,1.0,3,fully_stable
ALPHABET,0.0,5,0.0,0.0,2,partially_stable
ALTRIA GROUP,5.0,1,1.0,5.0,1,partially_stable
AMAZON,0.0,5,0.0,0.0,2,partially_stable
AMEREN,3.0,4,3.0,4.0,1,partially_stable
AMERICAN AIRLINES GROUP,7.0,0,6.0,6.0,0,composite_divergent
AMERICAN ELECTRIC POWER,4.0,4,3.0,4.0,2,partially_stable
AMERICAN EXPRESS,1.0,1,1.0,1.0,3,fully_stable
AMERICAN FAMILY INSURANCE GROUP,1.0,1,1.0,0.0,2,partially_stable
AMERICAN TOWER,,5,0.0,,0,absent_from_composite
AMERIPRISE FINANCIAL,1.0,1,1.0,7.0,2,partially_stable
AMERISOURCEBERGEN,2.0,2,2.0,2.0,3,fully_stable
AMGEN,2.0,2,2.0,2.0,3,fully_stable
APPLE,0.0,5,0.0,0.0,2,partially_stable
APPLIED MATERIALS,0.0,5,4.0,7.0,0,composite_divergent
ARAMARK,0.0,2,0.0,6.0,1,partially_stable
ARCONIC,6.0,1,6.0,6.0,2,partially_stable
ARTHUR J. GALLAGHER,0.0,4,7.0,0.0,1,partially_stable
ASSURANT,1.0,1,1.0,0.0,2,partially_stable
AT&T,8.0,5,0.0,0.0,0,composite_divergent
BALL,0.0,0,6.0,6.0,1,partially_stable
BANK OF AMERICA,1.0,1,1.0,1.0,3,fully_stable
BANK OF NEW YORK MELLON,5.0,1,1.0,1.0,0,composite_divergent
BAXTER INTERNATIONAL,0.0,5,0.0,0.0,2,partially_stable
BECTON DICKINSON,0.0,2,0.0,10.0,1,partially_stable
BERKSHIRE HATHAWAY,10.0,4,3.0,10.0,1,partially_stable
BEST BUY,1.0,5,4.0,7.0,0,composite_divergent
BIOGEN,2.0,2,2.0,2.0,3,fully_stable
BLACKROCK,1.0,1,1.0,1.0,3,fully_stable
BLACKSTONE GROUP,2.0,2,2.0,2.0,3,fully_stable
BOEING,2.0,0,6.0,2.0,1,partially_stable
BOOKING HOLDINGS,,4,3.0,,0,absent_from_composite
BOOZ ALLEN HAMILTON,14.0,0,6.0,6.0,0,composite_divergent
BORGWARNER,1.0,1,4.0,7.0,1,partially_stable
BOSTON SCIENTIFIC,0.0,5,0.0,0.0,2,partially_stable
BRIGHTHOUSE FINANCIAL,,1,1.0,,0,absent_from_composite
BRISTOL-MYERS SQUIBB,2.0,2,2.0,2.0,3,fully_stable
BROADCOM,,5,0.0,,0,absent_from_composite
CAMPBELL SOUP,12.0,5,5.0,0.0,0,composite_divergent
CAPITAL ONE FINANCIAL,0.0,1,0.0,0.0,2,partially_stable
CARDINAL HEALTH,0.0,5,0.0,0.0,2,partially_stable
CATERPILLAR,0.0,2,4.0,7.0,0,composite_divergent
CBS,8.0,5,0.0,0.0,0,composite_divergent
CELANESE,3.0,1,6.0,3.0,1,partially_stable
CENTENE,2.0,2,2.0,2.0,3,fully_stable
CENTERPOINT ENERGY,3.0,4,3.0,4.0,1,partially_stable
CHARLES SCHWAB,1.0,1,1.0,1.0,3,fully_stable
CHARTER COMMUNICATIONS,8.0,5,0.0,0.0,0,composite_divergent
CHEMOURS,0.0,4,6.0,6.0,0,composite_divergent
CHEVRON,3.0,4,3.0,6.0,1,partially_stable
CHS,0.0,1,4.0,7.0,0,composite_divergent
CIGNA,2.0,2,2.0,2.0,3,fully_stable
CISCO SYSTEMS,0.0,5,0.0,0.0,2,partially_stable
CITIGROUP,1.0,1,4.0,7.0,1,partially_stable
CITIZENS FINANCIAL GROUP,1.0,1,1.0,1.0,3,fully_stable
CLOROX,2.0,2,0.0,10.0,1,partially_stable
CMS ENERGY,4.0,4,3.0,4.0,2,partially_stable
COCA-COLA,5.0,5,5.0,5.0,3,fully_stable
COGNIZANT TECHNOLOGY SOLUTIONS,0.0,0,0.0,0.0,3,fully_stable
COMCAST,0.0,5,0.0,0.0,2,partially_stable
COMMUNITY HEALTH SYSTEMS,,2,,,0,absent_from_composite
CONOCOPHILLIPS,3.0,4,3.0,2.0,1,partially_stable
CONSOLIDATED EDISON,3.0,4,3.0,4.0,1,partially_stable
CONSTELLATION BRANDS,1.0,1,1.0,1.0,3,fully_stable
CORNING,0.0,0,0.0,10.0,2,partially_stable
COSTCO,1.0,1,4.0,7.0,1,partially_stable
CSX,10.0,0,3.0,10.0,1,partially_stable
CUMMINS,0.0,0,0.0,0.0,3,fully_stable
CVS HEALTH,2.0,2,2.0,2.0,3,fully_stable
DANAHER,9.0,2,2.0,2.0,0,composite_divergent
DAVITA,0.0,0,6.0,6.0,1,partially_stable
DEAN FOODS,5.0,5,5.0,5.0,3,fully_stable
DEERE,1.0,1,4.0,7.0,1,partially_stable
DELL TECHNOLOGIES,0.0,5,0.0,0.0,2,partially_stable
DELTA AIR LINES,0.0,0,6.0,6.0,1,partially_stable
DISCOVER FINANCIAL SERVICES,1.0,1,1.0,1.0,3,fully_stable
DISH NETWORK,0.0,5,0.0,6.0,1,partially_stable
DOMINION ENERGY,4.0,4,3.0,4.0,2,partially_stable
DTE ENERGY,4.0,4,3.0,4.0,2,partially_stable
DUKE ENERGY,4.0,4,3.0,4.0,2,partially_stable
DUPONT DE NEMOURS,3.0,4,5.0,4.0,0,composite_divergent
EBAY,13.0,2,13.0,2.0,1,partially_stable
ECOLAB,0.0,4,0.0,10.0,1,partially_stable
EDISON INTERNATIONAL,3.0,4,3.0,4.0,1,partially_stable
ELI LILLY,2.0,2,2.0,2.0,3,fully_stable
EMERSON ELECTRIC,0.0,0,6.0,6.0,1,partially_stable
ENERGY TRANSFER,3.0,4,3.0,4.0,1,partially_stable
ENTERGY,4.0,4,3.0,4.0,2,partially_stable
ENTERPRISE PRODUCTS PARTNERS,,5,0.0,,0,absent_from_composite
ESTEE LAUDER,,2,0.0,,0,absent_from_composite
EVERSOURCE ENERGY,4.0,4,3.0,4.0,2,partially_stable
EXELON,4.0,4,3.0,4.0,2,partially_stable
EXXONMOBIL,3.0,4,3.0,4.0,1,partially_stable
FACEBOOK,0.0,5,0.0,7.0,1,partially_stable
FEDEX,7.0,0,6.0,6.0,0,composite_divergent
FIFTH THIRD BANCORP,1.0,1,1.0,1.0,3,fully_stable
FIRSTENERGY,4.0,4,3.0,4.0,2,partially_stable
FLUOR,0.0,0,6.0,6.0,1,partially_stable
FORD,3.0,1,3.0,4.0,1,partially_stable
FOX CORP,8.0,5,0.0,0.0,0,composite_divergent
GAP,12.0,5,5.0,0.0,0,composite_divergent
GENERAL DYNAMICS,0.0,0,6.0,6.0,1,partially_stable
GENERAL ELECTRIC,0.0,0,4.0,7.0,1,partially_stable
GENERAL MILLS,0.0,5,0.0,0.0,2,partially_stable
GENERAL MOTORS,0.0,4,0.0,0.0,2,partially_stable
GENWORTH FINANCIAL,1.0,1,4.0,7.0,1,partially_stable
GILEAD SCIENCES,2.0,2,2.0,2.0,3,fully_stable
GOLDMAN SACHS GROUP,1.0,1,4.0,7.0,1,partially_stable
