client_name,community_bc
ALLSTATE,0
ALLY FINANCIAL,0
AMERICAN EXPRESS,0
AMERIPRISE FINANCIAL,0
ASSURANT,0
BANK OF AMERICA,0
BLACKROCK,0
BOOKING HOLDINGS,0
CAPITAL ONE FINANCIAL,0
CBS,0
CELANESE,0
CHARLES SCHWAB,0
CITIGROUP,0
CITIZENS FINANCIAL GROUP,0
CONSTELLATION BRANDS,0
DISCOVER FINANCIAL SERVICES,0
ENTERPRISE PRODUCTS PARTNERS,0
FIFTH THIRD BANCORP,0
FORD,0
GENWORTH FINANCIAL,0
GOLDMAN SACHS GROUP,0
HARLEY-DAVIDSON,0
HARTFORD FINANCIAL SERVICES,0
HILTON WORLDWIDE HOLDINGS,0
IHEARTMEDIA,0
INTUIT,0
JPMORGAN CHASE & CO.,0
KEYCORP,0
KIMBERLY-CLARK,0
KROGER,0
LAS VEGAS SANDS,0
LIBERTY MEDIA,0
LIBERTY MUTUAL INSURANCE GROUP,0
LOEWS,0
M&T BANK CORP.,0
MARRIOTT INTERNATIONAL,0
MARSH & MCLENNAN,0
MASSACHUSETTS MUTUAL LIFE INSURANCE,0
METLIFE,0
MUTUAL OF OMAHA INSURANCE,0
NATIONWIDE,0
NCR,0
NETFLIX,0
NEW YORK LIFE INSURANCE,0
NORTHERN TRUST,0
NORTHWESTERN MUTUAL,0
PACIFIC LIFE,0
PAYPAL HOLDINGS,0
PNC FINANCIAL SERVICES,0
PRINCIPAL FINANCIAL,0
PRUDENTIAL FINANCIAL,0
PUBLIX SUPER MARKETS,0
QURATE RETAIL,0
REGIONS FINANCIAL,0
STATE FARM INSURANCE,0
STATE STREET CORP.,0
SYNCHRONY FINANCIAL,0
TARGET,0
TIAA,0
TRAVELERS,0
TWENTY-FIRST CENTURY FOX,0
UNUM GROUP,0
USAA,0
VIACOM,0
VISA,0
VISTRA ENERGY,0
VOYA FINANCIAL,0
W.R. BERKLEY,0
WELLS FARGO,0
WESTERN UNION,0
XEROX,0
YUM BRANDS,0
