client_name,community_cosine
ALLSTATE,0
ALTRIA GROUP,0
AMERIPRISE FINANCIAL,0
ASSURANT,0
BANK OF AMERICA,0
BLACKROCK,0
CHARLES SCHWAB,0
CITIGROUP,0
CITIZENS FINANCIAL GROUP,0
CONSTELLATION BRANDS,0
DAVITA,0
FORD,0
HARTFORD FINANCIAL SERVICES,0
JPMORGAN CHASE & CO.,0
KEYCORP,0
LIBERTY MUTUAL INSURANCE GROUP,0
M&T BANK CORP.,0
MARSH & MCLENNAN,0
MASSACHUSETTS MUTUAL LIFE INSURANCE,0
METLIFE,0
NATIONWIDE,0
NAVIENT,0
NEW YORK LIFE INSURANCE,0
NEXTERA ENERGY,0
NORTHERN TRUST,0
NORTHWESTERN MUTUAL,0
PACIFIC LIFE,0
PAYPAL HOLDINGS,0
PRINCIPAL FINANCIAL,0
PRUDENTIAL FINANCIAL,0
PUBLIX SUPER MARKETS,0
STATE FARM INSURANCE,0
TIAA,0
TRAVELERS,0
UNUM GROUP,0
USAA,0
W.R. BERKLEY,0
WELLS FARGO,0
WESTERN UNION,0
XEROX,0
YUM CHINA HOLDINGS,0
AMEREN,1
AMERICAN ELECTRIC POWER,1
ANIXTER INTERNATIONAL,1
BERKSHIRE HATHAWAY,1
CALPINE,1
CENTERPOINT ENERGY,1
CHENIERE ENERGY,1
CHEVRON,1
CMS ENERGY,1
CONOCOPHILLIPS,1
CSX,1
DTE ENERGY,1
DUKE ENERGY,1
ENTERGY,1
EVERSOURCE ENERGY,1
EXELON,1
EXXONMOBIL,1
FIRSTENERGY,1
HALLIBURTON,1
MARATHON PETROLEUM,1
NORFOLK SOUTHERN,1
NRG ENERGY,1
ONEOK,1
PEABODY ENERGY,1
PG&E,1
PHILLIPS 66,1
PPL,1
PUBLIC SERVICE ENTERPRISE GROUP,1
SEMPRA ENERGY,1
TENET HEALTHCARE,1
TESLA,1
UNION PACIFIC,1
VALERO ENERGY,1
XCEL ENERGY,1
ADVANCED MICRO DEVICES,2
ALPHABET,2
APPLE,2
APPLIED MATERIALS,2
ARAMARK,2
AT&T,2
BORGWARNER,2
CBS,2
CISCO SYSTEMS,2
COGNIZANT TECHNOLOGY SOLUTIONS,2
COMCAST,2
CONAGRA BRANDS,2
DEERE,2
DISH NETWORK,2
HEWLETT PACKARD ENTERPRISE,2
HONEYWELL INTERNATIONAL,2
IBM,2
IHEARTMEDIA,2
INTEL,2
INTUIT,2
LAS VEGAS SANDS,2
LKQ,2
MICRON TECHNOLOGY,2
MICROSOFT,2
MOTOROLA SOLUTIONS,2
ORACLE,2
SALESFORCE.COM,2
TEXAS INSTRUMENTS,2
TWENTY-FIRST CENTURY FOX,2
VERIZON,2
VIACOM,2
WESTERN DIGITAL,2
WINDSTREAM HOLDINGS,2
ABBOTT LABORATORIES,3
ARCONIC,3
ARTHUR J. GALLAGHER,3
BECTON DICKINSON,3
BOEING,3
BOSTON SCIENTIFIC,3
CAPITAL ONE FINANCIAL,3
CARDINAL HEALTH,3
CATERPILLAR,3
CHS,3
CLOROX,3
CORNING,3
DELL TECHNOLOGIES,3
ECOLAB,3
ESTEE LAUDER,3
GENERAL MILLS,3
GENERAL MOTORS,3
GENWORTH FINANCIAL,3
HORMEL FOODS,3
INTERNATIONAL PAPER,3
LABORATORY CORP. OF AMERICA,3
MASTERCARD,3
QUALCOMM,3
QUEST DIAGNOSTICS,3
SHERWIN-WILLIAMS,3
TENNECO,3
THERMO FISHER SCIENTIFIC,3
ZIMMER BIOMET HOLDINGS,3
ZOETIS,3
ABM INDUSTRIES,4
AECOM,4
AES,4
ALASKA AIR GROUP,4
AMERICAN AIRLINES GROUP,4
BALL,4
BOOZ ALLEN HAMILTON,4
DELTA AIR LINES,4
EXPEDIA GROUP,4
FEDEX,4
FLUOR,4
GENERAL DYNAMICS,4
GOODYEAR TIRE & RUBBER,4
HUNTINGTON INGALLS INDUSTRIES,4
HUNTSMAN,4
JETBLUE AIRWAYS,4
LENNAR,4
LOCKHEED MARTIN,4
MASCO,4
MGM RESORTS INTERNATIONAL,4
MORGAN STANLEY,4
NORTHROP GRUMMAN,4
OSHKOSH,4
POLARIS INDUSTRIES,4
RAYTHEON,4
SOUTHWEST AIRLINES,4
TEXTRON,4
UNITED CONTINENTAL HOLDINGS,4
WEYERHAEUSER,4
3M,5
AMERISOURCEBERGEN,5
AMGEN,5
BIOGEN,5
BLACKSTONE GROUP,5
BRISTOL-MYERS SQUIBB,5
CELGENE,5
CENTENE,5
CIGNA,5
CVS HEALTH,5
ELI LILLY,5
GENERAL ELECTRIC,5
GILEAD SCIENCES,5
GUARDIAN LIFE INS. CO. OF AMERICA,5
HUMANA,5
JOHNSON & JOHNSON,5
MAGELLAN HEALTH,5
MCKESSON,5
MERCK,5
MOLINA HEALTHCARE,5
MUTUAL OF OMAHA INSURANCE,5
NAVISTAR INTERNATIONAL,5
PFIZER,5
REGENERON PHARMACEUTICALS,5
RITE AID,5
RYDER SYSTEM,5
UNITED HEALTH GROUP,5
WALMART,5
WELLCARE HEALTH PLANS,5
COCA-COLA,6
DEAN FOODS,6
EASTMAN CHEMICAL,6
EBAY,6
HOME DEPOT,6
J.M. SMUCKER,6
KELLOGG,6
KEURIG DR PEPPER,6
KIMBERLY-CLARK,6
KROGER,6
LAND O'LAKES,6
LIBERTY MEDIA,6
LOWE'S,6
MCDONALD'S,6
PEPSICO,6
QURATE RETAIL,6
S&P GLOBAL,6
SYSCO,6
TARGET,6
UNITED PARCEL SERVICE,6
WALGREENS BOOTS ALLIANCE,6
WASTE MANAGEMENT,6
YUM BRANDS,6
AK STEEL HOLDING,7
CHEMOURS,7
DUPONT DE NEMOURS,7
EMERSON ELECTRIC,7
ILLINOIS TOOL WORKS,7
NUCOR,7
OWENS CORNING,7
PPG INDUSTRIES,7
WHIRLPOOL,7
ALLY FINANCIAL,8
AMERICAN EXPRESS,8
FIFTH THIRD BANCORP,8
GOLDMAN SACHS GROUP,8
PNC FINANCIAL SERVICES,8
REGIONS FINANCIAL,8
STATE STREET CORP.,8
SYNCHRONY FINANCIAL,8
VISA,8
CAMPBELL SOUP,9
GAP,9
NIKE,9
BOOKING HOLDINGS,10
LOEWS,10
HILTON WORLDWIDE HOLDINGS,11
MARRIOTT INTERNATIONAL,11
