client_name,community_lobby
3M,0
ADOBE,0
AES,0
AFLAC,0
AMERICAN EXPRESS,0
ARAMARK,0
ASSURANT,0
BLACKROCK,0
BLACKSTONE GROUP,0
BOEING,0
BROADCOM,0
CAMPBELL SOUP,0
CHARLES SCHWAB,0
CHEMOURS,0
CIGNA,0
CITIGROUP,0
CONSTELLATION BRANDS,0
DISH NETWORK,0
DUKE ENERGY,0
GENERAL ELECTRIC,0
GENWORTH FINANCIAL,0
GOLDMAN SACHS GROUP,0
HOME DEPOT,0
HUMANA,0
IHEARTMEDIA,0
MARATHON OIL,0
MASSACHUSETTS MUTUAL LIFE INSURANCE,0
MOTOROLA SOLUTIONS,0
NATIONWIDE,0
NAVIENT,0
NEW YORK LIFE INSURANCE,0
NEXTERA ENERGY,0
NORTHERN TRUST,0
OCCIDENTAL PETROLEUM,0
OWENS CORNING,0
PEPSICO,0
PRUDENTIAL FINANCIAL,0
STATE STREET CORP.,0
TESLA,0
TEXAS INSTRUMENTS,0
THERMO FISHER SCIENTIFIC,0
TIAA,0
VALERO ENERGY,0
VOYA FINANCIAL,0
WASTE MANAGEMENT,0
AMERICAN AIRLINES GROUP,1
AMERISOURCEBERGEN,1
APPLIED MATERIALS,1
BIOGEN,1
CATERPILLAR,1
CHEVRON,1
COGNIZANT TECHNOLOGY SOLUTIONS,1
COMCAST,1
CSX,1
DARDEN RESTAURANTS,1
DELL TECHNOLOGIES,1
DISCOVER FINANCIAL SERVICES,1
EASTMAN CHEMICAL,1
EOG RESOURCES,1
ESTEE LAUDER,1
EXXONMOBIL,1
FEDEX,1
FIRSTENERGY,1
FLUOR,1
GENERAL MOTORS,1
GOODYEAR TIRE & RUBBER,1
INTUIT,1
JETBLUE AIRWAYS,1
KROGER,1
LENNAR,1
LKQ,1
LOCKHEED MARTIN,1
MOSAIC,1
NIKE,1
PACIFIC LIFE,1
PAYPAL HOLDINGS,1
PEABODY ENERGY,1
PFIZER,1
REGIONS FINANCIAL,1
STRYKER,1
TRAVELERS,1
VIACOM,1
WALMART,1
WESTERN UNION,1
ABBOTT LABORATORIES,2
ADVANCED MICRO DEVICES,2
ALTICE USA,2
ALTRIA GROUP,2
AMGEN,2
BANK OF AMERICA,2
BECTON DICKINSON,2
CROWN HOLDINGS,2
CVS HEALTH,2
ELI LILLY,2
ENTERGY,2
EXELON,2
GAP,2
GILEAD SCIENCES,2
HERSHEY,2
HONEYWELL INTERNATIONAL,2
HORMEL FOODS,2
IBM,2
LAND O'LAKES,2
LEVI STRAUSS,2
LIBERTY MUTUAL INSURANCE GROUP,2
LIVE NATION ENTERTAINMENT,2
MCKESSON,2
MERCK,2
MOLINA HEALTHCARE,2
OWENS & MINOR,2
POLARIS INDUSTRIES,2
PPL,2
PRINCIPAL FINANCIAL,2
TARGET,2
UNITED CONTINENTAL HOLDINGS,2
UNITED PARCEL SERVICE,2
ZIMMER BIOMET HOLDINGS,2
ZOETIS,2
AMERICAN TOWER,3
ANTHEM,3
ARCONIC,3
AVIS BUDGET GROUP,3
BAXTER INTERNATIONAL,3
BERKSHIRE HATHAWAY,3
CENTENE,3
CHENIERE ENERGY,3
CHS,3
CMS ENERGY,3
ENTERPRISE PRODUCTS PARTNERS,3
HEWLETT PACKARD ENTERPRISE,3
JABIL,3
JOHNSON & JOHNSON,3
LIBERTY MEDIA,3
MARRIOTT INTERNATIONAL,3
MCDONALD'S,3
MGM RESORTS INTERNATIONAL,3
NCR,3
NUCOR,3
OSHKOSH,3
QURATE RETAIL,3
S&P GLOBAL,3
STARBUCKS,3
TENET HEALTHCARE,3
TWENTY-FIRST CENTURY FOX,3
WALGREENS BOOTS ALLIANCE,3
WELLCARE HEALTH PLANS,3
WORLD FUEL SERVICES,3
WYNN RESORTS,3
ALLSTATE,4
ALLY FINANCIAL,4
ALPHABET,4
AMAZON,4
AMEREN,4
AT&T,4
BOOZ ALLEN HAMILTON,4
BRISTOL-MYERS SQUIBB,4
CONOCOPHILLIPS,4
ECOLAB,4
EXPEDIA GROUP,4
HENRY SCHEIN,4
HUNTINGTON INGALLS INDUSTRIES,4
HUNTSMAN,4
INTERCONTINENTAL EXCHANGE,4
LOEWS,4
MARSH & MCLENNAN,4
MORGAN STANLEY,4
MUTUAL OF OMAHA INSURANCE,4
NORFOLK SOUTHERN,4
NORTHROP GRUMMAN,4
SALESFORCE.COM,4
SEMPRA ENERGY,4
SOUTHWEST AIRLINES,4
UNITED STATES STEEL,4
VISA,4
WELLS FARGO,4
AECOM,5
ANIXTER INTERNATIONAL,5
APPLE,5
CAPITAL ONE FINANCIAL,5
CISCO SYSTEMS,5
COCA-COLA,5
DAVITA,5
DELTA AIR LINES,5
FORD,5
GENERAL DYNAMICS,5
GUARDIAN LIFE INS. CO. OF AMERICA,5
HARTFORD FINANCIAL SERVICES,5
HILTON WORLDWIDE HOLDINGS,5
INTEL,5
INTERNATIONAL PAPER,5
LAS VEGAS SANDS,5
