client_name,community_rbo
ALLSTATE,0
ALLY FINANCIAL,0
AMERICAN EXPRESS,0
AMERIPRISE FINANCIAL,0
ASSURANT,0
BANK OF AMERICA,0
BLACKROCK,0
CHARLES SCHWAB,0
CITIGROUP,0
CITIZENS FINANCIAL GROUP,0
CONSTELLATION BRANDS,0
FIFTH THIRD BANCORP,0
FORD,0
GENWORTH FINANCIAL,0
GOLDMAN SACHS GROUP,0
HARTFORD FINANCIAL SERVICES,0
JPMORGAN CHASE & CO.,0
KEYCORP,0
LIBERTY MUTUAL INSURANCE GROUP,0
M&T BANK CORP.,0
MARSH & MCLENNAN,0
MASSACHUSETTS MUTUAL LIFE INSURANCE,0
METLIFE,0
NATIONWIDE,0
NEW YORK LIFE INSURANCE,0
NEXTERA ENERGY,0
NORTHERN TRUST,0
NORTHWESTERN MUTUAL,0
PACIFIC LIFE,0
PAYPAL HOLDINGS,0
PNC FINANCIAL SERVICES,0
PRINCIPAL FINANCIAL,0
PRUDENTIAL FINANCIAL,0
PUBLIX SUPER MARKETS,0
RAYTHEON,0
REGIONS FINANCIAL,0
STATE FARM INSURANCE,0
STATE STREET CORP.,0
SYNCHRONY FINANCIAL,0
TIAA,0
TRAVELERS,0
UNUM GROUP,0
USAA,0
VISA,0
VOYA FINANCIAL,0
W.R. BERKLEY,0
WELLS FARGO,0
WESTERN UNION,0
XEROX,0
ADOBE,1
AECOM,1
AK STEEL HOLDING,1
ALASKA AIR GROUP,1
AMERICAN AIRLINES GROUP,1
AMERICAN TOWER,1
ARCONIC,1
BALL,1
BOOZ ALLEN HAMILTON,1
CAPITAL ONE FINANCIAL,1
CHEMOURS,1
DAVITA,1
DELTA AIR LINES,1
DISCOVER FINANCIAL SERVICES,1
DISH NETWORK,1
EMERSON ELECTRIC,1
EXPEDIA GROUP,1
FEDEX,1
FLUOR,1
GENERAL DYNAMICS,1
HUNTINGTON INGALLS INDUSTRIES,1
HUNTSMAN,1
ILLINOIS TOOL WORKS,1
JETBLUE AIRWAYS,1
