fortune_name,community_rbo,quarter
ABBVIE,0,1
AMGEN,0,1
APPLIED MATERIALS,0,1
BEST BUY,0,1
BORGWARNER,0,1
CATERPILLAR,0,1
CITIGROUP,0,1
COSTCO,0,1
DEERE,0,1
DELL TECHNOLOGIES,0,1
EXXONMOBIL,0,1
FACEBOOK,0,1
FIFTH THIRD BANCORP,0,1
GENERAL ELECTRIC,0,1
GENWORTH FINANCIAL,0,1
GOLDMAN SACHS GROUP,0,1
HARTFORD FINANCIAL SERVICES,0,1
HCA HEALTHCARE,0,1
HONEYWELL INTERNATIONAL,0,1
HUNTSMAN,0,1
IHEARTMEDIA,0,1
INTERNATIONAL PAPER,0,1
MASSACHUSETTS MUTUAL LIFE INSURANCE,0,1
METLIFE,0,1
MICROSOFT,0,1
NATIONWIDE,0,1
NEXTERA ENERGY,0,1
ORACLE,0,1
OWENS-ILLINOIS,0,1
PPG INDUSTRIES,0,1
PRUDENTIAL FINANCIAL,0,1
RITE AID,0,1
S&P GLOBAL,0,1
TESLA,0,1
W.R. BERKLEY,0,1
WESCO INTERNATIONAL,0,1
WESTERN UNION,0,1
3M,1,1
AIG,1,1
ALLSTATE,1,1
AMERICAN FAMILY INSURANCE GROUP,1,1
AMERIPRISE FINANCIAL,1,1
AMERISOURCEBERGEN,1,1
ASSURANT,1,1
BLACKROCK,1,1
BLACKSTONE GROUP,1,1
BRISTOL-MYERS SQUIBB,1,1
CENTENE,1,1
CHARLES SCHWAB,1,1
CIGNA,1,1
CVS HEALTH,1,1
FORD,1,1
HUMANA,1,1
JOHNSON & JOHNSON,1,1
LIBERTY MUTUAL INSURANCE GROUP,1,1
LINCOLN NATIONAL,1,1
MAGELLAN HEALTH,1,1
MOLINA HEALTHCARE,1,1
MUTUAL OF OMAHA INSURANCE,1,1
NEW YORK LIFE INSURANCE,1,1
NORTHWESTERN MUTUAL,1,1
PRINCIPAL FINANCIAL,1,1
PUBLIX SUPER MARKETS,1,1
TIAA,1,1
USAA,1,1
WALMART,1,1
XEROX,1,1
AMEREN,2,1
AMERICAN ELECTRIC POWER,2,1
BERKSHIRE HATHAWAY,2,1
CMS ENERGY,2,1
CSX,2,1
DOMINION ENERGY,2,1
DTE ENERGY,2,1
DUKE ENERGY,2,1
EDISON INTERNATIONAL,2,1
ENTERGY,2,1
EVERSOURCE ENERGY,2,1
EXELON,2,1
FIRSTENERGY,2,1
ILLINOIS TOOL WORKS,2,1
MARATHON PETROLEUM,2,1
NORFOLK SOUTHERN,2,1
NUCOR,2,1
PG&E,2,1
PHILLIPS 66,2,1
PPL,2,1
SOUTHERN,2,1
UNION PACIFIC,2,1
XCEL ENERGY,2,1
AECOM,3,1
ALASKA AIR GROUP,3,1
AMAZON,3,1
AMERICAN AIRLINES GROUP,3,1
BOEING,3,1
DELTA AIR LINES,3,1
EBAY,3,1
FEDEX,3,1
GENERAL MILLS,3,1
GENERAL MOTORS,3,1
HOLLYFRONTIER,3,1
HP,3,1
IBM,3,1
JACOBS ENGINEERING GROUP,3,1
JPMORGAN CHASE & CO.,3,1
LEIDOS HOLDINGS,3,1
LOCKHEED MARTIN,3,1
RAYTHEON,3,1
SOUTHWEST AIRLINES,3,1
UNITED AIRLINES HOLDINGS,3,1
WEYERHAEUSER,3,1
BAXTER INTERNATIONAL,4,1
BECTON DICKINSON,4,1
BOSTON SCIENTIFIC,4,1
CARDINAL HEALTH,4,1
COGNIZANT TECHNOLOGY SOLUTIONS,4,1
CORNING,4,1
CUMMINS,4,1
DISCOVER FINANCIAL SERVICES,4,1
ECOLAB,4,1
GRAPHIC PACKAGING HOLDING,4,1
HEWLETT PACKARD ENTERPRISE,4,1
INTEL,4,1
MCKESSON,4,1
MICRON TECHNOLOGY,4,1
OWENS CORNING,4,1
PEABODY ENERGY,4,1
SALESFORCE,4,1
TEXAS INSTRUMENTS,4,1
WESTROCK,4,1
ZIMMER BIOMET HOLDINGS,4,1
ABBOTT LABORATORIES,5,1
ALPHABET,5,1
ALTRIA GROUP,5,1
BANK OF NEW YORK MELLON,5,1
COCA-COLA,5,1
COMCAST,5,1
DEAN FOODS,5,1
KELLOGG,5,1
KROGER,5,1
LAND O'LAKES,5,1
LOWE'S,5,1
LUMEN TECHNOLOGIES,5,1
MARSH & MCLENNAN,5,1
MCDONALD'S,5,1
MOLSON COORS BEVERAGE,5,1
PEPSICO,5,1
SYSCO,5,1
YUM BRANDS,5,1
AMERICAN EXPRESS,6,1
CONSTELLATION BRANDS,6,1
KEYCORP,6,1
REGIONS FINANCIAL,6,1
STATE FARM INSURANCE,6,1
TRAVELERS,6,1
U.S. BANCORP,6,1
WELLS FARGO,6,1
ALLY FINANCIAL,7,1
NORTHERN TRUST,7,1
PNC FINANCIAL SERVICES,7,1
SYNCHRONY FINANCIAL,7,1
VISA,7,1
AT&T,8,1
CBS,8,1
CHARTER COMMUNICATIONS,8,1
VERIZON,8,1
HILTON WORLDWIDE HOLDINGS,9,1
MARRIOTT INTERNATIONAL,9,1
LIBERTY MEDIA,10,1
QURATE RETAIL,10,1
STANLEY BLACK & DECKER,11,1
VF,11,1
