col_idx,fortune_name
0,3M
1,ABBOTT LABORATORIES
2,ABBVIE
3,ABM INDUSTRIES
4,ADOBE
5,ADP
6,ADVANCED MICRO DEVICES
7,AECOM
8,AES
9,AFLAC
10,AIG
11,AIR PRODUCTS & CHEMICALS
12,ALASKA AIR GROUP
13,ALLSTATE
14,ALLY FINANCIAL
15,ALPHABET
16,ALTICE USA
17,ALTRIA GROUP
18,AMAZON
19,AMEREN
20,AMERICAN AIRLINES GROUP
21,AMERICAN ELECTRIC POWER
22,AMERICAN EXPRESS
23,AMERICAN FAMILY INSURANCE GROUP
24,AMERICAN TOWER
25,AMERIPRISE FINANCIAL
26,AMERISOURCEBERGEN
27,AMGEN
28,APPLE
29,APPLIED MATERIALS
30,ARAMARK
31,ARCHER DANIELS MIDLAND
32,ARCONIC
33,ARTHUR J. GALLAGHER
34,ASSURANT
35,AT&T
36,AVIS BUDGET GROUP
37,BALL
38,BANK OF AMERICA
39,BANK OF NEW YORK MELLON
40,BAXTER INTERNATIONAL
41,BECTON DICKINSON
42,BERKSHIRE HATHAWAY
43,BEST BUY
44,BIOGEN
45,BLACKROCK
46,BLACKSTONE GROUP
47,BOEING
48,BOOKING HOLDINGS
49,BOOZ ALLEN HAMILTON
50,BORGWARNER
51,BOSTON SCIENTIFIC
52,BRIGHTHOUSE FINANCIAL
53,BRISTOL-MYERS SQUIBB
54,BROADCOM
55,C.H. ROBINSON WORLDWIDE
56,CAESARS ENTERTAINMENT
57,CAMPBELL SOUP
58,CAPITAL ONE FINANCIAL
59,CARDINAL HEALTH
60,CATERPILLAR
61,CBS
62,CELANESE
63,CENTENE
64,CENTERPOINT ENERGY
65,CHARLES SCHWAB
66,CHARTER COMMUNICATIONS
67,CHEMOURS
68,CHEVRON
69,CHS
70,CIGNA
71,CINTAS
72,CISCO SYSTEMS
73,CITIGROUP
74,CITIZENS FINANCIAL GROUP
75,CLOROX
76,CMS ENERGY
77,COCA-COLA
78,COGNIZANT TECHNOLOGY SOLUTIONS
79,COMCAST
80,COMMUNITY HEALTH SYSTEMS
81,CONAGRA BRANDS
82,CONOCOPHILLIPS
83,CONSOLIDATED EDISON
84,CONSTELLATION BRANDS
85,CORNING
86,COSTCO
87,CSX
88,CUMMINS
89,CVS HEALTH
90,DANAHER
91,DARDEN RESTAURANTS
92,DAVITA
93,DEAN FOODS
94,DEERE
95,DELL TECHNOLOGIES
96,DELTA AIR LINES
97,DISCOVER FINANCIAL SERVICES
98,DISCOVERY
99,DISH NETWORK
100,DOMINION ENERGY
101,DTE ENERGY
102,DUKE ENERGY
103,DUPONT DE NEMOURS
104,EBAY
105,ECOLAB
106,EDISON INTERNATIONAL
107,ELI LILLY
108,EMERSON ELECTRIC
109,ENERGY TRANSFER
110,ENTERGY
111,ENTERPRISE PRODUCTS PARTNERS
112,EOG RESOURCES
113,ESTEE LAUDER
114,EVERSOURCE ENERGY
115,EXELON
116,EXXONMOBIL
117,FACEBOOK
118,FEDEX
119,FIFTH THIRD BANCORP
120,FIRSTENERGY
121,FLUOR
122,FORD
123,FOX CORP
124,GAP
125,GENERAL DYNAMICS
126,GENERAL ELECTRIC
127,GENERAL MILLS
128,GENERAL MOTORS
129,GENWORTH FINANCIAL
130,GILEAD SCIENCES
131,GOLDMAN SACHS GROUP
132,GOODYEAR TIRE & RUBBER
133,GRAPHIC PACKAGING HOLDING
134,HALLIBURTON
135,HANESBRANDS
136,HARLEY-DAVIDSON
137,HARTFORD FINANCIAL SERVICES
138,HCA HEALTHCARE
139,HENRY SCHEIN
140,HERSHEY
141,HEWLETT PACKARD ENTERPRISE
142,HILTON WORLDWIDE HOLDINGS
143,HOLLYFRONTIER
144,HOME DEPOT
145,HONEYWELL INTERNATIONAL
146,HP
147,HUMANA
148,HUNTSMAN
149,IBM
150,IHEARTMEDIA
151,ILLINOIS TOOL WORKS
152,INTEL
153,INTERNATIONAL PAPER
154,INTERPUBLIC GROUP
155,INTUIT
156,JABIL
157,JACOBS ENGINEERING GROUP
158,JETBLUE AIRWAYS
159,JOHNSON & JOHNSON
160,JPMORGAN CHASE & CO.
161,KELLOGG
162,KEURIG DR PEPPER
163,KEYCORP
164,KIMBERLY-CLARK
165,KRAFT HEINZ
166,KROGER
167,L3HARRIS TECHNOLOGIES
168,LABORATORY CORP. OF AMERICA
169,LAM RESEARCH
170,LAND O'LAKES
171,LAS VEGAS SANDS
172,LEIDOS HOLDINGS
173,LEVI STRAUSS
174,LIBERTY MEDIA
175,LIBERTY MUTUAL INSURANCE GROUP
176,LINCOLN NATIONAL
177,LIVE NATION ENTERTAINMENT
178,LKQ
179,LOCKHEED MARTIN
180,LOEWS
181,LOWE'S
182,LUMEN TECHNOLOGIES
