company,rank,bill_number,total_amount,budget_fraction
3M,1,S.2639,335858.09,0.029748
3M,2,S.2634,335858.09,0.029748
3M,3,S.232,335858.09,0.029748
3M,4,S.2645,335858.09,0.029748
3M,5,S.2644,335858.09,0.029748
3M,6,S.2643,335858.09,0.029748
3M,7,S.2642,335858.09,0.029748
3M,8,S.2640,335858.09,0.029748
3M,9,H.R.845,335858.09,0.029748
3M,10,S.2638,335858.09,0.029748
3M,11,S.2637,335858.09,0.029748
3M,12,S.2636,335858.09,0.029748
3M,13,S.2635,335858.09,0.029748
3M,14,H.R.523,335858.09,0.029748
3M,15,H.R.1701,279949.0,0.024796
3M,16,H.R.1417,279949.0,0.024796
3M,17,S.358,279949.0,0.024796
3M,18,S.866,279949.0,0.024796
3M,19,S.1009,279949.0,0.024796
3M,20,S.1013,279949.0,0.024796
3M,21,S.972,279949.0,0.024796
3M,22,H.R.2278,279949.0,0.024796
3M,23,S.1392,232852.23,0.020625
3M,24,H.R.3141,232852.23,0.020625
3M,25,H.R.3202,232852.23,0.020625
3M,26,H.R.2810,187263.99,0.016587
3M,27,S.1871,187263.99,0.016587
3M,28,H.R.982,187263.99,0.016587
3M,29,H.R.307,185699.36,0.016448
3M,30,S.242,185699.36,0.016448
ABBOTT LABORATORIES,1,H.R.4432,543857.14,0.131366
ABBOTT LABORATORIES,2,H.R.1295,373968.25,0.09033
ABBOTT LABORATORIES,3,H.R.523,373968.25,0.09033
ABBOTT LABORATORIES,4,H.R.1947,191111.11,0.046162
ABBOTT LABORATORIES,5,H.R.2085,191111.11,0.046162
ABBOTT LABORATORIES,6,S.954,191111.11,0.046162
ABBOTT LABORATORIES,7,H.R.3497,183838.38,0.044405
ABBOTT LABORATORIES,8,H.R.2810,160000.0,0.038647
ABBOTT LABORATORIES,9,H.R.4438,138857.14,0.03354
ABBOTT LABORATORIES,10,S.1562,122727.27,0.029644
ABBOTT LABORATORIES,11,H.R.6083,100000.0,0.024155
ABBOTT LABORATORIES,12,H.R.2410,93272.73,0.02253
ABBOTT LABORATORIES,13,S.957,83838.38,0.020251
ABBOTT LABORATORIES,14,H.R.4920,82857.14,0.020014
ABBOTT LABORATORIES,15,S.662,82857.14,0.020014
ABBOTT LABORATORIES,16,H.R.4486,56000.0,0.013527
ABBOTT LABORATORIES,17,H.R.15,37272.73,0.009003
ABBVIE,1,S.621,580846.15,0.088544
ABBVIE,2,H.CON.RES.25,385000.0,0.058689
ABBVIE,3,H.R.1483,315000.0,0.048018
ABBVIE,4,H.R.1102,307929.49,0.04694
ABBVIE,5,S.214,307929.49,0.04694
ABBVIE,6,S.117,307929.49,0.04694
ABBVIE,7,H.R.1285,265846.15,0.040525
ABBVIE,8,S.740,265846.15,0.040525
ABBVIE,9,H.R.2725,265846.15,0.040525
ABBVIE,10,H.R.3204,265846.15,0.040525
ABBVIE,11,S.1413,265846.15,0.040525
ABBVIE,12,H.R.2925,185929.49,0.028343
ABBVIE,13,H.R.3723,185929.49,0.028343
ABBVIE,14,H.R.3116,148429.49,0.022626
ABBVIE,15,H.R.3547,148429.49,0.022626
ABBVIE,16,S.1281,148429.49,0.022626
ABBVIE,17,S.957,143846.15,0.021928
ABBVIE,18,H.R.3709,143846.15,0.021928
ABBVIE,19,H.R.1588,143846.15,0.021928
ABBVIE,20,H.R.1558,122000.0,0.018598
