source,target,weight,source_firsts,target_firsts,tie_count,shared_bills,net_temporal,balanced
ABBOTT LABORATORIES,3M,0.003797,1,0,1,2,1,0
3M,ALLSTATE,0.004235,2,0,0,2,2,0
3M,ALLY FINANCIAL,0.001976,1,0,0,1,1,0
3M,ALPHABET,0.004235,0,0,2,2,0,1
3M,AMAZON,0.000633,1,0,0,1,1,0
3M,AMERICAN AIRLINES GROUP,0.000716,0,0,2,2,0,1
3M,AMERICAN EXPRESS,0.020823,0,0,1,1,0,1
3M,AMERIPRISE FINANCIAL,0.020823,0,0,1,1,0,1
3M,APPLE,0.021986,0,0,3,3,0,1
3M,BAXTER INTERNATIONAL,0.023355,2,0,1,3,2,0
3M,BECTON DICKINSON,0.068417,0,0,2,2,0,1
3M,BLACKSTONE GROUP,0.00145,1,0,0,1,1,0
3M,BOSTON SCIENTIFIC,0.08554,1,1,4,6,0,1
3M,BRISTOL-MYERS SQUIBB,0.00428,3,0,0,3,3,0
3M,CARDINAL HEALTH,0.117024,0,0,2,2,0,1
3M,CHESAPEAKE ENERGY,0.00544,1,0,1,2,1,0
3M,CISCO SYSTEMS,0.007803,3,0,0,3,3,0
3M,COMCAST,0.000619,0,0,1,1,0,1
3M,CONOCOPHILLIPS,0.000766,0,0,1,1,0,1
3M,CONSOLIDATED EDISON,0.000799,1,0,0,1,1,0
3M,CORNING,0.083952,3,0,1,4,3,0
3M,DEERE,0.001296,1,0,0,1,1,0
3M,DELTA AIR LINES,0.000617,0,0,1,1,0,1
3M,DISH NETWORK,0.021986,2,0,1,3,2,0
3M,DUPONT DE NEMOURS,0.002166,0,0,2,2,0,1
3M,EBAY,0.01314,1,0,2,3,1,0
3M,EDISON INTERNATIONAL,0.000799,0,0,1,1,0,1
3M,ENTERGY,0.002066,0,0,1,1,0,1
3M,EXELON,0.000468,1,0,0,1,1,0
3M,EXXONMOBIL,0.002066,0,0,1,1,0,1
3M,FACEBOOK,0.004036,2,0,0,2,2,0
3M,FORD,0.020823,0,0,1,1,0,1
3M,GENERAL ELECTRIC,0.130244,0,0,5,5,0,1
3M,GENERAL MOTORS,0.002866,0,0,2,2,0,1
3M,HARTFORD FINANCIAL SERVICES,0.001809,1,1,0,2,0,1
3M,HUMANA,0.000247,1,0,0,1,1,0
3M,IBM,0.005034,1,0,2,3,1,0
3M,IHEARTMEDIA,0.004235,2,0,0,2,2,0
3M,INTEL,0.005237,1,0,2,3,1,0
3M,JOHNSON & JOHNSON,0.00378,0,0,4,4,0,1
3M,JPMORGAN CHASE & CO.,0.001267,2,0,0,2,2,0
3M,LOCKHEED MARTIN,0.002066,0,0,1,1,0,1
3M,MARATHON OIL,0.002066,1,0,0,1,1,0
3M,MICROSOFT,0.025058,2,0,1,3,2,0
3M,MOTOROLA SOLUTIONS,0.014433,3,0,0,3,3,0
MUTUAL OF OMAHA INSURANCE,3M,0.000594,1,0,1,2,1,0
NATIONWIDE,3M,0.000783,1,0,1,2,1,0
ORACLE,3M,0.025652,2,0,3,5,2,0
3M,PEPSICO,0.004235,1,0,1,2,1,0
3M,PPG INDUSTRIES,0.00193,0,0,2,2,0,1
3M,PRUDENTIAL FINANCIAL,0.001598,1,0,0,1,1,0
3M,QUALCOMM,0.014358,0,0,3,3,0,1
3M,SOUTHWEST AIRLINES,0.000369,0,0,1,1,0,1
3M,STRYKER,0.059155,0,0,2,2,0,1
3M,TEXAS INSTRUMENTS,0.024759,0,0,3,3,0,1
3M,THERMO FISHER SCIENTIFIC,0.008016,2,0,1,3,2,0
3M,UNITED AIRLINES HOLDINGS,0.004683,0,0,2,2,0,1
3M,VERIZON,0.002111,1,0,1,2,1,0
3M,WEYERHAEUSER,0.000799,0,0,1,1,0,1
3M,ZIMMER BIOMET HOLDINGS,0.085908,1,0,1,2,1,0
ABBOTT LABORATORIES,ABBVIE,0.000655,1,0,1,2,1,0
ALTRIA GROUP,ABBOTT LABORATORIES,0.00753,1,0,1,2,1,0
ABBOTT LABORATORIES,AMEREN,0.002502,0,0,1,1,0,1
ABBOTT LABORATORIES,AMERISOURCEBERGEN,0.002937,0,0,1,1,0,1
ABBOTT LABORATORIES,AMGEN,0.029343,1,0,2,3,1,0
ABBOTT LABORATORIES,AT&T,0.082106,0,0,2,2,0,1
