firm,net_influence,net_strength,total_firsts,total_losses
NORTHWESTERN MUTUAL,66,10.9768,98,32
XCEL ENERGY,77,8.006,90,13
TIAA,40,7.108,40,0
NORTHROP GRUMMAN,84,6.871,88,4
LOCKHEED MARTIN,135,6.8,151,16
HP,84,6.5014,93,9
DTE ENERGY,90,6.3751,90,0
AT&T,91,5.8904,94,3
U.S. BANCORP,51,5.0478,76,25
MICROSOFT,55,4.855,89,34
JPMORGAN CHASE & CO.,70,4.853,87,17
DUKE ENERGY,10,4.7629,95,85
CORNING,49,3.5466,59,10
COCA-COLA,42,3.3822,57,15
FACEBOOK,-38,3.3468,53,91
CISCO SYSTEMS,42,3.1492,73,31
AMERIPRISE FINANCIAL,42,3.0306,81,39
RAYTHEON,53,2.999,70,17
GENERAL ELECTRIC,39,2.9607,48,9
METLIFE,35,2.8989,112,77
AMAZON,58,2.8844,81,23
CMS ENERGY,42,2.8454,59,17
BOEING,68,2.8264,77,9
WELLS FARGO,41,2.8084,62,21
FIRSTENERGY,46,2.8046,75,29
PHILLIPS 66,46,2.6193,53,7
CAPITAL ONE FINANCIAL,-6,2.6153,94,100
ENTERGY,46,2.5508,96,50
3M,80,2.4155,82,2
VERIZON,35,2.2312,68,33
KELLOGG,-9,2.0849,29,38
HARTFORD FINANCIAL SERVICES,45,1.9799,61,16
VISA,42,1.9474,47,5
PRINCIPAL FINANCIAL,-7,1.9193,59,66
CITIZENS FINANCIAL GROUP,11,1.9126,11,0
TEXAS INSTRUMENTS,25,1.7998,73,48
DAVITA,14,1.736,14,0
LEIDOS HOLDINGS,32,1.6369,66,34
APPLIED MATERIALS,17,1.611,18,1
FEDEX,22,1.5789,58,36
OCCIDENTAL PETROLEUM,24,1.5485,46,22
BOSTON SCIENTIFIC,9,1.5463,48,39
SUNTRUST BANKS,5,1.544,19,14
PPL,6,1.4514,58,52
EXXONMOBIL,32,1.4512,37,5
CAMPBELL SOUP,-8,1.4108,13,21
MASSACHUSETTS MUTUAL LIFE INSURANCE,16,1.403,88,72
AMERICAN EXPRESS,31,1.3706,60,29
UNITED AIRLINES HOLDINGS,20,1.3667,28,8
HOME DEPOT,-14,1.3142,78,92
APPLE,18,1.2446,37,19
ECOLAB,23,1.2332,52,29
AMERICAN FAMILY INSURANCE GROUP,0,1.2027,60,60
WELLCARE HEALTH PLANS,-3,1.1853,13,16
WEYERHAEUSER,29,1.185,44,15
ALLSTATE,40,1.1737,95,55
JOHNSON & JOHNSON,33,1.1336,39,6
CHARLES SCHWAB,9,1.037,29,20
EBAY,33,1.016,47,14
MONDELEZ INTERNATIONAL,3,0.9547,5,2
NORFOLK SOUTHERN,21,0.9502,39,18
GENERAL DYNAMICS,28,0.9464,42,14
AMERICAN ELECTRIC POWER,-2,0.8804,66,68
VF,10,0.8311,18,8
CHEVRON,32,0.826,35,3
DISCOVER FINANCIAL SERVICES,43,0.788,50,7
AMERICAN AIRLINES GROUP,21,0.7251,24,3
TRAVELERS,8,0.6764,8,0
MARATHON PETROLEUM,14,0.6284,22,8
REINSURANCE GROUP OF AMERICA,11,0.6239,12,1
NUCOR,25,0.5984,28,3
LIBERTY MUTUAL INSURANCE GROUP,3,0.5938,43,40
GENERAL MOTORS,32,0.5477,39,7
CHS,-5,0.5007,31,36
L3HARRIS TECHNOLOGIES,2,0.4936,12,10
IBM,41,0.485,75,34
JONES FINANCIAL (EDWARD JONES),4,0.4509,4,0
WALGREENS BOOTS ALLIANCE,5,0.4376,6,1
CHESAPEAKE ENERGY,5,0.4151,20,15
FRANKLIN RESOURCES,5,0.412,5,0
CSX,17,0.4079,35,18
CIGNA,17,0.4066,29,12
OSHKOSH,3,0.405,3,0
EASTMAN CHEMICAL,5,0.405,5,0
PEABODY ENERGY,15,0.3958,27,12
WILLIAMS,4,0.3924,8,4
USAA,5,0.3784,39,34
NORTHERN TRUST,-5,0.3399,6,11
EVERSOURCE ENERGY,-4,0.3357,68,72
MARRIOTT INTERNATIONAL,15,0.2793,33,18
HALLIBURTON,2,0.2775,2,0
NAVIENT,-1,0.2499,15,16
HCA HEALTHCARE,14,0.2473,24,10
MOLSON COORS BEVERAGE,1,0.2467,1,0
PG&E,2,0.2412,16,14
GENERAL MILLS,8,0.2235,12,4
NATIONWIDE,31,0.2128,75,44
PPG INDUSTRIES,12,0.2111,23,11
CELGENE,7,0.2012,7,0
MGM RESORTS INTERNATIONAL,10,0.1779,14,4
MCKESSON,10,0.1775,11,1
AECOM,8,0.1679,9,1
INTERNATIONAL PAPER,3,0.1638,20,17
CBS,2,0.1554,18,16
ROCKWELL COLLINS,14,0.1538,55,41
GOLDMAN SACHS GROUP,4,0.1445,4,0
WASTE MANAGEMENT,-2,0.1377,2,4
UNION PACIFIC,11,0.1299,23,12
UNITED STATES STEEL,4,0.1225,12,8
CELANESE,3,0.1152,13,10
CHARTER COMMUNICATIONS,12,0.1025,32,20
LINCOLN NATIONAL,17,0.0936,74,57
CENTERPOINT ENERGY,2,0.0722,2,0
AMERICAN TOWER,1,0.0638,1,0
DEERE,14,0.0498,47,33
TEXTRON,1,0.0361,1,0
COMCAST,-4,0.0204,4,8
CONOCOPHILLIPS,5,0.0204,11,6
ALTRIA GROUP,7,0.0146,7,0
CINTAS,0,0.0,0,0
STARBUCKS,0,0.0,0,0
DISH NETWORK,0,0.0,0,0
BIOGEN,0,0.0,0,0
LABORATORY CORP. OF AMERICA,0,0.0,0,0
ARAMARK,0,0.0,0,0
STANLEY BLACK & DECKER,0,0.0,0,0
KIMBERLY-CLARK,0,0.0,0,0
PACKAGING CORP. OF AMERICA,0,0.0,0,0
CAESARS ENTERTAINMENT,0,0.0,0,0
HARLEY-DAVIDSON,0,0.0,0,0
LAS VEGAS SANDS,0,0.0,0,0
