source,target,weight,rbo,source_firsts,target_firsts,tie_count,shared_bills,net_temporal
3M,ABBOTT LABORATORIES,0.004754,0.004754,5,0,0,5,5
ABBOTT LABORATORIES,3M,0.0,0.004754,0,5,0,5,-5
3M,ABBVIE,0.029731,0.039641,1,0,1,2,1
ABBVIE,3M,0.00991,0.039641,0,1,1,2,-1
3M,AES,0.0004,0.000799,0,0,1,1,0
AES,3M,0.0004,0.000799,0,0,1,1,0
3M,ALLSTATE,0.031145,0.06229,0,0,2,2,0
ALLSTATE,3M,0.031145,0.06229,0,0,2,2,0
3M,ALPHABET,0.009045,0.01206,1,0,1,2,1
ALPHABET,3M,0.003015,0.01206,0,1,1,2,-1
3M,AMAZON,0.007716,0.010289,1,0,1,2,1
AMAZON,3M,0.002572,0.010289,0,1,1,2,-1
3M,AMEREN,0.00584,0.00584,2,0,0,2,2
AMEREN,3M,0.0,0.00584,0,2,0,2,-2
3M,AMERICAN EXPRESS,0.01173,0.01564,1,0,1,2,1
AMERICAN EXPRESS,3M,0.00391,0.01564,0,1,1,2,-1
3M,AMERIPRISE FINANCIAL,2.2e-05,4.5e-05,0,0,1,1,0
AMERIPRISE FINANCIAL,3M,2.2e-05,4.5e-05,0,0,1,1,0
3M,AMGEN,0.014726,0.029453,0,0,2,2,0
AMGEN,3M,0.014726,0.029453,0,0,2,2,0
3M,APPLE,0.00478,0.00956,0,0,1,1,0
APPLE,3M,0.00478,0.00956,0,0,1,1,0
3M,BAXTER INTERNATIONAL,0.022671,0.022671,2,0,0,2,2
BAXTER INTERNATIONAL,3M,0.0,0.022671,0,2,0,2,-2
3M,BECTON DICKINSON,0.00783,0.01566,0,0,2,2,0
BECTON DICKINSON,3M,0.00783,0.01566,0,0,2,2,0
3M,BERKSHIRE HATHAWAY,0.001266,0.001688,1,0,1,2,1
BERKSHIRE HATHAWAY,3M,0.000422,0.001688,0,1,1,2,-1
3M,BEST BUY,0.005107,0.010215,0,0,1,1,0
BEST BUY,3M,0.005107,0.010215,0,0,1,1,0
3M,BOEING,0.064428,0.128855,0,0,3,3,0
BOEING,3M,0.064428,0.128855,0,0,3,3,0
3M,BOSTON SCIENTIFIC,0.011182,0.01988,1,0,7,8,1
BOSTON SCIENTIFIC,3M,0.008697,0.01988,0,1,7,8,-1
3M,BRISTOL-MYERS SQUIBB,0.040962,0.054617,2,0,2,4,2
BRISTOL-MYERS SQUIBB,3M,0.013654,0.054617,0,2,2,4,-2
3M,CAMPBELL SOUP,0.002982,0.005964,0,0,1,1,0
CAMPBELL SOUP,3M,0.002982,0.005964,0,0,1,1,0
3M,CAPITAL ONE FINANCIAL,0.006381,0.012762,0,0,1,1,0
CAPITAL ONE FINANCIAL,3M,0.006381,0.012762,0,0,1,1,0
3M,CARDINAL HEALTH,0.024964,0.049928,0,0,2,2,0
CARDINAL HEALTH,3M,0.024964,0.049928,0,0,2,2,0
3M,CATERPILLAR,0.00441,0.006615,1,0,2,3,1
CATERPILLAR,3M,0.002205,0.006615,0,1,2,3,-1
3M,CBS,0.002169,0.003471,1,0,3,4,1
CBS,3M,0.001301,0.003471,0,1,3,4,-1
3M,CELANESE,0.042954,0.085908,0,0,2,2,0
CELANESE,3M,0.042954,0.085908,0,0,2,2,0
3M,CENTENE,0.017458,0.034916,0,0,1,1,0
CENTENE,3M,0.017458,0.034916,0,0,1,1,0
3M,CHEMOURS,0.059155,0.059155,2,0,0,2,2
CHEMOURS,3M,0.0,0.059155,0,2,0,2,-2
3M,CHESAPEAKE ENERGY,0.009115,0.018231,0,0,1,1,0
CHESAPEAKE ENERGY,3M,0.009115,0.018231,0,0,1,1,0
3M,CHEVRON,0.000534,0.001069,0,0,2,2,0
CHEVRON,3M,0.000534,0.001069,0,0,2,2,0
3M,CHS,0.003892,0.007783,0,0,1,1,0
CHS,3M,0.003892,0.007783,0,0,1,1,0
3M,CIGNA,0.017825,0.035649,0,0,4,4,0
CIGNA,3M,0.017825,0.035649,0,0,4,4,0
3M,CISCO SYSTEMS,0.006426,0.012852,0,0,2,2,0
CISCO SYSTEMS,3M,0.006426,0.012852,0,0,2,2,0
3M,CITIGROUP,0.000949,0.000949,1,0,0,1,1
CITIGROUP,3M,0.0,0.000949,0,1,0,1,-1
3M,CMS ENERGY,0.023238,0.046476,0,0,2,2,0
CMS ENERGY,3M,0.023238,0.046476,0,0,2,2,0
3M,CONOCOPHILLIPS,0.05,0.1,0,0,1,1,0
CONOCOPHILLIPS,3M,0.05,0.1,0,0,1,1,0
3M,CONSOLIDATED EDISON,0.003235,0.004314,1,0,1,2,1
CONSOLIDATED EDISON,3M,0.001078,0.004314,0,1,1,2,-1
3M,CORNING,0.004618,0.009235,0,0,3,3,0
CORNING,3M,0.004618,0.009235,0,0,3,3,0
3M,CSX,0.000377,0.000754,0,0,1,1,0
CSX,3M,0.000377,0.000754,0,0,1,1,0
