client_name,lob_id,report_uuid,bill_id,amount
PFIZER,d506a0ef-5871-508d-b10e-65025882c537,00133493-76eb-40c6-bfc0-88f4b78160f8,hr7749-116,80000.0
SOUTHWEST AIRLINES,73dab50f-c542-59ce-9753-b575848a2800,002c338f-d21c-444f-b4f1-770282d85843,hr1108-116,30000.0
SOUTHWEST AIRLINES,73dab50f-c542-59ce-9753-b575848a2800,002c338f-d21c-444f-b4f1-770282d85843,hr1171-116,30000.0
SOUTHWEST AIRLINES,73dab50f-c542-59ce-9753-b575848a2800,002c338f-d21c-444f-b4f1-770282d85843,hr2-116,30000.0
SOUTHWEST AIRLINES,73dab50f-c542-59ce-9753-b575848a2800,002c338f-d21c-444f-b4f1-770282d85843,s472-116,30000.0
AMAZON,757b1dd5-98a8-566e-b63e-f92704cc31cf,006b6e06-916d-47fc-979d-43d0e5a4845d,hr2296-116,50000.0
AMAZON,757b1dd5-98a8-566e-b63e-f92704cc31cf,006b6e06-916d-47fc-979d-43d0e5a4845d,hr2376-116,50000.0
AMAZON,757b1dd5-98a8-566e-b63e-f92704cc31cf,006b6e06-916d-47fc-979d-43d0e5a4845d,s1895-116,50000.0
WALMART,c4198b7b-e3d6-5418-979f-bf3aa2eae40a,00707335-8a87-4823-9a4c-08c5d4a00191,hr1499-116,1880000.0
WALMART,c4198b7b-e3d6-5418-979f-bf3aa2eae40a,00707335-8a87-4823-9a4c-08c5d4a00191,hr965-116,1880000.0
WALMART,c4198b7b-e3d6-5418-979f-bf3aa2eae40a,00707335-8a87-4823-9a4c-08c5d4a00191,s724-116,1880000.0
APPLE,8332b478-ce52-5aad-a76c-95143248fa94,008a3286-d6d5-4601-afe3-f4c4361785fc,hr7178-116,1640000.0
UNITED HEALTH GROUP,8d131ee8-e4a4-5ba6-b592-78f3a98803a8,00b2b443-016d-490f-ad0b-c159ff921374,hr3630-116,80000.0
UNITED HEALTH GROUP,8d131ee8-e4a4-5ba6-b592-78f3a98803a8,00b2b443-016d-490f-ad0b-c159ff921374,s1895-116,80000.0
UNITED HEALTH GROUP,8d131ee8-e4a4-5ba6-b592-78f3a98803a8,00b2b443-016d-490f-ad0b-c159ff921374,hr1398-116,80000.0
UNITED HEALTH GROUP,8d131ee8-e4a4-5ba6-b592-78f3a98803a8,00b2b443-016d-490f-ad0b-c159ff921374,hr1865-116,80000.0
UNITED HEALTH GROUP,8d131ee8-e4a4-5ba6-b592-78f3a98803a8,00b2b443-016d-490f-ad0b-c159ff921374,hr3439-116,80000.0
UNITED HEALTH GROUP,8d131ee8-e4a4-5ba6-b592-78f3a98803a8,00b2b443-016d-490f-ad0b-c159ff921374,s172-116,80000.0
UNION PACIFIC,7ba77bc0-e43d-5dcc-a8ca-cef4b6e8062a,00bbf8bb-d0ff-42a9-bef9-98223b985db4,hr1748-116,20000.0
UNION PACIFIC,7ba77bc0-e43d-5dcc-a8ca-cef4b6e8062a,00bbf8bb-d0ff-42a9-bef9-98223b985db4,hr2-116,20000.0
UNION PACIFIC,7ba77bc0-e43d-5dcc-a8ca-cef4b6e8062a,00bbf8bb-d0ff-42a9-bef9-98223b985db4,hr2449-116,20000.0
WALMART,c4198b7b-e3d6-5418-979f-bf3aa2eae40a,00d54e70-1902-4038-a728-90aa9c77d250,hr748-116,90000.0
INTUIT,04816dea-1f67-58d8-9346-2c6c3757c884,00e96d98-9020-49f1-8d44-44cdfc0f751b,hr133-116,50000.0
INTUIT,04816dea-1f67-58d8-9346-2c6c3757c884,00e96d98-9020-49f1-8d44-44cdfc0f751b,s4116-116,50000.0
MOLINA HEALTHCARE,4dbd4747-5f37-5162-b67d-a753484922c2,00f07a76-93b2-4c9d-a924-da890d1ac8ab,hr6201-116,30000.0
MGM RESORTS INTERNATIONAL,ae1ce15d-98bf-5ed3-8245-c3be8c08f0ae,00f0fdf3-9946-4731-95df-0235a2c4c3fa,hr1-116,50000.0
MGM RESORTS INTERNATIONAL,ae1ce15d-98bf-5ed3-8245-c3be8c08f0ae,00f0fdf3-9946-4731-95df-0235a2c4c3fa,s3548-116,50000.0
HARLEY-DAVIDSON,4e41735b-32de-5042-85b2-e7043c835ef7,00fbefb8-af8b-44ac-b243-e792a880642a,hr2-116,
HARLEY-DAVIDSON,4e41735b-32de-5042-85b2-e7043c835ef7,00fbefb8-af8b-44ac-b243-e792a880642a,hr5234-116,
ORACLE,6a25af3c-eb54-5d83-b20c-84cdfe766b0b,00ff7bbb-128d-46d7-91c4-ac9accd94c8c,hres575-116,90000.0
ORACLE,6a25af3c-eb54-5d83-b20c-84cdfe766b0b,00ff7bbb-128d-46d7-91c4-ac9accd94c8c,s1790-116,90000.0
DUKE ENERGY,cd049c80-93cc-5d58-87e9-5c4b0af1dded,010331a6-1226-4c44-8aad-a33e97c8e5b5,hr5545-116,670000.0
DUKE ENERGY,cd049c80-93cc-5d58-87e9-5c4b0af1dded,010331a6-1226-4c44-8aad-a33e97c8e5b5,s1201-116,670000.0
GILEAD SCIENCES,75b0811f-f6c8-5cc4-81ce-474a646201e9,010834e2-9277-4447-8c6b-35949e29c80a,hr1865-116,80000.0
GILEAD SCIENCES,75b0811f-f6c8-5cc4-81ce-474a646201e9,010834e2-9277-4447-8c6b-35949e29c80a,hr3055-116,80000.0
GILEAD SCIENCES,75b0811f-f6c8-5cc4-81ce-474a646201e9,010834e2-9277-4447-8c6b-35949e29c80a,hr4378-116,80000.0
GILEAD SCIENCES,75b0811f-f6c8-5cc4-81ce-474a646201e9,010834e2-9277-4447-8c6b-35949e29c80a,hr3-116,80000.0
GILEAD SCIENCES,75b0811f-f6c8-5cc4-81ce-474a646201e9,010834e2-9277-4447-8c6b-35949e29c80a,hr6074-116,80000.0
GILEAD SCIENCES,75b0811f-f6c8-5cc4-81ce-474a646201e9,010834e2-9277-4447-8c6b-35949e29c80a,hr6201-116,80000.0
GILEAD SCIENCES,75b0811f-f6c8-5cc4-81ce-474a646201e9,010834e2-9277-4447-8c6b-35949e29c80a,hr6800-116,80000.0
