fortune_name,primary_catcode,sector_letter,sector_name,total_spend
3M,M0000,M,Manufacturing & Distribution,9230000.0
ABBOTT LABORATORIES,H4000,H,Health,7930000.0
ABBVIE,H4300,H,Health,16290000.0
ABM INDUSTRIES,H3000,H,Health,50000.0
ACTIVISION BLIZZARD,C6100,C,"Communications, Electronics & Tech",90000.0
ADOBE,C5120,C,"Communications, Electronics & Tech",2610000.0
ADP,G5200,G,General Business & Retail,1330000.0
ADVANCED MICRO DEVICES,C5110,C,"Communications, Electronics & Tech",4520000.0
AECOM,B4000,B,Construction & Engineering,3250000.0
AES,E1630,E,Energy & Natural Resources,1230000.0
AFLAC,F3200,F,"Finance, Insurance & Real Estate",11770000.0
AIG,F3100,F,"Finance, Insurance & Real Estate",3460000.0
AIR PRODUCTS & CHEMICALS,M1000,M,Manufacturing & Distribution,330000.0
AK STEEL HOLDING,M2100,M,Manufacturing & Distribution,919000.0
ALASKA AIR GROUP,T1100,T,Transportation & Automotive,2230000.0
ALCOA,M2250,M,Manufacturing & Distribution,2890000.0
ALLIANCE DATA SYSTEMS,F5000,F,"Finance, Insurance & Real Estate",734000.0
ALLSTATE,F3400,F,"Finance, Insurance & Real Estate",5990000.0
ALLY FINANCIAL,F1100,F,"Finance, Insurance & Real Estate",4940000.0
ALPHABET,C6300,C,"Communications, Electronics & Tech",19340000.0
ALTICE USA,C4500,C,"Communications, Electronics & Tech",980000.0
ALTRIA GROUP,A1300,A,Agribusiness,21060000.0
AMAZON,C6400,C,"Communications, Electronics & Tech",34000000.0
AMEREN,E1620,E,Energy & Natural Resources,3100000.0
AMERICAN AIRLINES GROUP,T1100,T,Transportation & Automotive,9750000.0
AMERICAN ELECTRIC POWER,E1600,E,Energy & Natural Resources,16254686.0
AMERICAN EXPRESS,F1400,F,"Finance, Insurance & Real Estate",3140000.0
AMERICAN FAMILY INSURANCE GROUP,F3400,F,"Finance, Insurance & Real Estate",840000.0
AMERICAN FINANCIAL GROUP,F3400,F,"Finance, Insurance & Real Estate",480000.0
AMERICAN TOWER,C4600,C,"Communications, Electronics & Tech",5310000.0
AMERIPRISE FINANCIAL,F2100,F,"Finance, Insurance & Real Estate",1780000.0
AMERISOURCEBERGEN,H4400,H,Health,5155000.0
AMGEN,H4300,H,Health,22090000.0
APACHE,E1110,E,Energy & Natural Resources,180000.0
APPLE,C5110,C,"Communications, Electronics & Tech",14060000.0
APPLIED MATERIALS,C5110,C,"Communications, Electronics & Tech",1780000.0
ARAMARK,G2910,G,General Business & Retail,910000.0
ARCHER DANIELS MIDLAND,A4300,A,Agribusiness,4080000.0
ARCONIC,M5000,M,Manufacturing & Distribution,1840000.0
ARROW ELECTRONICS,G5200,G,General Business & Retail,160000.0
ARTHUR J. GALLAGHER,F3100,F,"Finance, Insurance & Real Estate",1173962.0
ASSURANT,F3400,F,"Finance, Insurance & Real Estate",100000.0
AT&T,C4100,C,"Communications, Electronics & Tech",22960000.0
AVIS BUDGET GROUP,T2500,T,Transportation & Automotive,1080000.0
BALL,M7300,M,Manufacturing & Distribution,2010000.0
BANK OF AMERICA,F1100,F,"Finance, Insurance & Real Estate",3920000.0
BANK OF NEW YORK MELLON,F2100,F,"Finance, Insurance & Real Estate",2490000.0
BAXTER INTERNATIONAL,H4100,H,Health,3760000.0
BECTON DICKINSON,H4100,H,Health,3115000.0
BERKSHIRE HATHAWAY,T5100,T,Transportation & Automotive,5610000.0
BEST BUY,G4200,G,General Business & Retail,2200000.0
BIOGEN,H4500,H,Health,5806680.0
BLACKROCK,F2100,F,"Finance, Insurance & Real Estate",4320000.0
BLACKSTONE GROUP,F2600,F,"Finance, Insurance & Real Estate",6005000.0
BOEING,T1200,T,Transportation & Automotive,26440000.0
BOOKING HOLDINGS,T9400,T,Transportation & Automotive,800000.0
BOOZ ALLEN HAMILTON,D9000,D,Defense & Aerospace,1730000.0
BORGWARNER,T2200,T,Transportation & Automotive,540000.0
BOSTON SCIENTIFIC,H4100,H,Health,3200000.0
BRIGHTHOUSE FINANCIAL,F3300,F,"Finance, Insurance & Real Estate",440000.0
BRISTOL-MYERS SQUIBB,H4300,H,Health,9490000.0
BROADCOM,C5110,C,"Communications, Electronics & Tech",4760000.0
C.H. ROBINSON WORLDWIDE,T7000,T,Transportation & Automotive,605000.0
CAESARS ENTERTAINMENT,G6500,G,General Business & Retail,1868165.0
CALPINE,E1630,E,Energy & Natural Resources,8940000.0
CAMPBELL SOUP,G2100,G,General Business & Retail,280000.0
CAPITAL ONE FINANCIAL,F1400,F,"Finance, Insurance & Real Estate",3830000.0
CARDINAL HEALTH,H4400,H,Health,5290000.0
CATERPILLAR,B6000,B,Construction & Engineering,6470000.0
CBS,C2000,C,"Communications, Electronics & Tech",6725060.0
CELANESE,M1000,M,Manufacturing & Distribution,1530640.0
CENTENE,H3700,H,Health,7510000.0
CENTERPOINT ENERGY,E1620,E,Energy & Natural Resources,2380000.0
CHARLES SCHWAB,F2100,F,"Finance, Insurance & Real Estate",4800000.0
CHARTER COMMUNICATIONS,C4500,C,"Communications, Electronics & Tech",20890000.0
CHEMOURS,M1000,M,Manufacturing & Distribution,2060000.0
CHENIERE ENERGY,E1140,E,Energy & Natural Resources,3110000.0
CHESAPEAKE ENERGY,E1120,E,Energy & Natural Resources,700000.0
CHEVRON,E1110,E,Energy & Natural Resources,16780000.0
CHS,A6000,A,Agribusiness,2121798.0
CIGNA,F3200,F,"Finance, Insurance & Real Estate",15470000.0
CINTAS,M3100,M,Manufacturing & Distribution,740000.0
CISCO SYSTEMS,C5300,C,"Communications, Electronics & Tech",4370000.0
CITIGROUP,F1100,F,"Finance, Insurance & Real Estate",8820000.0
CITIZENS FINANCIAL GROUP,F1100,F,"Finance, Insurance & Real Estate",1220000.0
CLOROX,M1300,M,Manufacturing & Distribution,111664.0
CMS ENERGY,E1620,E,Energy & Natural Resources,2270000.0
COCA-COLA,G2600,G,General Business & Retail,12510000.0
