company_clean,subsidiary_name,company_clean_client
CVS HEALTH,Subsidiaries of CVS Health Corporation,
CVS HEALTH,"CVS Foreign, Inc. (New York)",
CVS HEALTH,CVS Caremark Indemnity Ltd. (Bermuda),
CVS HEALTH,"CVS International, Inc. (Delaware)",
CVS HEALTH,"CVS Pharmacy, Inc. (Rhode Island)",
CVS HEALTH,Aetna Inc. (Pennsylvania),
CVS HEALTH,"Aetna Health Holdings, LLC (Delaware)",
CVS HEALTH,Aetna Health of California Inc. (California),
CVS HEALTH,Aetna Health Inc. (Connecticut),
CVS HEALTH,Aetna Health Inc. (Florida),
CVS HEALTH,Aetna Health Inc. (Georgia),
CVS HEALTH,Aetna Health Inc. (Maine),
CVS HEALTH,Aetna Health of Michigan Inc. (Michigan),
CVS HEALTH,Aetna Health Inc. (New Jersey),
CVS HEALTH,Aetna Health Inc. (New York),
CVS HEALTH,Aetna Better Health Inc. (New York),
CVS HEALTH,Aetna Health Inc. (Pennsylvania),
CVS HEALTH,Aetna ACO Holding Inc. (Delaware),
CVS HEALTH,Aetna Health Inc. (Texas),
CVS HEALTH,Aetna Better Health of California Inc. (California),
CVS HEALTH,Aetna Health of Ohio Inc. (Ohio),
CVS HEALTH,Aetna Better Health of Texas Inc. (Texas),
CVS HEALTH,"Aetna Better Health of Washington, Inc. (Washington)",
CVS HEALTH,Aetna Better Health Inc. (Georgia),
CVS HEALTH,"Aetna HealthAssurance Pennsylvania, Inc. (Pennsylvania)",
CVS HEALTH,Aetna Dental of California Inc. (California),
CVS HEALTH,Aetna Dental Inc. (New Jersey),
CVS HEALTH,Aetna Dental Inc. (Texas),
CVS HEALTH,"Aetna Health Management, LLC (Delaware)",
CVS HEALTH,"Cofinity, Inc. (Delaware)",
CVS HEALTH,@Credentials Inc. (Delaware),
CVS HEALTH,Aetna Better Health Inc. (Pennsylvania),
CVS HEALTH,Aetna Better Health Inc. (Connecticut),
CVS HEALTH,Aetna Better Health of Illinois Inc. (Illinois),
CVS HEALTH,Aetna Better Health Premier Plan MMAI Inc. (Illinois),
CVS HEALTH,Aetna Better Health of Kansas Inc. (Kansas),
CVS HEALTH,"Aetna Better Health, Inc. (Louisiana)",
CVS HEALTH,Aetna Florida Inc. (Florida),
CVS HEALTH,Aetna Better Health of Indiana Inc. (Indiana),
CVS HEALTH,Aetna Better Health Inc. (Ohio),
CVS HEALTH,Aetna Better Health of Oklahoma Inc. (Oklahoma),
CVS HEALTH,Aetna Better Health of Nevada Inc. (Nevada),
CVS HEALTH,Aetna Better Health Inc. (New Jersey),
CVS HEALTH,Aetna Better Health of North Carolina Inc. (North Carolina),
CVS HEALTH,Aetna Network Services LLC (Connecticut),
CVS HEALTH,Aetna Risk Assurance Company of Connecticut Inc. (Connecticut),
CVS HEALTH,Aetna Student Health Agency Inc. (Massachusetts),
