source,target,weight,affil_norm
3M,ABBVIE,2,0.0009057971014492754
3M,AECOM,6,0.002717391304347826
3M,AIR PRODUCTS & CHEMICALS,4,0.0018115942028985507
3M,ALASKA AIR GROUP,1,0.0004528985507246377
3M,AMAZON,2,0.0009057971014492754
3M,AMEREN,3,0.001358695652173913
3M,AMERICAN AIRLINES GROUP,1,0.0004528985507246377
3M,AMERICAN ELECTRIC POWER,1,0.0004528985507246377
3M,AMGEN,1,0.0004528985507246377
3M,APPLIED MATERIALS,2,0.0009057971014492754
3M,ARAMARK,1,0.0004528985507246377
3M,BALL,6,0.002717391304347826
3M,BECTON DICKINSON,3,0.001358695652173913
3M,BERKSHIRE HATHAWAY,6,0.002717391304347826
3M,BIOGEN,1,0.0004528985507246377
3M,BLACKSTONE GROUP,3,0.001358695652173913
3M,BOEING,6,0.002717391304347826
3M,BOSTON SCIENTIFIC,2,0.0009057971014492754
3M,BRISTOL-MYERS SQUIBB,2,0.0009057971014492754
3M,CARDINAL HEALTH,2,0.0009057971014492754
3M,CATERPILLAR,5,0.0022644927536231885
3M,CENTENE,5,0.0022644927536231885
3M,CHEMOURS,3,0.001358695652173913
3M,CHEVRON,3,0.001358695652173913
3M,CHS,1,0.0004528985507246377
3M,CIGNA,1,0.0004528985507246377
3M,CISCO SYSTEMS,1,0.0004528985507246377
3M,CMS ENERGY,5,0.0022644927536231885
3M,COCA-COLA,1,0.0004528985507246377
3M,COGNIZANT TECHNOLOGY SOLUTIONS,2,0.0009057971014492754
3M,CONOCOPHILLIPS,1,0.0004528985507246377
3M,CONSOLIDATED EDISON,1,0.0004528985507246377
3M,CORNING,9,0.004076086956521739
3M,CSX,1,0.0004528985507246377
3M,CUMMINS,11,0.004981884057971014
3M,CVS HEALTH,3,0.001358695652173913
3M,DAVITA,1,0.0004528985507246377
3M,DELL TECHNOLOGIES,4,0.0018115942028985507
3M,DELTA AIR LINES,10,0.004528985507246377
3M,DTE ENERGY,5,0.0022644927536231885
3M,DUKE ENERGY,8,0.0036231884057971015
3M,DUPONT DE NEMOURS,7,0.003170289855072464
3M,ECOLAB,5,0.0022644927536231885
3M,EDISON INTERNATIONAL,1,0.0004528985507246377
3M,ELI LILLY,1,0.0004528985507246377
3M,ENERGY TRANSFER,2,0.0009057971014492754
3M,ENTERGY,5,0.0022644927536231885
3M,EVERSOURCE ENERGY,2,0.0009057971014492754
3M,EXELON,6,0.002717391304347826
3M,EXXONMOBIL,7,0.003170289855072464
3M,FACEBOOK,2,0.0009057971014492754
3M,FEDEX,1,0.0004528985507246377
3M,FIRSTENERGY,3,0.001358695652173913
3M,FLUOR,4,0.0018115942028985507
3M,FORD,1,0.0004528985507246377
3M,GENERAL DYNAMICS,5,0.0022644927536231885
3M,GENERAL ELECTRIC,10,0.004528985507246377
3M,GENERAL MOTORS,2,0.0009057971014492754
3M,GILEAD SCIENCES,2,0.0009057971014492754
3M,GOODYEAR TIRE & RUBBER,1,0.0004528985507246377
3M,GRAPHIC PACKAGING HOLDING,2,0.0009057971014492754
3M,HCA HEALTHCARE,1,0.0004528985507246377
3M,HEWLETT PACKARD ENTERPRISE,2,0.0009057971014492754
3M,HOLLYFRONTIER,4,0.0018115942028985507
3M,HOME DEPOT,1,0.0004528985507246377
3M,HONEYWELL INTERNATIONAL,4,0.0018115942028985507
3M,HUMANA,1,0.0004528985507246377
3M,HUNTSMAN,3,0.001358695652173913
3M,IBM,7,0.003170289855072464
3M,ILLINOIS TOOL WORKS,1,0.0004528985507246377
3M,INTERNATIONAL PAPER,1,0.0004528985507246377
3M,JACOBS ENGINEERING GROUP,2,0.0009057971014492754
3M,JETBLUE AIRWAYS,1,0.0004528985507246377
3M,JOHNSON & JOHNSON,1,0.0004528985507246377
3M,LABORATORY CORP. OF AMERICA,2,0.0009057971014492754
3M,LEIDOS HOLDINGS,7,0.003170289855072464
3M,LIBERTY MUTUAL INSURANCE GROUP,2,0.0009057971014492754
3M,LOCKHEED MARTIN,6,0.002717391304347826
3M,MAGELLAN HEALTH,2,0.0009057971014492754
3M,MCKESSON,1,0.0004528985507246377
3M,MERCK,1,0.0004528985507246377
3M,MICRON TECHNOLOGY,5,0.0022644927536231885
3M,MICROSOFT,1,0.0004528985507246377
3M,MOLINA HEALTHCARE,1,0.0004528985507246377
3M,MOTOROLA SOLUTIONS,3,0.001358695652173913
3M,MUTUAL OF OMAHA INSURANCE,1,0.0004528985507246377
3M,NATIONWIDE,1,0.0004528985507246377
3M,NAVISTAR INTERNATIONAL,1,0.0004528985507246377
3M,NORTHROP GRUMMAN,7,0.003170289855072464
3M,ORACLE,4,0.0018115942028985507
3M,OSHKOSH,2,0.0009057971014492754
3M,OWENS CORNING,1,0.0004528985507246377
3M,PG&E,3,0.001358695652173913
3M,PHILLIPS 66,7,0.003170289855072464
3M,POLARIS INC,2,0.0009057971014492754
3M,PPG INDUSTRIES,9,0.004076086956521739
3M,PPL,3,0.001358695652173913
3M,PUBLIC SERVICE ENTERPRISE GROUP,4,0.0018115942028985507
3M,RAYTHEON,5,0.0022644927536231885
3M,SOUTHERN,3,0.001358695652173913
3M,SOUTHWEST AIRLINES,1,0.0004528985507246377
3M,STANLEY BLACK & DECKER,1,0.0004528985507246377
3M,TESLA,1,0.0004528985507246377
3M,TEXAS INSTRUMENTS,1,0.0004528985507246377
3M,TEXTRON,2,0.0009057971014492754
3M,THERMO FISHER SCIENTIFIC,1,0.0004528985507246377
3M,UNION PACIFIC,5,0.0022644927536231885
3M,UNITED AIRLINES HOLDINGS,1,0.0004528985507246377
3M,UNITED TECHNOLOGIES,6,0.002717391304347826
3M,USAA,1,0.0004528985507246377
3M,VALERO ENERGY,1,0.0004528985507246377
3M,WALMART,2,0.0009057971014492754
3M,WESTROCK,2,0.0009057971014492754
3M,WEYERHAEUSER,2,0.0009057971014492754
3M,XCEL ENERGY,4,0.0018115942028985507
3M,ZIMMER BIOMET HOLDINGS,1,0.0004528985507246377
ABBOTT LABORATORIES,AIG,1,0.0004528985507246377
ABBOTT LABORATORIES,ALLSTATE,1,0.0004528985507246377
ABBOTT LABORATORIES,BECTON DICKINSON,1,0.0004528985507246377
ABBOTT LABORATORIES,CHS,1,0.0004528985507246377
ABBOTT LABORATORIES,DANAHER,1,0.0004528985507246377
ABBOTT LABORATORIES,GENERAL ELECTRIC,1,0.0004528985507246377
ABBOTT LABORATORIES,JOHNSON & JOHNSON,5,0.0022644927536231885
ABBOTT LABORATORIES,LABORATORY CORP. OF AMERICA,1,0.0004528985507246377
ABBOTT LABORATORIES,NATIONWIDE,1,0.0004528985507246377
ABBOTT LABORATORIES,QUEST DIAGNOSTICS,1,0.0004528985507246377
ABBOTT LABORATORIES,RAYTHEON,1,0.0004528985507246377
ABBVIE,AIR PRODUCTS & CHEMICALS,1,0.0004528985507246377
ABBVIE,AMAZON,1,0.0004528985507246377
ABBVIE,AMEREN,1,0.0004528985507246377
ABBVIE,AMERISOURCEBERGEN,1,0.0004528985507246377
ABBVIE,AMGEN,19,0.008605072463768116
ABBVIE,APPLIED MATERIALS,1,0.0004528985507246377
ABBVIE,BALL,1,0.0004528985507246377
ABBVIE,BECTON DICKINSON,1,0.0004528985507246377
ABBVIE,BERKSHIRE HATHAWAY,1,0.0004528985507246377
ABBVIE,BEST BUY,1,0.0004528985507246377
ABBVIE,BIOGEN,10,0.004528985507246377
ABBVIE,BLACKSTONE GROUP,1,0.0004528985507246377
ABBVIE,BOEING,3,0.001358695652173913
ABBVIE,BORGWARNER,1,0.0004528985507246377
ABBVIE,BRISTOL-MYERS SQUIBB,26,0.01177536231884058
ABBVIE,CATERPILLAR,3,0.001358695652173913
ABBVIE,CBS,1,0.0004528985507246377
ABBVIE,CENTENE,5,0.0022644927536231885
ABBVIE,CHEVRON,1,0.0004528985507246377
ABBVIE,CHS,1,0.0004528985507246377
ABBVIE,CIGNA,8,0.0036231884057971015
ABBVIE,CITIGROUP,1,0.0004528985507246377
ABBVIE,CMS ENERGY,1,0.0004528985507246377
ABBVIE,CONSOLIDATED EDISON,1,0.0004528985507246377
ABBVIE,CORNING,1,0.0004528985507246377
ABBVIE,COSTCO,1,0.0004528985507246377
ABBVIE,CVS HEALTH,11,0.004981884057971014
ABBVIE,DAVITA,1,0.0004528985507246377
ABBVIE,DEERE,1,0.0004528985507246377
ABBVIE,DELL TECHNOLOGIES,1,0.0004528985507246377
ABBVIE,DELTA AIR LINES,1,0.0004528985507246377
ABBVIE,DTE ENERGY,1,0.0004528985507246377
ABBVIE,DUKE ENERGY,1,0.0004528985507246377
ABBVIE,ELI LILLY,3,0.001358695652173913
ABBVIE,ENTERGY,2,0.0009057971014492754
ABBVIE,EVERSOURCE ENERGY,1,0.0004528985507246377
ABBVIE,EXELON,1,0.0004528985507246377
ABBVIE,EXXONMOBIL,1,0.0004528985507246377
ABBVIE,FACEBOOK,1,0.0004528985507246377
ABBVIE,FIFTH THIRD BANCORP,1,0.0004528985507246377
ABBVIE,FLUOR,1,0.0004528985507246377
ABBVIE,GENERAL DYNAMICS,1,0.0004528985507246377
ABBVIE,GENERAL ELECTRIC,4,0.0018115942028985507
ABBVIE,GENERAL MOTORS,1,0.0004528985507246377
ABBVIE,GENWORTH FINANCIAL,1,0.0004528985507246377
ABBVIE,GILEAD SCIENCES,9,0.004076086956521739
ABBVIE,GOLDMAN SACHS GROUP,1,0.0004528985507246377
ABBVIE,GRAPHIC PACKAGING HOLDING,1,0.0004528985507246377
ABBVIE,HARTFORD FINANCIAL SERVICES,1,0.0004528985507246377
ABBVIE,HCA HEALTHCARE,1,0.0004528985507246377
ABBVIE,HOLLYFRONTIER,1,0.0004528985507246377
ABBVIE,HONEYWELL INTERNATIONAL,1,0.0004528985507246377
ABBVIE,HUMANA,7,0.003170289855072464
ABBVIE,HUNTSMAN,2,0.0009057971014492754
ABBVIE,IBM,3,0.001358695652173913
ABBVIE,INTERNATIONAL PAPER,1,0.0004528985507246377
ABBVIE,JOHNSON & JOHNSON,8,0.0036231884057971015
ABBVIE,LABORATORY CORP. OF AMERICA,1,0.0004528985507246377
ABBVIE,LEIDOS HOLDINGS,1,0.0004528985507246377
ABBVIE,LOCKHEED MARTIN,1,0.0004528985507246377
ABBVIE,MAGELLAN HEALTH,5,0.0022644927536231885
ABBVIE,MASSACHUSETTS MUTUAL LIFE INSURANCE,1,0.0004528985507246377
ABBVIE,MCKESSON,1,0.0004528985507246377
ABBVIE,MERCK,9,0.004076086956521739
ABBVIE,METLIFE,1,0.0004528985507246377
ABBVIE,MICRON TECHNOLOGY,1,0.0004528985507246377
ABBVIE,MICROSOFT,1,0.0004528985507246377
ABBVIE,MOLINA HEALTHCARE,1,0.0004528985507246377
ABBVIE,MUTUAL OF OMAHA INSURANCE,4,0.0018115942028985507
ABBVIE,NATIONWIDE,1,0.0004528985507246377
ABBVIE,NAVISTAR INTERNATIONAL,1,0.0004528985507246377
ABBVIE,NEXTERA ENERGY,1,0.0004528985507246377
