source,target,weight,affil_norm,shared_n,cosine_weight,rbo_weight
3M,ABBVIE,0.014183202634063571,2,2,0.092367,0.0767763521282686
3M,AECOM,0.0686405724712737,6,6,0.164,0.0697566793407253
3M,ALASKA AIR GROUP,6.2371135326448e-07,1,1,0.0026,0.0002398889820248
3M,AMAZON,0.00014500873310890498,2,2,0.026109,0.0027769874968192
3M,AMEREN,0.013388755409114241,3,3,0.066745,0.0668652104233238
3M,AMERICAN ELECTRIC POWER,1.8988927779960742e-06,1,1,0.005521,0.0003439400068821
3M,AMGEN,0.001012713126066611,1,1,0.042561,0.0237943921915982
3M,BALL,0.022469996101140813,6,6,0.119066,0.0314531381770626
3M,BECTON DICKINSON,0.01865690845580932,3,3,0.180653,0.0344249444253335
3M,BERKSHIRE HATHAWAY,0.008957763322600853,6,6,0.043204,0.0345560724415982
3M,BIOGEN,0.0006306776148388533,1,1,0.037888,0.0166458407632721
3M,BLACKSTONE GROUP,0.03996028466272585,3,3,0.208356,0.0639294999307689
3M,BOEING,0.03644563728559961,6,6,0.0928,0.0654555267341947
3M,BOSTON SCIENTIFIC,0.0021986758451565,2,2,0.102153,0.01076168025
3M,CARDINAL HEALTH,0.001318066682174978,2,2,0.11023,0.0059787112499999
3M,CATERPILLAR,0.0463588324959775,5,5,0.135412,0.0684707891412541
3M,CENTENE,0.03673963504838014,5,5,0.109651,0.0670119470837113
3M,CHEMOURS,0.026802352347428532,3,3,0.18617,0.0479890285714285
3M,CHEVRON,0.000527252398206228,3,3,0.049245,0.0035689064758265
3M,CIGNA,0.0031723006029271542,1,1,0.061018,0.0519895867273125
3M,COCA-COLA,1.283562517282646e-07,1,1,0.001846,6.953209736092341e-05
3M,CORNING,0.18327102633061526,9,9,0.209868,0.0970297871522498
3M,CSX,8.603732884839547e-05,1,1,0.014458,0.0059508458188128
3M,CUMMINS,0.12520427181804458,11,11,0.189668,0.0600112118486679
3M,CVS HEALTH,0.014833721688216332,3,3,0.07594,0.0651115867273125
3M,DELL TECHNOLOGIES,0.0013187655261737202,4,4,0.029332,0.0112399898248817
3M,DELTA AIR LINES,0.05398227422378025,10,10,0.107854,0.0500512491180487
3M,DTE ENERGY,5.493753729927784e-05,5,5,0.031946,0.0003439400068821
3M,DUKE ENERGY,0.0037152626357332204,8,8,0.065156,0.0071276295270835
3M,DUPONT DE NEMOURS,0.0032199776250753293,7,7,0.024309,0.0189229011305356
3M,ECOLAB,0.05513531681160704,5,5,0.187936,0.0586745666733431
3M,EDISON INTERNATIONAL,0.003840368529818357,1,1,0.078833,0.0487152401889863
3M,ELI LILLY,0.005361747614999977,1,1,0.23349,0.0229634999999999
3M,ENTERGY,0.010218763829796553,5,5,0.096872,0.021097456085962
3M,EVERSOURCE ENERGY,0.0004764551225907338,2,2,0.033269,0.0071606468873536
3M,EXXONMOBIL,0.04548984570947285,7,7,0.142381,0.0456419703968054
3M,FACEBOOK,7.4286400548526676e-06,2,2,0.006362,0.000583828988907
3M,FEDEX,1.2990978555489478e-06,1,1,0.006664,0.0001949426553945
