source,target,weight
3M,ABBOTT LABORATORIES,0.548967
3M,ABBVIE,0.479781
3M,ABM INDUSTRIES,0.332059
3M,ADOBE,0.222925
3M,ADP,0.074815
3M,AECOM,0.152205
3M,AES,0.020103
3M,AFLAC,0.149658
3M,AIG,0.025583
3M,ALASKA AIR GROUP,0.093989
3M,ALLSTATE,0.063477
3M,ALPHABET,0.173822
3M,ALTRIA GROUP,0.085908
3M,AMAZON,0.261832
3M,AMEREN,0.144271
3M,AMERICAN AIRLINES GROUP,0.097
3M,AMERICAN ELECTRIC POWER,0.106011
3M,AMERICAN FAMILY INSURANCE GROUP,0.125185
3M,AMERICAN FINANCIAL GROUP,0.099875
3M,AMERISOURCEBERGEN,0.136
3M,AMGEN,0.22904
3M,APPLE,0.182801
3M,APPLIED MATERIALS,0.059155
3M,ARAMARK,0.057864
3M,ARCONIC,0.04428
3M,AT&T,0.055939
3M,BALL,0.132259
3M,BANK OF AMERICA,0.025185
3M,BAXTER INTERNATIONAL,0.5775
3M,BECTON DICKINSON,0.412039
3M,BERKSHIRE HATHAWAY,0.155436
3M,BEST BUY,0.177843
3M,BIOGEN,0.508395
3M,BLACKSTONE GROUP,0.360424
3M,BOEING,0.079235
3M,BOOZ ALLEN HAMILTON,0.047691
3M,BOSTON SCIENTIFIC,0.251729
3M,BRIGHTHOUSE FINANCIAL,0.01566
3M,BRISTOL-MYERS SQUIBB,0.42341
3M,CAPITAL ONE FINANCIAL,0.01566
3M,CARDINAL HEALTH,0.116042
3M,CATERPILLAR,0.114225
3M,CBS,0.045387
3M,CELANESE,0.01566
3M,CENTENE,0.331642
3M,CENTERPOINT ENERGY,0.047625
3M,CHARLES SCHWAB,0.019174
3M,CHEMOURS,0.074028
3M,CHEVRON,0.05249
3M,CHS,0.083381
3M,CIGNA,0.177968
3M,CISCO SYSTEMS,0.105914
3M,CITIGROUP,0.057864
3M,CMS ENERGY,0.191221
3M,COCA-COLA,0.083098
3M,COGNIZANT TECHNOLOGY SOLUTIONS,0.040279
3M,COMCAST,0.085536
3M,COMMUNITY HEALTH SYSTEMS,0.19975
3M,CONOCOPHILLIPS,0.076612
3M,CONSOLIDATED EDISON,0.120104
3M,CONSTELLATION BRANDS,0.006159
3M,CORNING,0.162882
3M,CSX,0.006011
3M,CUMMINS,0.141938
3M,CVS HEALTH,0.458839
3M,DANAHER,0.395809
3M,DAVITA,0.34975
3M,DEAN FOODS,0.138565
3M,DEERE,0.006011
3M,DELL TECHNOLOGIES,0.231535
3M,DELTA AIR LINES,0.146586
3M,DISCOVERY,0.027256
3M,DOMINION ENERGY,0.069886
3M,DTE ENERGY,0.093989
3M,DUKE ENERGY,0.15473
3M,DUPONT DE NEMOURS,0.155834
3M,DXC TECHNOLOGY,0.21375
3M,EASTMAN CHEMICAL,0.033598
3M,EBAY,0.102364
3M,ECOLAB,0.376655
3M,ELI LILLY,0.338565
3M,EMERSON ELECTRIC,0.033728
3M,ENTERGY,0.195294
3M,EVERSOURCE ENERGY,0.069886
3M,EXELON,0.181359
3M,EXXONMOBIL,0.0616
3M,FACEBOOK,0.07295
3M,FEDEX,0.151906
3M,FIFTH THIRD BANCORP,0.077039
3M,FIRSTENERGY,0.125517
3M,FISERV,0.054009
3M,FLUOR,0.183157
3M,FORD,0.283544
3M,FORTIVE,0.21375
3M,FOX CORP,0.026753
3M,GAP,0.093989
3M,GENERAL DYNAMICS,0.141652
3M,GENERAL ELECTRIC,0.406189
3M,GENERAL MILLS,0.057864
3M,GENERAL MOTORS,0.199848
3M,GILEAD SCIENCES,0.322887
3M,GOODYEAR TIRE & RUBBER,0.014093
3M,GRAPHIC PACKAGING HOLDING,0.059155
3M,HARTFORD FINANCIAL SERVICES,0.025185
3M,HCA HEALTHCARE,0.34975
3M,HENRY SCHEIN,0.136
3M,HERSHEY,0.029727
3M,HEWLETT PACKARD ENTERPRISE,0.152353
3M,HILTON WORLDWIDE HOLDINGS,0.09359
3M,HOME DEPOT,0.083099
3M,HONEYWELL INTERNATIONAL,0.203438
3M,HUMANA,0.182059
3M,HUNTSMAN,0.106686
3M,IBM,0.152753
3M,IHEARTMEDIA,0.059155
3M,ILLINOIS TOOL WORKS,0.052867
3M,INTEL,0.041098
3M,INTERNATIONAL PAPER,0.057916
3M,INTERPUBLIC GROUP,0.059155
3M,INTUIT,0.214705
3M,IQVIA HOLDINGS,0.272905
3M,JACOBS ENGINEERING GROUP,0.114093
3M,JOHNSON & JOHNSON,0.555102
3M,JPMORGAN CHASE & CO.,0.040149
3M,KELLOGG,0.026753
3M,KEURIG DR PEPPER,0.03869
3M,KEYCORP,0.040845
3M,KIMBERLY-CLARK,0.113164
3M,KOHL'S,0.011093
3M,KRAFT HEINZ,0.064021
3M,KROGER,0.207153
3M,L3HARRIS TECHNOLOGIES,0.130124
3M,LABORATORY CORP. OF AMERICA,0.272905
3M,LAM RESEARCH,0.074815
3M,LAND O'LAKES,0.149929
3M,LAS VEGAS SANDS,0.160481
3M,LEIDOS HOLDINGS,0.196486
3M,LENNAR,0.093989
3M,LIBERTY MEDIA,0.054009
3M,LIBERTY MUTUAL INSURANCE GROUP,0.104542
3M,LIVE NATION ENTERTAINMENT,0.037845
3M,LKQ,0.074815
3M,LOCKHEED MARTIN,0.135494
3M,LOWE'S,0.200749
3M,LUMEN TECHNOLOGIES,0.141094
3M,MAGELLAN HEALTH,0.15
3M,MARATHON OIL,0.02303
3M,MARATHON PETROLEUM,0.027763
3M,MARRIOTT INTERNATIONAL,0.029727
3M,MARSH & MCLENNAN,0.249875
3M,MASCO,0.011093
3M,MCDONALD'S,0.025646
3M,MCKESSON,0.42713
3M,MERCK,0.542522
3M,METLIFE,0.147811
3M,MGM RESORTS INTERNATIONAL,0.095895
3M,MICRON TECHNOLOGY,0.116032
3M,MICROSOFT,0.104291
3M,MOLSON COORS BEVERAGE,0.089061
3M,MOTOROLA SOLUTIONS,0.102071
3M,MUTUAL OF OMAHA INSURANCE,0.052335
3M,NATIONWIDE,0.204596
3M,NAVISTAR INTERNATIONAL,0.077538
3M,NCR,0.011093
3M,NEWS CORP.,0.01566
3M,NEXTERA ENERGY,0.141938
3M,NIKE,0.046431
3M,NORFOLK SOUTHERN,0.059155
3M,NORTHERN TRUST,0.074815
3M,NORTHROP GRUMMAN,0.156653
3M,NUCOR,0.012022
3M,OCCIDENTAL PETROLEUM,0.093933
3M,OLIN,0.049783
3M,ORACLE,0.129444
3M,OSHKOSH,0.036125
3M,OWENS & MINOR,0.15
3M,OWENS CORNING,0.119635
3M,OWENS-ILLINOIS,0.172243
3M,PARKER-HANNIFIN,0.193026
