source,target,weight
ABBOTT LABORATORIES,CVS HEALTH,1
ACTIVISION BLIZZARD,ALPHABET,7
ADP,LAS VEGAS SANDS,2
ADP,WESTLAKE CHEMICAL,1
ADVANCED MICRO DEVICES,MICRON TECHNOLOGY,1
AES,ARAMARK,2
AES,MORGAN STANLEY,1
ALLIANCE DATA SYSTEMS,BROADCOM,2
ALLIANCE DATA SYSTEMS,FIRST AMERICAN FINANCIAL,2
ALLIANCE DATA SYSTEMS,L BRANDS,2
ALLIANCE DATA SYSTEMS,UNITED NATURAL FOODS,1
ALPHABET,CITIGROUP,1
ALPHABET,CONSOLIDATED EDISON,1
ALPHABET,IBM,14
ALTICE USA,FIRSTENERGY,2
ALTICE USA,OWENS & MINOR,1
ALTICE USA,PERFORMANCE FOOD GROUP,2
ALTICE USA,US FOODS HOLDING,2
ALTICE USA,WALT DISNEY,2
ALTICE USA,XPO LOGISTICS,1
AMAZON,CATERPILLAR,1
AMERICAN FINANCIAL GROUP,ARAMARK,1
APPLIED MATERIALS,LAM RESEARCH,1
ARAMARK,CAMPBELL SOUP,1
ARAMARK,CONSTELLATION BRANDS,3
ARAMARK,ESTEE LAUDER,1
ARAMARK,MORGAN STANLEY,3
ARAMARK,NORTHROP GRUMMAN,3
ARROW ELECTRONICS,TENNECO,1
ARTHUR J. GALLAGHER,CONSTELLATION BRANDS,1
AT&T,FORD,1
AVIS BUDGET GROUP,BERKSHIRE HATHAWAY,3
AVIS BUDGET GROUP,LIBERTY MEDIA,5
AVIS BUDGET GROUP,OSHKOSH,1
AVIS BUDGET GROUP,QURATE RETAIL,5
AVIS BUDGET GROUP,WESTERN DIGITAL,2
BECTON DICKINSON,CENTENE,1
BECTON DICKINSON,CVS HEALTH,1
BERKSHIRE HATHAWAY,FREEPORT-MCMORAN,1
BERKSHIRE HATHAWAY,GENERAL DYNAMICS,1
BERKSHIRE HATHAWAY,LIBERTY MEDIA,3
BERKSHIRE HATHAWAY,OSHKOSH,1
BERKSHIRE HATHAWAY,QURATE RETAIL,4
BERKSHIRE HATHAWAY,WESTERN DIGITAL,2
BLACKSTONE GROUP,CONSTELLATION BRANDS,5
BLACKSTONE GROUP,ENERGY TRANSFER,1
BLACKSTONE GROUP,HESS,5
BLACKSTONE GROUP,HILTON WORLDWIDE HOLDINGS,1
BLACKSTONE GROUP,HUNTSMAN,2
BLACKSTONE GROUP,LAS VEGAS SANDS,1
BLACKSTONE GROUP,NEWELL BRANDS,1
BLACKSTONE GROUP,QURATE RETAIL,5
BLACKSTONE GROUP,WALT DISNEY,2
BLACKSTONE GROUP,WYNN RESORTS,1
BOEING,RAYTHEON,1
BRIGHTHOUSE FINANCIAL,DARDEN RESTAURANTS,2
CAMPBELL SOUP,CONSTELLATION BRANDS,1
CAPITAL ONE FINANCIAL,PNC FINANCIAL SERVICES,1
CENTERPOINT ENERGY,CHARLES SCHWAB,1
CENTERPOINT ENERGY,STANLEY BLACK & DECKER,2
CENTERPOINT ENERGY,WESTERN DIGITAL,1
CHARLES SCHWAB,STANLEY BLACK & DECKER,1
CHARLES SCHWAB,WESTERN DIGITAL,2
CHEVRON,KINDER MORGAN,1
CHEVRON,TYSON FOODS,1
CIGNA,NAVIENT,1
CINTAS,DISCOVERY,3
CINTAS,LENNAR,1
CINTAS,NEWELL BRANDS,2
CINTAS,TAPESTRY,2
CISCO SYSTEMS,NETAPP,1
CITIGROUP,COSTCO,1
CITIGROUP,DISCOVERY,1
CITIGROUP,FRANKLIN RESOURCES,1
CITIGROUP,IBM,1
CITIGROUP,MONDELEZ INTERNATIONAL,1
CITIGROUP,WESTLAKE CHEMICAL,1
CITIZENS FINANCIAL GROUP,TRAVELERS,1
COLGATE-PALMOLIVE,FIDELITY NATIONAL FINANCIAL,1
COMCAST,PHILIP MORRIS INTERNATIONAL,2
COMCAST,UNITED RENTALS,1
COMMUNITY HEALTH SYSTEMS,HENRY SCHEIN,1
CONSTELLATION BRANDS,HESS,5
CONSTELLATION BRANDS,MORGAN STANLEY,1
COSTCO,DISCOVERY,1
COSTCO,FRANKLIN RESOURCES,1
COSTCO,MONDELEZ INTERNATIONAL,1
CVS HEALTH,LAS VEGAS SANDS,2
DANAHER,ELI LILLY,5
DANAHER,ORACLE,1
DANAHER,PVH,1
DANAHER,WYNN RESORTS,3
DARDEN RESTAURANTS,WALGREENS BOOTS ALLIANCE,2
DELL TECHNOLOGIES,MICRON TECHNOLOGY,1
DISCOVERY,LENNAR,1
DISCOVERY,NAVISTAR INTERNATIONAL,7
DUPONT DE NEMOURS,PERFORMANCE FOOD GROUP,3
DUPONT DE NEMOURS,US FOODS HOLDING,3
DUPONT DE NEMOURS,WALT DISNEY,1
DUPONT DE NEMOURS,XPO LOGISTICS,1
ECOLAB,FLUOR,3
ECOLAB,LOEWS,4
ECOLAB,SEMPRA ENERGY,4
ECOLAB,SHERWIN-WILLIAMS,1
ECOLAB,TAPESTRY,2
ECOLAB,YUM CHINA HOLDINGS,3
ELI LILLY,LUMEN TECHNOLOGIES,2
ELI LILLY,ORACLE,2
ELI LILLY,WALGREENS BOOTS ALLIANCE,5
ELI LILLY,WYNN RESORTS,3
ENERGY TRANSFER,ENTERGY,3
ENERGY TRANSFER,EXELON,1
ENERGY TRANSFER,NEXTERA ENERGY,3
ENTERGY,HARLEY-DAVIDSON,2
ENTERGY,NEXTERA ENERGY,3
ENTERGY,VISTRA ENERGY,1
ENTERPRISE PRODUCTS PARTNERS,FORTIVE,1
ENTERPRISE PRODUCTS PARTNERS,FRANKLIN RESOURCES,1
ENTERPRISE PRODUCTS PARTNERS,WESTERN DIGITAL,2
EOG RESOURCES,NEWMONT,1
ESTEE LAUDER,NORTHROP GRUMMAN,3
FACEBOOK,KOHL'S,1
FACEBOOK,LEIDOS HOLDINGS,1
FIDELITY NATIONAL FINANCIAL,REPUBLIC SERVICES,3
FIRST AMERICAN FINANCIAL,L BRANDS,2
FIRSTENERGY,OWENS & MINOR,1
FLUOR,LOEWS,2
FLUOR,SEMPRA ENERGY,1
FLUOR,TAPESTRY,1
FOX CORP,WALT DISNEY,2
FRANKLIN RESOURCES,MONDELEZ INTERNATIONAL,1
FRANKLIN RESOURCES,WESTERN DIGITAL,1
FRANKLIN RESOURCES,WESTLAKE CHEMICAL,1
FREEPORT-MCMORAN,NORTHROP GRUMMAN,1
GENERAL DYNAMICS,GENERAL MOTORS,1
GENERAL ELECTRIC,KINDER MORGAN,2
GENERAL ELECTRIC,NVR,2
GENERAL ELECTRIC,UNITED HEALTH GROUP,1
GENERAL MOTORS,ORACLE,3
GENERAL MOTORS,PARKER-HANNIFIN,1
GRAPHIC PACKAGING HOLDING,WESTROCK,2
HCA HEALTHCARE,TRAVELERS,1
HENRY SCHEIN,JOHNSON & JOHNSON,4
HESS,WASTE MANAGEMENT,1
HONEYWELL INTERNATIONAL,L3HARRIS TECHNOLOGIES,1
HONEYWELL INTERNATIONAL,OSHKOSH,1
HUNTSMAN,WALT DISNEY,10
INTEL,RAYTHEON,1
INTEL,UNITED TECHNOLOGIES,1
JABIL,UNITED RENTALS,1
JEFFERIES FINANCIAL GROUP,MASTERCARD,6
JEFFERIES FINANCIAL GROUP,STATE FARM INSURANCE,6
KINDER MORGAN,NVR,1
KINDER MORGAN,UNITED HEALTH GROUP,1
KOHL'S,LEIDOS HOLDINGS,8
LAS VEGAS SANDS,QURATE RETAIL,4
LAS VEGAS SANDS,WESTLAKE CHEMICAL,1
LEIDOS HOLDINGS,LOCKHEED MARTIN,1
LIBERTY MEDIA,MICROSOFT,5
LIBERTY MEDIA,OSHKOSH,1
LIBERTY MEDIA,QURATE RETAIL,7
LIBERTY MEDIA,WESTERN DIGITAL,1
LOEWS,SEMPRA ENERGY,1
LOEWS,STATE FARM INSURANCE,5
LOEWS,TAPESTRY,1
LUMEN TECHNOLOGIES,WALGREENS BOOTS ALLIANCE,4
MASTERCARD,STATE FARM INSURANCE,6
