source,target,weight
3M,ABBVIE,0.07677635212826861
3M,AECOM,0.06975667934072538
3M,ALASKA AIR GROUP,0.00023988898202484778
3M,AMAZON,0.0027769874968192557
3M,AMEREN,0.06686521042332387
3M,AMERICAN ELECTRIC POWER,0.00034394000688219673
3M,AMGEN,0.023794392191598252
3M,BALL,0.03145313817706262
3M,BECTON DICKINSON,0.034424944425333566
3M,BERKSHIRE HATHAWAY,0.03455607244159825
3M,BIOGEN,0.016645840763272118
3M,BLACKSTONE GROUP,0.06392949993076891
3M,BOEING,0.06545552673419473
3M,BOSTON SCIENTIFIC,0.01076168025
3M,CARDINAL HEALTH,0.005978711249999999
3M,CATERPILLAR,0.0684707891412541
3M,CENTENE,0.06701194708371135
3M,CHEMOURS,0.04798902857142856
3M,CHEVRON,0.0035689064758265233
3M,CIGNA,0.05198958672731252
3M,COCA-COLA,6.953209736092341e-05
3M,CORNING,0.09702978715224982
3M,CSX,0.005950845818812842
3M,CUMMINS,0.06001121184866792
3M,CVS HEALTH,0.06511158672731253
3M,DELL TECHNOLOGIES,0.011239989824881702
3M,DELTA AIR LINES,0.0500512491180487
3M,DTE ENERGY,0.00034394000688219673
3M,DUKE ENERGY,0.007127629527083544
3M,DUPONT DE NEMOURS,0.01892290113053566
3M,ECOLAB,0.05867456667334315
3M,EDISON INTERNATIONAL,0.048715240188986396
3M,ELI LILLY,0.022963499999999994
3M,ENTERGY,0.021097456085962
3M,EVERSOURCE ENERGY,0.007160646887353688
3M,EXXONMOBIL,0.04564197039680545
3M,FACEBOOK,0.0005838289889070446
3M,FEDEX,0.00019494265539450373
3M,FIRSTENERGY,0.0035142355203509786
3M,FLUOR,0.01938507713646525
3M,FORD,0.023412225535714284
3M,GENERAL DYNAMICS,0.02792387311216684
3M,GENERAL ELECTRIC,0.06515013959504018
3M,GENERAL MOTORS,0.0005838289889070446
3M,GILEAD SCIENCES,0.005809795169680694
3M,GRAPHIC PACKAGING HOLDING,0.01938507713646525
3M,HCA HEALTHCARE,0.0631320495806311
3M,HEWLETT PACKARD ENTERPRISE,0.0022490803922815277
3M,HOME DEPOT,0.0045287088475939085
3M,HONEYWELL INTERNATIONAL,0.019660495652585538
3M,HUMANA,0.0025416931154957014
3M,IBM,0.007335202582536075
3M,LABORATORY CORP. OF AMERICA,0.038032549620892656
3M,LEIDOS HOLDINGS,0.03750075725334476
3M,LIBERTY MUTUAL INSURANCE GROUP,0.006603241645564121
3M,LOCKHEED MARTIN,0.015240864663650907
3M,MAGELLAN HEALTH,0.05648956456918489
3M,MERCK,0.01508991192631521
3M,MICRON TECHNOLOGY,0.013761198991287334
3M,MOLINA HEALTHCARE,0.05314882662338106
3M,MOTOROLA SOLUTIONS,0.01050519259394828
3M,MUTUAL OF OMAHA INSURANCE,0.0020048862281180973
3M,NAVISTAR INTERNATIONAL,0.030185326623381067
3M,NORTHROP GRUMMAN,0.037687279915011106
3M,ORACLE,0.02293506594660218
3M,OWENS CORNING,0.0031698040009090914
3M,PG&E,0.0007569151012949869
3M,PHILLIPS 66,0.010231485742296735
3M,PPG INDUSTRIES,0.04771766514474295
3M,PPL,0.00023988898202484778
3M,PUBLIC SERVICE ENTERPRISE GROUP,0.00701177409976505
3M,RAYTHEON,0.02690013352789353
3M,SOUTHERN,0.011786468764938862
