company,rank,bill_number,total_amount,budget_fraction
3M,1,S.638,641387.81,0.065783
3M,2,H.R.535,641387.81,0.065783
3M,3,S.518,418217.65,0.042894
3M,4,H.R.1948,418217.65,0.042894
3M,5,S.1895,412077.29,0.042264
3M,6,S.2302,411044.56,0.042158
3M,7,S.207,365410.63,0.037478
3M,8,S.692,305995.42,0.031384
3M,9,H.R.4982,284541.06,0.029184
3M,10,H.R.2207,255995.42,0.026256
3M,11,H.R.2740,255995.42,0.026256
3M,12,H.R.2745,255995.42,0.026256
3M,13,H.R.2960,255995.42,0.026256
3M,14,H.R.2968,255995.42,0.026256
3M,15,H.R.3052,255995.42,0.026256
3M,16,S.950,230343.25,0.023625
3M,17,H.R.1976,230343.25,0.023625
3M,18,S.3372,208888.89,0.021425
3M,19,S.1473,180343.25,0.018497
3M,20,S.1507,180343.25,0.018497
3M,21,H.R.2377,180343.25,0.018497
3M,22,H.R.1226,163333.33,0.016752
3M,23,S.317,163333.33,0.016752
3M,24,S.2580,156521.74,0.016054
3M,25,S.2470,156521.74,0.016054
3M,26,S.2474,156521.74,0.016054
3M,27,S.4264,126503.5,0.012975
3M,28,H.R.7614,126503.5,0.012975
3M,29,H.R.7617,126503.5,0.012975
3M,30,H.R.7613,126503.5,0.012975
ABBOTT LABORATORIES,1,H.R.5776,1009166.67,0.127259
ABBOTT LABORATORIES,2,S.3780,707500.0,0.089218
ABBOTT LABORATORIES,3,H.R.6102,672500.0,0.084805
ABBOTT LABORATORIES,4,S.2848,544166.67,0.068621
ABBOTT LABORATORIES,5,S.3942,437500.0,0.05517
ABBOTT LABORATORIES,6,H.R.6062,435000.0,0.054855
ABBOTT LABORATORIES,7,H.R.6952,435000.0,0.054855
ABBOTT LABORATORIES,8,S.3468,435000.0,0.054855
ABBOTT LABORATORIES,9,H.R.6276,400000.0,0.050441
ABBOTT LABORATORIES,10,H.R.761,277500.0,0.034994
ABBOTT LABORATORIES,11,S.3829,165000.0,0.020807
ABBVIE,1,H.R.1,960426.43,0.079374
ABBVIE,2,S.2543,708997.86,0.058595
ABBVIE,3,S.1895,634997.86,0.052479
ABBVIE,4,H.R.1046,629259.77,0.052005
ABBVIE,5,H.R.107,629259.77,0.052005
ABBVIE,6,S.475,629259.77,0.052005
ABBVIE,7,H.R.1499,629259.77,0.052005
ABBVIE,8,H.R.1506,629259.77,0.052005
ABBVIE,9,S.2911,571305.56,0.047215
ABBVIE,10,H.R.3,520831.2,0.043044
ABBVIE,11,S.1416,491997.86,0.040661
ABBVIE,12,S.474,443009.77,0.036612
ABBVIE,13,H.R.2113,437831.2,0.036184
ABBVIE,14,H.R.2740,437831.2,0.036184
ABBVIE,15,H.R.1425,331166.67,0.027369
ABBVIE,16,H.R.6383,331166.67,0.027369
ABBVIE,17,H.R.5133,294305.56,0.024323
ABBVIE,18,S.659,251428.57,0.020779
ABBVIE,19,H.R.1520,251428.57,0.020779
ABBVIE,20,H.R.1503,251428.57,0.020779
ABBVIE,21,H.R.19,251055.56,0.020748
ABBVIE,22,H.R.3991,240138.89,0.019846
ABBVIE,23,H.R.965,197428.57,0.016316
ABBVIE,24,S.3129,197166.67,0.016295
ABBVIE,25,H.R.7647,197166.67,0.016295
ABBVIE,26,H.R.1344,191428.57,0.015821
ABBVIE,27,S.476,191428.57,0.015821
ABBVIE,28,S.64,191428.57,0.015821
ABBVIE,29,S.1224,60000.0,0.004959
ABBVIE,30,H.R.4398,53888.89,0.004454
ABM INDUSTRIES,1,S.1857,17000.0,0.425
ABM INDUSTRIES,2,H.R.2741,7000.0,0.175
ABM INDUSTRIES,3,H.R.3079,7000.0,0.175
ABM INDUSTRIES,4,S.1245,7000.0,0.175
ADOBE,1,H.R.1079,940000.0,0.414097
ADOBE,2,S.435,670000.0,0.295154
ADOBE,3,H.R.7096,166666.67,0.073421
ADOBE,4,S.3890,60000.0,0.026432
ADP,1,H.R.2213,508333.33,0.493528
ADP,2,S.978,378333.33,0.367314
ADP,3,S.136,40000.0,0.038835
ADVANCED MICRO DEVICES,1,H.R.2575,2580000.0,0.710744
ADVANCED MICRO DEVICES,2,H.R.7178,456666.67,0.125803
ADVANCED MICRO DEVICES,3,S.3933,320000.0,0.088154
ADVANCED MICRO DEVICES,4,S.4982,136666.67,0.037649
AECOM,1,S.1706,355049.6,0.113073
AECOM,2,S.1857,355049.6,0.113073
