source,target,weight,rbo,source_firsts,target_firsts,tie_count,shared_bills,net_temporal
3M,ABBVIE,0.034029,0.068058,0,0,2,2,0
ABBVIE,3M,0.034029,0.068058,0,0,2,2,0
3M,AECOM,0.029015,0.05803,0,0,5,5,0
AECOM,3M,0.029015,0.05803,0,0,5,5,0
3M,AMAZON,0.0004,0.000799,0,0,1,1,0
AMAZON,3M,0.0004,0.000799,0,0,1,1,0
3M,AMEREN,0.041949,0.055932,1,0,1,2,1
AMEREN,3M,0.013983,0.055932,0,1,1,2,-1
3M,AMGEN,0.008141,0.016281,0,0,1,1,0
AMGEN,3M,0.008141,0.016281,0,0,1,1,0
3M,BALL,0.007299,0.019463,0,1,3,4,-1
BALL,3M,0.012164,0.019463,1,0,3,4,1
3M,BECTON DICKINSON,0.010112,0.030336,0,1,2,3,-1
BECTON DICKINSON,3M,0.020224,0.030336,1,0,2,3,1
3M,BERKSHIRE HATHAWAY,0.0,0.026834,0,1,0,1,-1
BERKSHIRE HATHAWAY,3M,0.026834,0.026834,1,0,0,1,1
3M,BIOGEN,0.011783,0.011783,1,0,0,1,1
BIOGEN,3M,0.0,0.011783,0,1,0,1,-1
3M,BLACKSTONE GROUP,0.030766,0.061532,0,0,2,2,0
BLACKSTONE GROUP,3M,0.030766,0.061532,0,0,2,2,0
3M,BOEING,0.030834,0.061668,0,0,1,1,0
BOEING,3M,0.030834,0.061668,0,0,1,1,0
3M,BOSTON SCIENTIFIC,0.002638,0.010552,0,1,1,2,-1
BOSTON SCIENTIFIC,3M,0.007914,0.010552,1,0,1,2,1
3M,CARDINAL HEALTH,0.001503,0.006011,0,1,1,2,-1
CARDINAL HEALTH,3M,0.004508,0.006011,1,0,1,2,1
3M,CATERPILLAR,0.022118,0.058981,0,1,3,4,-1
CATERPILLAR,3M,0.036863,0.058981,1,0,3,4,1
3M,CENTENE,0.031007,0.062015,0,0,2,2,0
CENTENE,3M,0.031007,0.062015,0,0,2,2,0
3M,CHEMOURS,0.045008,0.054009,2,0,1,3,2
CHEMOURS,3M,0.009002,0.054009,0,2,1,3,-2
3M,CHEVRON,0.000496,0.000662,1,0,1,2,1
CHEVRON,3M,0.000165,0.000662,0,1,1,2,-1
3M,CIGNA,0.023004,0.046008,0,0,1,1,0
CIGNA,3M,0.023004,0.046008,0,0,1,1,0
3M,CORNING,0.049966,0.063593,5,1,1,7,4
CORNING,3M,0.013627,0.063593,1,5,1,7,-4
3M,CSX,0.003,0.003,1,0,0,1,1
CSX,3M,0.0,0.003,0,1,0,1,-1
3M,CUMMINS,0.015738,0.047214,0,2,4,6,-2
CUMMINS,3M,0.031476,0.047214,2,0,4,6,2
3M,CVS HEALTH,0.030834,0.061668,0,0,1,1,0
CVS HEALTH,3M,0.030834,0.061668,0,0,1,1,0
3M,DELL TECHNOLOGIES,0.005094,0.005094,1,0,0,1,1
DELL TECHNOLOGIES,3M,0.0,0.005094,0,1,0,1,-1
3M,DELTA AIR LINES,0.013024,0.026048,0,0,6,6,0
DELTA AIR LINES,3M,0.013024,0.026048,0,0,6,6,0
3M,DUKE ENERGY,0.001162,0.002325,0,0,2,2,0
DUKE ENERGY,3M,0.001162,0.002325,0,0,2,2,0
3M,DUPONT DE NEMOURS,0.005512,0.00735,2,0,2,4,2
DUPONT DE NEMOURS,3M,0.001837,0.00735,0,2,2,4,-2
3M,ECOLAB,0.028211,0.045137,1,0,3,4,1
ECOLAB,3M,0.016927,0.045137,0,1,3,4,-1
3M,EDISON INTERNATIONAL,0.022492,0.044984,0,0,1,1,0
EDISON INTERNATIONAL,3M,0.022492,0.044984,0,0,1,1,0
3M,ELI LILLY,0.013376,0.026753,0,0,1,1,0
ELI LILLY,3M,0.013376,0.026753,0,0,1,1,0
3M,ENTERGY,0.00968,0.012907,1,0,1,2,1
ENTERGY,3M,0.003227,0.012907,0,1,1,2,-1
3M,EVERSOURCE ENERGY,0.003043,0.004057,1,0,1,2,1
EVERSOURCE ENERGY,3M,0.001014,0.004057,0,1,1,2,-1
3M,EXXONMOBIL,0.017849,0.035698,0,0,3,3,0
EXXONMOBIL,3M,0.017849,0.035698,0,0,3,3,0
3M,FIRSTENERGY,0.001024,0.001024,1,0,0,1,1
