source,target,weight,source_firsts,target_firsts,tie_count,shared_bills,net_temporal,balanced,directed_bills,lobbyist_mediated,firm_mediated,any_mediated,mean_lag_quarters,net_lob_connected,net_firm_connected,net_any_connected,lobbyist_mediation_rate,firm_mediation_rate,any_mediation_rate
3M,ABBVIE,0.068058,0,0,2,2,0,1,,,,,,,,,,,
3M,AECOM,0.05803,0,0,5,5,0,1,,,,,,,,,,,
3M,AMAZON,0.000799,0,0,1,1,0,1,,,,,,,,,,,
3M,AMEREN,0.055932,1,0,1,2,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,AMGEN,0.016281,0,0,1,1,0,1,,,,,,,,,,,
BALL,3M,0.019463,1,0,3,4,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
BECTON DICKINSON,3M,0.030336,1,0,2,3,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
BERKSHIRE HATHAWAY,3M,0.026834,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,BIOGEN,0.011783,1,0,0,1,1,0,1.0,0.0,0.0,0.0,5.0,False,False,False,0.0,0.0,0.0
3M,BLACKSTONE GROUP,0.061532,0,0,2,2,0,1,,,,,,,,,,,
3M,BOEING,0.061668,0,0,1,1,0,1,,,,,,,,,,,
BOSTON SCIENTIFIC,3M,0.010552,1,0,1,2,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
CARDINAL HEALTH,3M,0.006011,1,0,1,2,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
CATERPILLAR,3M,0.058981,1,0,3,4,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,CENTENE,0.062015,0,0,2,2,0,1,,,,,,,,,,,
3M,CHEMOURS,0.054009,2,0,1,3,2,0,2.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
3M,CHEVRON,0.000662,1,0,1,2,1,0,1.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
3M,CIGNA,0.046008,0,0,1,1,0,1,,,,,,,,,,,
3M,CORNING,0.063593,5,1,1,7,4,0,6.0,0.0,0.0,0.0,1.3333333333333333,False,False,False,0.0,0.0,0.0
3M,CSX,0.003,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
CUMMINS,3M,0.047214,2,0,4,6,2,0,2.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,CVS HEALTH,0.061668,0,0,1,1,0,1,,,,,,,,,,,
3M,DELL TECHNOLOGIES,0.005094,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,DELTA AIR LINES,0.026048,0,0,6,6,0,1,,,,,,,,,,,
3M,DUKE ENERGY,0.002325,0,0,2,2,0,1,,,,,,,,,,,
3M,DUPONT DE NEMOURS,0.00735,2,0,2,4,2,0,2.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,ECOLAB,0.045137,1,0,3,4,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,EDISON INTERNATIONAL,0.044984,0,0,1,1,0,1,,,,,,,,,,,
3M,ELI LILLY,0.026753,0,0,1,1,0,1,,,,,,,,,,,
3M,ENTERGY,0.012907,1,0,1,2,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,EVERSOURCE ENERGY,0.004057,1,0,1,2,1,0,1.0,0.0,0.0,0.0,4.0,False,False,False,0.0,0.0,0.0
3M,EXXONMOBIL,0.035698,0,0,3,3,0,1,,,,,,,,,,,
3M,FIRSTENERGY,0.001024,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,FLUOR,0.014343,1,0,3,4,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
FORD,3M,0.025185,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,GENERAL DYNAMICS,0.018261,0,0,4,4,0,1,,,,,,,,,,,
GENERAL ELECTRIC,3M,0.043363,1,0,3,4,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,GILEAD SCIENCES,0.003373,2,0,0,2,2,0,2.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,GRAPHIC PACKAGING HOLDING,0.014343,0,0,2,2,0,1,,,,,,,,,,,
3M,HCA HEALTHCARE,0.0612,0,0,1,1,0,1,,,,,,,,,,,
3M,HEWLETT PACKARD ENTERPRISE,0.001068,0,0,2,2,0,1,,,,,,,,,,,
3M,HOME DEPOT,0.001643,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,HONEYWELL INTERNATIONAL,0.008561,1,0,3,4,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,HUMANA,0.001267,1,0,0,1,1,0,1.0,0.0,0.0,0.0,6.0,False,False,False,0.0,0.0,0.0
3M,IBM,0.003247,0,0,1,1,0,1,,,,,,,,,,,
3M,LABORATORY CORP. OF AMERICA,0.028931,0,0,2,2,0,1,,,,,,,,,,,
3M,LEIDOS HOLDINGS,0.018631,0,0,6,6,0,1,,,,,,,,,,,
3M,LIBERTY MUTUAL INSURANCE GROUP,0.005028,1,0,0,1,1,0,1.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
3M,LOCKHEED MARTIN,0.006186,0,0,3,3,0,1,,,,,,,,,,,
3M,MAGELLAN HEALTH,0.057602,0,0,1,1,0,1,,,,,,,,,,,
3M,MERCK,0.009776,1,0,0,1,1,0,1.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
3M,MICRON TECHNOLOGY,0.01065,0,0,5,5,0,1,,,,,,,,,,,
3M,MOLINA HEALTHCARE,0.055279,0,0,1,1,0,1,,,,,,,,,,,
3M,MOTOROLA SOLUTIONS,0.00753,0,0,2,2,0,1,,,,,,,,,,,
3M,MUTUAL OF OMAHA INSURANCE,0.000617,1,0,0,1,1,0,1.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
3M,NAVISTAR INTERNATIONAL,0.028526,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,NORTHROP GRUMMAN,0.024829,1,1,4,6,0,1,2.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,ORACLE,0.01436,0,0,2,2,0,1,,,,,,,,,,,
OWENS CORNING,3M,0.002685,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
PG&E,3M,4.5e-05,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,PHILLIPS 66,0.004066,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,PPG INDUSTRIES,0.02538,1,0,6,7,1,0,1.0,0.0,0.0,0.0,4.0,False,False,False,0.0,0.0,0.0
3M,PUBLIC SERVICE ENTERPRISE GROUP,0.003747,0,0,4,4,0,1,,,,,,,,,,,
3M,RAYTHEON,0.016943,0,0,3,3,0,1,,,,,,,,,,,
3M,SOUTHERN,0.007414,3,0,0,3,3,0,3.0,0.0,0.0,0.0,1.3333333333333333,False,False,False,0.0,0.0,0.0
TESLA,3M,0.044984,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,THERMO FISHER SCIENTIFIC,0.010215,0,0,1,1,0,1,,,,,,,,,,,
3M,UNION PACIFIC,0.009674,0,0,2,2,0,1,,,,,,,,,,,
3M,UNITED TECHNOLOGIES,0.01457,2,0,2,4,2,0,2.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
3M,WALMART,0.0612,0,0,1,1,0,1,,,,,,,,,,,
3M,WESTROCK,0.012705,0,0,2,2,0,1,,,,,,,,,,,
ABBOTT LABORATORIES,AIG,0.002685,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
ABBOTT LABORATORIES,BECTON DICKINSON,0.035886,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
ABBOTT LABORATORIES,CHS,0.019174,0,0,1,1,0,1,,,,,,,,,,,
ABBOTT LABORATORIES,DANAHER,0.1,0,0,1,1,0,1,,,,,,,,,,,
GENERAL ELECTRIC,ABBOTT LABORATORIES,0.016711,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
ABBOTT LABORATORIES,LABORATORY CORP. OF AMERICA,0.110701,0,0,1,1,0,1,,,,,,,,,,,
ABBOTT LABORATORIES,QUEST DIAGNOSTICS,0.110701,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
ABBVIE,AMAZON,0.000799,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,AMEREN,0.00629,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,AMERISOURCEBERGEN,0.0107,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,AMGEN,0.068349,3,1,9,13,2,0,4.0,0.0,0.0,0.0,1.5,False,False,False,0.0,0.0,0.0
ABBVIE,APPLIED MATERIALS,0.307739,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,BALL,0.006345,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,BECTON DICKINSON,0.001641,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,BEST BUY,0.321766,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,BIOGEN,0.227762,5,1,4,10,4,0,6.0,0.0,0.0,0.0,2.6666666666666665,False,False,False,0.0,0.0,0.0
ABBVIE,BLACKSTONE GROUP,0.120355,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,BOEING,0.120823,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,BORGWARNER,0.272905,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,BRISTOL-MYERS SQUIBB,0.036309,0,0,4,4,0,1,,,,,,,,,,,
ABBVIE,CATERPILLAR,0.130768,1,0,2,3,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
ABBVIE,CBS,0.010123,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,CENTENE,0.125055,1,0,2,3,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
ABBVIE,CHS,0.057864,1,0,0,1,1,0,1.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
ABBVIE,CIGNA,0.054415,0,0,7,7,0,1,,,,,,,,,,,
ABBVIE,CITIGROUP,0.331326,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,CORNING,0.006389,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,COSTCO,0.15,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,CVS HEALTH,0.174643,1,1,7,9,0,1,2.0,0.0,0.0,0.0,1.5,False,False,False,0.0,0.0,0.0
ABBVIE,DEERE,0.074815,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,DELL TECHNOLOGIES,0.084698,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,DELTA AIR LINES,0.006389,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,DUKE ENERGY,0.001024,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,ELI LILLY,0.097,0,0,3,3,0,1,,,,,,,,,,,
ABBVIE,ENTERGY,0.006489,1,0,1,2,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
ABBVIE,EVERSOURCE ENERGY,0.001291,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,EXXONMOBIL,0.001024,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,FACEBOOK,0.334573,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,FIFTH THIRD BANCORP,0.085908,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,FLUOR,0.003142,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,GENERAL DYNAMICS,0.005922,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,GENERAL ELECTRIC,0.182491,0,0,2,2,0,1,,,,,,,,,,,
ABBVIE,GENERAL MOTORS,0.001643,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
ABBVIE,GENWORTH FINANCIAL,0.138565,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,GILEAD SCIENCES,0.141067,3,1,5,9,2,0,4.0,0.0,0.0,0.0,1.5,False,False,False,0.0,0.0,0.0
ABBVIE,GOLDMAN SACHS GROUP,0.249875,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,GRAPHIC PACKAGING HOLDING,0.003142,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,HARTFORD FINANCIAL SERVICES,0.334573,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,HCA HEALTHCARE,0.120355,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,HONEYWELL INTERNATIONAL,0.026834,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,HUMANA,0.08485,3,0,3,6,3,0,3.0,0.0,0.0,0.0,2.6666666666666665,False,False,False,0.0,0.0,0.0
ABBVIE,HUNTSMAN,0.16375,0,0,2,2,0,1,,,,,,,,,,,
ABBVIE,IBM,0.019529,0,0,2,2,0,1,,,,,,,,,,,
ABBVIE,INTERNATIONAL PAPER,0.007563,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,JOHNSON & JOHNSON,0.026024,3,0,4,7,3,0,3.0,0.0,0.0,0.0,1.3333333333333333,False,False,False,0.0,0.0,0.0
ABBVIE,LABORATORY CORP. OF AMERICA,0.026586,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,LEIDOS HOLDINGS,0.006389,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,LOCKHEED MARTIN,0.002592,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,MAGELLAN HEALTH,0.141677,0,0,5,5,0,1,,,,,,,,,,,
ABBVIE,MASSACHUSETTS MUTUAL LIFE INSURANCE,0.272905,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,MCKESSON,0.004747,1,0,0,1,1,0,1.0,0.0,0.0,0.0,4.0,False,False,False,0.0,0.0,0.0
ABBVIE,MERCK,0.256863,7,0,2,9,7,0,7.0,0.0,0.0,0.0,3.2857142857142856,False,False,False,0.0,0.0,0.0
ABBVIE,METLIFE,0.122905,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,MICRON TECHNOLOGY,0.001295,0,0,1,1,0,1,,,,,,,,,,,
