source,target,weight
3M,AECOM,0.014092595740094863
3M,BERKSHIRE HATHAWAY,0.025185228552594866
3M,CHEMOURS,0.0110926328125
3M,CSX,0.006010820405273437
3M,CUMMINS,0.1237529609375
3M,DTE ENERGY,0.006010820405273437
3M,DUPONT DE NEMOURS,0.16375010355259484
3M,EDISON INTERNATIONAL,0.025185228552594866
3M,ENTERGY,0.04084541605259486
3M,EXELON,0.025185228552594866
3M,FLUOR,0.04084541605259486
3M,GENERAL DYNAMICS,0.0267528203125
3M,HOLLYFRONTIER,0.0267528203125
3M,MCKESSON,0.014092595740094863
3M,MICRON TECHNOLOGY,0.112660328125
3M,MOTOROLA SOLUTIONS,0.08906033210518972
3M,NORTHROP GRUMMAN,0.03483459564732143
3M,PPG INDUSTRIES,0.26847062315778464
3M,PPL,0.04084541605259486
3M,PUBLIC SERVICE ENTERPRISE GROUP,0.04084541605259486
3M,TESLA,0.019174408147321426
3M,UNION PACIFIC,0.04084541605259486
ABBOTT LABORATORIES,GENERAL ELECTRIC,0.0267528203125
ABBVIE,AMERISOURCEBERGEN,0.014026583350172525
ABBVIE,AMGEN,0.011490017139147135
ABBVIE,APPLIED MATERIALS,0.21375000000000005
ABBVIE,BIOGEN,0.31299266652764834
ABBVIE,BLACKSTONE GROUP,0.014092595740094863
ABBVIE,BRISTOL-MYERS SQUIBB,0.017500837544420573
ABBVIE,CENTENE,0.17176586649749395
ABBVIE,CHS,0.2729046875
ABBVIE,CVS HEALTH,0.08338088363664109
ABBVIE,FACEBOOK,0.32176586649749395
ABBVIE,GENERAL ELECTRIC,0.014026583350172525
ABBVIE,GENWORTH FINANCIAL,0.21375000000000005
ABBVIE,GILEAD SCIENCES,0.18792249593988702
ABBVIE,GOLDMAN SACHS GROUP,0.24987500000000004
ABBVIE,HARTFORD FINANCIAL SERVICES,0.32176586649749395
ABBVIE,HCA HEALTHCARE,0.008081775334821427
ABBVIE,HUMANA,0.075365120691742
ABBVIE,IBM,0.0939992251824879
ABBVIE,JOHNSON & JOHNSON,0.1857924498476665
ABBVIE,MASSACHUSETTS MUTUAL LIFE INSURANCE,0.24987500000000004
ABBVIE,MERCK,0.03613494203516648
ABBVIE,METLIFE,0.2729046875
ABBVIE,MOLINA HEALTHCARE,0.010552329155924479
ABBVIE,MUTUAL OF OMAHA INSURANCE,0.08590750781249999
