ns_rank,firm,net_strength,net_influence,total_spend,num_bills,ns_rank,spend_rank,bills_rank,sector
1,DTE ENERGY,5.8428,43,49300.352937376534,118,1.0,285.0,6.0,Energy/Utilities
2,CUMMINS,5.3093,58,491094.46313131315,51,2.0,215.0,38.0,Defense/Industrial
3,CALPINE,4.9431,53,247130.15277410543,52,3.0,253.0,36.0,
4,ABBVIE,4.167,36,5156426.434676435,36,4.0,19.0,62.0,Health/Pharma
5,CMS ENERGY,3.8887,31,43086.77440962605,143,5.0,287.0,5.0,Energy/Utilities
6,BERKSHIRE HATHAWAY,3.7763,11,2972952.1605622126,163,6.0,45.0,1.0,Energy/Utilities
7,MICROSOFT,3.3167,23,1270610.6493506492,59,7.0,99.0,29.0,Tech/Telecom
8,LABORATORY CORP. OF AMERICA,2.8698,18,1269282.8282828284,30,8.0,100.0,74.0,Health/Pharma
9,FIRSTENERGY,2.7485,6,387762.2406329303,43,9.0,235.0,53.0,Energy/Utilities
10,CVS HEALTH,2.6826,26,1301850.9659664659,55,10.0,97.0,32.0,Health/Pharma
11,TEXAS INSTRUMENTS,2.4503,5,391070.5128205128,22,11.0,233.0,106.0,Tech/Telecom
12,PNC FINANCIAL SERVICES,2.1126,2,899879.0658616746,27,12.0,151.0,86.0,Finance/Insurance
13,COGNIZANT TECHNOLOGY SOLUTIONS,2.0664,13,1023166.6666666666,10,13.0,131.0,166.0,Defense/Industrial
14,NORTHROP GRUMMAN,2.0546,30,7989375.0,30,14.0,8.0,74.0,Defense/Industrial
15,EXELON,2.0414,26,522484.7866671612,118,15.0,208.0,6.0,Energy/Utilities
16,WELLS FARGO,1.9323,12,3543166.666666667,9,16.0,35.0,176.0,Finance/Insurance
17,APPLIED MATERIALS,1.9267,12,557000.0,10,17.0,203.0,166.0,Tech/Telecom
18,BALL,1.9165,44,419891.28201519843,36,18.0,228.0,62.0,Defense/Industrial
19,COCA-COLA,1.889,-25,1098344.5087521174,42,19.0,120.0,57.0,Tech/Telecom
20,GILEAD SCIENCES,1.7921,-56,3735227.272727273,25,20.0,33.0,92.0,Health/Pharma
21,AT&T,1.7775,31,1093902.1754702367,163,21.0,122.0,1.0,Tech/Telecom
22,CBS,1.7662,13,2590846.4262930052,56,22.0,51.0,31.0,Tech/Telecom
23,HEWLETT PACKARD ENTERPRISE,1.7632,14,375820.1581027668,27,23.0,238.0,86.0,Tech/Telecom
24,PG&E,1.7569,21,243997.54384804776,84,24.0,254.0,14.0,Energy/Utilities
25,NORTHWESTERN MUTUAL,1.7405,24,337776.7886704301,51,25.0,243.0,38.0,Finance/Insurance
26,UNION PACIFIC,1.6288,10,311121.22241016035,72,26.0,245.0,21.0,Defense/Industrial
27,CIGNA,1.5701,24,743633.5978835978,54,27.0,170.0,34.0,Health/Pharma
28,CITIGROUP,1.548,18,1764170.745920746,18,28.0,80.0,122.0,Finance/Insurance
29,FORD,1.5364,27,1097974.4107142857,8,29.0,121.0,185.0,Finance/Insurance
30,ARAMARK,1.4781,6,591000.0,11,30.0,194.0,152.0,Health/Pharma
