ns_rank,firm,net_strength,net_influence,total_spend,num_bills,sector
1,AMERICAN ELECTRIC POWER,-8.5146,-43,2160936.803157857,54,Energy/Utilities
2,CSX,-6.1999,-15,601147.209074074,30,Defense/Industrial
3,PPL,-5.2932,-21,745157.2786481254,61,Energy/Utilities
4,ORACLE,-5.2279,-22,4039682.183829243,36,Tech/Telecom
5,MUTUAL OF OMAHA INSURANCE,-5.2195,-115,123250.54112554112,35,Finance/Insurance
6,CISCO SYSTEMS,-4.0688,-19,1317348.4848484849,30,Tech/Telecom
7,QUEST DIAGNOSTICS,-3.7672,-13,653173.0769230769,15,Health/Pharma
8,CORNING,-3.6755,-79,174230.76923076925,42,Defense/Industrial
9,BIOGEN,-3.5962,-31,1445964.2051282052,26,Health/Pharma
10,AES,-3.2137,-46,704190.4761904762,12,Energy/Utilities
11,HOLLYFRONTIER,-3.0278,-40,535138.8888888889,15,Defense/Industrial
12,CENTERPOINT ENERGY,-2.7127,-95,1913554.945054945,44,Energy/Utilities
13,HOME DEPOT,-2.6837,-27,432363.6904761905,45,Tech/Telecom
14,BANK OF AMERICA,-2.478,-15,1050388.8888888888,33,Finance/Insurance
15,NORTHERN TRUST,-2.4279,-19,400833.3333333334,14,Finance/Insurance
16,ALPHABET,-2.327,-15,7094527.777777778,19,Tech/Telecom
17,CAPITAL ONE FINANCIAL,-2.3235,-22,646488.4085213033,24,Finance/Insurance
18,FOX CORP,-2.1512,-10,270691.6451335056,44,Tech/Telecom
19,APPLE,-1.9931,-17,13093333.333333334,3,Tech/Telecom
20,WALGREENS BOOTS ALLIANCE,-1.9409,-21,4503666.666666667,10,Health/Pharma
