sector,rank,firm,wc_net_strength,net_strength
Finance/Insurance,1,PNC FINANCIAL SERVICES,2.227254,2.1126
Finance/Insurance,2,WELLS FARGO,1.9323000000000001,1.9323
Finance/Insurance,3,CITIGROUP,1.5798130000000001,1.548
Finance/Insurance,4,NORTHWESTERN MUTUAL,1.3191559999999998,1.7405
Finance/Insurance,5,ALLSTATE,1.192333,1.2991
Finance/Insurance,6,CONSTELLATION BRANDS,1.043172,1.0432
Finance/Insurance,7,NEW YORK LIFE INSURANCE,0.8348709999999999,1.2439
Finance/Insurance,8,AIG,0.8246340000000001,1.242
Finance/Insurance,9,JPMORGAN CHASE & CO.,0.7817740000000002,0.5562
Finance/Insurance,10,LIBERTY MUTUAL INSURANCE GROUP,0.767685,0.7232
Tech/Telecom,1,MICROSOFT,3.1507239999999994,3.3167
Tech/Telecom,2,TEXAS INSTRUMENTS,2.502606,2.4503
Tech/Telecom,3,COCA-COLA,2.299801,1.889
Tech/Telecom,4,HEWLETT PACKARD ENTERPRISE,2.041736,1.7632
Tech/Telecom,5,APPLIED MATERIALS,1.9228589999999999,1.9267
Tech/Telecom,6,AT&T,1.6863419999999998,1.7775
Tech/Telecom,7,CBS,1.606931,1.7662
Tech/Telecom,8,IBM,1.084107,1.4703
Tech/Telecom,9,GENERAL MILLS,0.956868,1.2834
Tech/Telecom,10,DELL TECHNOLOGIES,0.918072,1.183
Defense/Industrial,1,NORTHROP GRUMMAN,1.9233639999999996,2.0546
Defense/Industrial,2,BALL,1.664649,1.9165
Defense/Industrial,3,NORFOLK SOUTHERN,1.565744,1.0938
Defense/Industrial,4,UNION PACIFIC,1.504857,1.6288
Defense/Industrial,5,GENERAL DYNAMICS,0.9076199999999999,1.2264
Defense/Industrial,6,AMERICAN AIRLINES GROUP,0.6695280000000001,0.6708
Defense/Industrial,7,LEIDOS HOLDINGS,0.6469050000000001,0.7771
Defense/Industrial,8,DELTA AIR LINES,0.5367509999999999,0.7125
Defense/Industrial,9,OSHKOSH,0.49975,0.6358
Defense/Industrial,10,CUMMINS,0.442226,5.3093
Energy/Utilities,1,DTE ENERGY,6.163288,5.8428
Energy/Utilities,2,CMS ENERGY,3.8885010000000007,3.8887
Energy/Utilities,3,FIRSTENERGY,2.855041,2.7485
Energy/Utilities,4,XCEL ENERGY,2.0433579999999996,1.206
Energy/Utilities,5,SOUTHERN,1.8299860000000001,0.7767
Energy/Utilities,6,EXELON,1.7695040000000002,2.0414
Energy/Utilities,7,PG&E,1.6682059999999999,1.7569
Energy/Utilities,8,PHILLIPS 66,0.9708439999999998,1.0213
Energy/Utilities,9,EXXONMOBIL,0.935028,1.2118
Energy/Utilities,10,TESLA,0.833533,0.3873
Health/Pharma,1,ABBVIE,4.0999859999999995,4.167
Health/Pharma,2,LABORATORY CORP. OF AMERICA,2.8987209999999997,2.8698
Health/Pharma,3,CVS HEALTH,2.5397200000000004,2.6826
Health/Pharma,4,GILEAD SCIENCES,2.478211,1.7921
Health/Pharma,5,CIGNA,1.535542,1.5701
Health/Pharma,6,BRISTOL-MYERS SQUIBB,1.11809,1.1181
Health/Pharma,7,RITE AID,1.074265,1.32
Health/Pharma,8,MAGELLAN HEALTH,1.024476,1.0274
Health/Pharma,9,MOLINA HEALTHCARE,0.820222,0.8202
Health/Pharma,10,CENTENE,0.7666710000000001,0.7874
