sector,congress,rank,firm,wc_net_strength
Finance/Insurance,111,1,AMERICAN FAMILY INSURANCE GROUP,8.345312999999999
Finance/Insurance,111,2,STATE FARM INSURANCE,3.5244169999999997
Finance/Insurance,111,3,HARTFORD FINANCIAL SERVICES,2.954574
Finance/Insurance,111,4,NATIONWIDE,1.963269
Finance/Insurance,111,5,AMERICAN EXPRESS,1.5651390000000003
Finance/Insurance,112,1,AMERICAN FAMILY INSURANCE GROUP,2.8958079999999997
Finance/Insurance,112,2,AMERICAN EXPRESS,2.513035
Finance/Insurance,112,3,PRINCIPAL FINANCIAL,2.325168
Finance/Insurance,112,4,HARTFORD FINANCIAL SERVICES,1.325616
Finance/Insurance,112,5,NORTHWESTERN MUTUAL,1.2897680000000005
Finance/Insurance,113,1,AMERICAN FAMILY INSURANCE GROUP,4.552340999999999
Finance/Insurance,113,2,NORTHWESTERN MUTUAL,3.046253
Finance/Insurance,113,3,USAA,2.353151
Finance/Insurance,113,4,CAPITAL ONE FINANCIAL,1.8632149999999998
Finance/Insurance,113,5,FIFTH THIRD BANCORP,1.5542290000000003
Finance/Insurance,114,1,NORTHWESTERN MUTUAL,9.813462
Finance/Insurance,114,2,TIAA,6.672052999999999
Finance/Insurance,114,3,JPMORGAN CHASE & CO.,4.491898000000001
Finance/Insurance,114,4,U.S. BANCORP,3.9053449999999996
Finance/Insurance,114,5,AMERIPRISE FINANCIAL,2.907864
Finance/Insurance,115,1,HARTFORD FINANCIAL SERVICES,7.405152000000001
Finance/Insurance,115,2,JPMORGAN CHASE & CO.,5.133843
Finance/Insurance,115,3,STATE FARM INSURANCE,4.792487999999999
Finance/Insurance,115,4,ALLSTATE,3.761566
Finance/Insurance,115,5,PRUDENTIAL FINANCIAL,3.7214990000000006
Finance/Insurance,116,1,PNC FINANCIAL SERVICES,2.227254
Finance/Insurance,116,2,WELLS FARGO,1.9323000000000001
Finance/Insurance,116,3,CITIGROUP,1.5798130000000001
Finance/Insurance,116,4,NORTHWESTERN MUTUAL,1.3191559999999998
Finance/Insurance,116,5,ALLSTATE,1.192333
Finance/Insurance,117,1,NEW YORK LIFE INSURANCE,1.391161
Finance/Insurance,117,2,BLACKROCK,1.010786
Finance/Insurance,117,3,PRINCIPAL FINANCIAL,0.9880550000000001
Finance/Insurance,117,4,AIG,0.8940809999999999
Finance/Insurance,117,5,NORTHWESTERN MUTUAL,0.8251840000000001
Tech/Telecom,111,1,MICROSOFT,1.765165
Tech/Telecom,111,2,IBM,1.5237829999999999
Tech/Telecom,111,3,CAMPBELL SOUP,1.1968600000000003
Tech/Telecom,111,4,VERIZON,1.191521
Tech/Telecom,111,5,CBS,1.1044450000000001
Tech/Telecom,112,1,MICROSOFT,4.525796
Tech/Telecom,112,2,CBS,2.422767
Tech/Telecom,112,3,INTEL,2.316838
Tech/Telecom,112,4,NEWS CORP.,1.125772
Tech/Telecom,112,5,TARGET,0.94358
