pair,firm,status
111->112,XCEL ENERGY,retained
111->112,AMERICAN EXPRESS,retained
111->112,LOCKHEED MARTIN,retained
111->112,CMS ENERGY,retained
111->112,NEXTERA ENERGY,retained
111->112,DUKE ENERGY,retained
111->112,AMERICAN FAMILY INSURANCE GROUP,retained
111->112,DARDEN RESTAURANTS,exiting
111->112,DEERE,exiting
111->112,EDISON INTERNATIONAL,exiting
111->112,CAMPBELL SOUP,exiting
111->112,VERIZON,exiting
111->112,IBM,exiting
111->112,STATE FARM INSURANCE,exiting
111->112,NATIONWIDE,exiting
111->112,AMERICAN ELECTRIC POWER,exiting
111->112,FEDEX,exiting
111->112,HARTFORD FINANCIAL SERVICES,exiting
111->112,CSX,exiting
111->112,NORFOLK SOUTHERN,exiting
111->112,HERSHEY,exiting
111->112,SOUTHWEST AIRLINES,exiting
111->112,LAND O'LAKES,exiting
111->112,WELLS FARGO,exiting
111->112,THERMO FISHER SCIENTIFIC,exiting
111->112,LINCOLN NATIONAL,exiting
111->112,BOEING,exiting
111->112,WEYERHAEUSER,exiting
111->112,DOMINION ENERGY,exiting
111->112,U.S. BANCORP,exiting
111->112,BERKSHIRE HATHAWAY,entering
111->112,DTE ENERGY,entering
111->112,BOSTON SCIENTIFIC,entering
111->112,PRINCIPAL FINANCIAL,entering
111->112,CBS,entering
111->112,PUBLIC SERVICE ENTERPRISE GROUP,entering
111->112,AMAZON,entering
111->112,CHEVRON,entering
111->112,SOUTHERN,entering
111->112,MICROSOFT,entering
111->112,JOHNSON & JOHNSON,entering
111->112,GENERAL DYNAMICS,entering
111->112,MASTERCARD,entering
111->112,ZIMMER BIOMET HOLDINGS,entering
111->112,L3HARRIS TECHNOLOGIES,entering
111->112,DELTA AIR LINES,entering
111->112,TARGET,entering
111->112,INTEL,entering
111->112,EXXONMOBIL,entering
111->112,ENTERGY,entering
111->112,EXELON,entering
111->112,UNITED AIRLINES HOLDINGS,entering
111->112,METLIFE,entering
112->113,XCEL ENERGY,retained
112->113,DTE ENERGY,retained
112->113,CMS ENERGY,retained
112->113,AMERICAN EXPRESS,retained
112->113,CBS,retained
112->113,LOCKHEED MARTIN,retained
112->113,DUKE ENERGY,retained
112->113,AMERICAN FAMILY INSURANCE GROUP,retained
112->113,METLIFE,retained
112->113,BERKSHIRE HATHAWAY,exiting
112->113,BOSTON SCIENTIFIC,exiting
112->113,PRINCIPAL FINANCIAL,exiting
112->113,PUBLIC SERVICE ENTERPRISE GROUP,exiting
112->113,AMAZON,exiting
112->113,CHEVRON,exiting
112->113,SOUTHERN,exiting
112->113,MICROSOFT,exiting
112->113,JOHNSON & JOHNSON,exiting
112->113,GENERAL DYNAMICS,exiting
112->113,MASTERCARD,exiting
112->113,ZIMMER BIOMET HOLDINGS,exiting
112->113,L3HARRIS TECHNOLOGIES,exiting
112->113,DELTA AIR LINES,exiting
112->113,TARGET,exiting
112->113,INTEL,exiting
112->113,EXXONMOBIL,exiting
112->113,ENTERGY,exiting
112->113,NEXTERA ENERGY,exiting
112->113,EXELON,exiting
112->113,UNITED AIRLINES HOLDINGS,exiting
112->113,TEXAS INSTRUMENTS,entering
112->113,EDISON INTERNATIONAL,entering
112->113,FIFTH THIRD BANCORP,entering
112->113,EBAY,entering
112->113,VERIZON,entering
112->113,GENERAL ELECTRIC,entering
112->113,IBM,entering
112->113,QUALCOMM,entering
112->113,USAA,entering
112->113,PEPSICO,entering
112->113,RAYTHEON,entering
112->113,NEWS CORP.,entering
112->113,APPLE,entering
112->113,NORFOLK SOUTHERN,entering
112->113,ORACLE,entering
112->113,NORTHWESTERN MUTUAL,entering
112->113,CAPITAL ONE FINANCIAL,entering
112->113,BLACKSTONE GROUP,entering
112->113,MASSACHUSETTS MUTUAL LIFE INSURANCE,entering
112->113,ALPHABET,entering
112->113,FIRSTENERGY,entering
113->114,XCEL ENERGY,retained
113->114,DTE ENERGY,retained
113->114,VERIZON,retained
113->114,RAYTHEON,retained
113->114,NORTHWESTERN MUTUAL,retained
113->114,GENERAL ELECTRIC,retained
113->114,CMS ENERGY,retained
113->114,CAPITAL ONE FINANCIAL,retained
113->114,DUKE ENERGY,retained
113->114,LOCKHEED MARTIN,retained
113->114,FIRSTENERGY,retained
113->114,METLIFE,retained
113->114,TEXAS INSTRUMENTS,exiting
113->114,NORFOLK SOUTHERN,exiting
113->114,ORACLE,exiting
113->114,MASSACHUSETTS MUTUAL LIFE INSURANCE,exiting
113->114,EDISON INTERNATIONAL,exiting
113->114,QUALCOMM,exiting
113->114,USAA,exiting
113->114,FIFTH THIRD BANCORP,exiting
113->114,EBAY,exiting
113->114,PEPSICO,exiting
113->114,ALPHABET,exiting
113->114,NEWS CORP.,exiting
113->114,AMERICAN EXPRESS,exiting
113->114,CBS,exiting
113->114,BLACKSTONE GROUP,exiting
113->114,APPLE,exiting
113->114,IBM,exiting
113->114,AMERICAN FAMILY INSURANCE GROUP,exiting
113->114,CORNING,entering
113->114,HP,entering
113->114,AMAZON,entering
113->114,3M,entering
