source,target,weight
3M,ABBOTT LABORATORIES,0.28286477151856726
3M,ABM INDUSTRIES,0.10560541630189642
3M,ADOBE,0.03055015656347271
3M,ADVANCED MICRO DEVICES,0.01779906113406484
3M,AECOM,0.3197831112890466
3M,ALLSTATE,0.004428416769214665
3M,ALLY FINANCIAL,0.027834604439148026
3M,ALPHABET,0.04045642971711657
3M,ALTRIA GROUP,0.24719123557258305
3M,AMAZON,0.17427984167855906
3M,AMEREN,0.05689674156371945
3M,AMERICAN AIRLINES GROUP,0.12738086013924277
3M,AMERICAN ELECTRIC POWER,0.10419532944433696
3M,AMERICAN EXPRESS,0.024741195639458896
3M,AMERICAN TOWER,0.013994376236073278
3M,AMERIPRISE FINANCIAL,0.04843162625561456
3M,AMERISOURCEBERGEN,0.0003254008764072946
3M,AMGEN,0.33510167536234386
3M,ANTHEM,0.005818167670162428
3M,APPLE,0.02629506282790349
3M,APPLIED MATERIALS,0.10032502801169817
3M,ARAMARK,0.04928716607622151
3M,ARCHER DANIELS MIDLAND,0.07199402561305376
3M,ARCONIC,0.026172722794155324
3M,ASSURANT,0.009542433145433432
3M,AT&T,0.15302238062645918
3M,AVIS BUDGET GROUP,0.011897206635714412
3M,BANK OF AMERICA,0.03219905118148006
3M,BECTON DICKINSON,0.41703924054646974
3M,BERKSHIRE HATHAWAY,0.23776114457067357
3M,BIOGEN,0.013376301054593868
3M,BLACKROCK,0.0022512371983963476
3M,BOEING,0.6525157184196386
3M,BOOZ ALLEN HAMILTON,0.13842862903128755
3M,BORGWARNER,0.08735117384276916
3M,BOSTON SCIENTIFIC,0.29306960893789935
3M,BRISTOL-MYERS SQUIBB,0.16220081802781705
3M,BROADCOM,0.04188422360955143
3M,CALPINE,0.04688510767686262
3M,CAMPBELL SOUP,0.005093515425612784
3M,CAPITAL ONE FINANCIAL,0.030129435935879294
3M,CARDINAL HEALTH,0.3267520120268402
3M,CATERPILLAR,0.2957833023589657
3M,CELANESE,0.0014965297372089947
3M,CENTENE,1.0752212196855255
3M,CENTERPOINT ENERGY,0.010066101014824247
3M,CHARLES SCHWAB,0.006855332891647873
3M,CHEMOURS,0.5261873711653734
3M,CHENIERE ENERGY,0.0012141656358488073
3M,CIGNA,0.33061359051617667
3M,CISCO SYSTEMS,0.10142422574803804
3M,CITIGROUP,0.02166812515223067
3M,CITIZENS FINANCIAL GROUP,0.006196292144303918
3M,CMS ENERGY,0.022289657872856052
3M,COCA-COLA,0.007764314740988031
3M,COGNIZANT TECHNOLOGY SOLUTIONS,0.007294385160434447
3M,COMCAST,0.09332945286231434
3M,CONOCOPHILLIPS,0.03624931314561609
3M,CONSTELLATION BRANDS,0.0031413229203055126
3M,CORNING,0.3537448239228544
3M,CSX,0.052934727308758686
3M,CVS HEALTH,0.10841964787792914
3M,DARDEN RESTAURANTS,0.0013927157510232211
3M,DAVITA,0.04542813485992595
3M,DEAN FOODS,0.006921982055670474
3M,DEERE,0.039761406302634264
3M,DELL TECHNOLOGIES,0.5890073511149405
3M,DELTA AIR LINES,0.08846096734685449
3M,DISCOVER FINANCIAL SERVICES,0.05769507906708999
3M,DISH NETWORK,0.10874604241654295
3M,DTE ENERGY,0.004521773240513638
3M,DUKE ENERGY,0.43867593563624574
3M,DUPONT DE NEMOURS,1.375729006895517
3M,EASTMAN CHEMICAL,0.027744438220572657
3M,ECOLAB,0.38991550974929073
3M,EDISON INTERNATIONAL,0.3917717801652196
3M,ELI LILLY,0.2076595216059645
3M,ENTERGY,0.5105335876895335
3M,ENTERPRISE PRODUCTS PARTNERS,0.01906404021886649
3M,ESTEE LAUDER,0.004215276779214741
3M,EXELON,0.08199029410563045
3M,EXXONMOBIL,2.931683167417219
3M,FEDEX,0.1092650823656557
3M,FIFTH THIRD BANCORP,0.00481593297082796
3M,FIRST DATA,0.0008470923040805632
3M,FIRSTENERGY,0.04738247208805526
3M,FLUOR,0.08617898112360745
3M,FORD,0.2674581731822085
3M,GAP,0.008547417820082531
3M,GENERAL DYNAMICS,0.3783560101216404
3M,GENERAL ELECTRIC,0.2089184640171599
3M,GENERAL MOTORS,0.033341113839689
3M,GENWORTH FINANCIAL,0.034830665366438765
3M,GILEAD SCIENCES,0.05274406037877495
3M,GOODYEAR TIRE & RUBBER,0.023954486774993226
3M,GUARDIAN LIFE INS. CO. OF AMERICA,0.12225860821911418
3M,HARLEY-DAVIDSON,0.00015619242067550142
3M,HARTFORD FINANCIAL SERVICES,0.04529808976716496
3M,HERSHEY,0.004338351607824965
3M,HILTON WORLDWIDE HOLDINGS,0.016776087393432493
3M,HOME DEPOT,0.18859201457354538
3M,HONEYWELL INTERNATIONAL,1.6718334881382952
3M,HORMEL FOODS,0.003917197241965019
3M,HP,0.09423796231596808
3M,HUMANA,0.360965391849567
3M,HUNTSMAN,0.015153685116356893
3M,IBM,0.3289578647127193
3M,IHEARTMEDIA,0.014875796108486663
3M,ILLINOIS TOOL WORKS,0.00030467089659727927
3M,INTEL,0.0457108387210257
3M,INTERNATIONAL PAPER,0.19025106402269584
3M,INTUIT,0.05841930407013024
3M,J.M. SMUCKER,0.025340729922371623
3M,JABIL,0.016926761601539417
