source,target,weight
3M,ABBOTT LABORATORIES,0.1141734765392235
3M,ABM INDUSTRIES,0.032045522611560344
3M,ADOBE,0.18071638458667366
3M,ADVANCED MICRO DEVICES,0.14483312375622479
3M,AECOM,0.22147704228085557
3M,ALLSTATE,0.037424604828983736
3M,ALLY FINANCIAL,0.1633680801664539
3M,ALPHABET,0.1194121093645927
3M,ALTRIA GROUP,0.09170057016138507
3M,AMAZON,0.07521172551260065
3M,AMEREN,0.11034211569775015
3M,AMERICAN AIRLINES GROUP,0.07386999351985142
3M,AMERICAN ELECTRIC POWER,0.038688502354730425
3M,AMERICAN EXPRESS,0.08279641004784748
3M,AMERICAN TOWER,0.2111097127462419
3M,AMERIPRISE FINANCIAL,0.06524198408034103
3M,AMERISOURCEBERGEN,0.09062426383981154
3M,AMGEN,0.0748070198091289
3M,ANTHEM,0.19573924814239924
3M,APPLE,0.1186211092148184
3M,APPLIED MATERIALS,0.15780957588204386
3M,ARAMARK,0.1749413635138568
3M,ARCHER DANIELS MIDLAND,0.7745098039215687
3M,ARCONIC,0.22775661165065303
3M,ASSURANT,0.10003771520848351
3M,AT&T,0.0812606766217146
3M,AVIS BUDGET GROUP,0.4360066403207927
3M,BANK OF AMERICA,0.06753939581327008
3M,BECTON DICKINSON,0.16755645333995453
3M,BERKSHIRE HATHAWAY,0.0924819804587593
3M,BIOGEN,0.06000465662053739
3M,BLACKROCK,0.10857722844024215
3M,BOEING,0.15122039299724446
3M,BOOZ ALLEN HAMILTON,0.18540148413588553
3M,BORGWARNER,0.1556821446870616
3M,BOSTON SCIENTIFIC,0.11392953876097171
3M,BRISTOL-MYERS SQUIBB,0.07072551335393439
3M,BROADCOM,0.2583959583517817
3M,CALPINE,0.03097596172932892
3M,CAMPBELL SOUP,0.36096838968777145
3M,CAPITAL ONE FINANCIAL,0.10589954552461216
3M,CARDINAL HEALTH,0.14709524733251078
3M,CATERPILLAR,0.15126239672240804
3M,CELANESE,0.15555783429040196
3M,CENTENE,0.12487068590159206
3M,CENTERPOINT ENERGY,0.07210479070989978
3M,CHARLES SCHWAB,0.03802392128201856
3M,CHEMOURS,0.22823276866681114
3M,CHENIERE ENERGY,0.21273308191912843
3M,CIGNA,0.07213626697000422
3M,CISCO SYSTEMS,0.08189963561166823
3M,CITIGROUP,0.07055536869696716
3M,CITIZENS FINANCIAL GROUP,0.15896296799547066
3M,CMS ENERGY,0.08691038305088206
3M,COCA-COLA,0.030303213481365044
3M,COGNIZANT TECHNOLOGY SOLUTIONS,0.1029222571879254
3M,COMCAST,0.14735653928941744
3M,CONOCOPHILLIPS,0.08940223521119899
3M,CONSTELLATION BRANDS,0.09595959595959595
3M,CORNING,0.19507612088660703
3M,CSX,0.05937641797085831
3M,CVS HEALTH,0.08099106458448882
3M,DARDEN RESTAURANTS,0.24290292243453368
3M,DAVITA,0.20183128279828158
3M,DEAN FOODS,0.04909753335706657
3M,DEERE,0.0354639414306426
3M,DELL TECHNOLOGIES,0.13637923940878635
3M,DELTA AIR LINES,0.06851130407596737
3M,DISCOVER FINANCIAL SERVICES,0.06894983360229076
3M,DISH NETWORK,0.14290878285128725
3M,DTE ENERGY,0.025050854039637572
3M,DUKE ENERGY,0.14066811990559683
3M,DUPONT DE NEMOURS,0.19573519063423536
3M,EASTMAN CHEMICAL,0.390191523141152
3M,ECOLAB,0.1998344481417037
3M,EDISON INTERNATIONAL,0.14009470975946736
3M,ELI LILLY,0.13038159733119023
3M,ENTERGY,0.15362291830136954
3M,ENTERPRISE PRODUCTS PARTNERS,0.17978875365819666
3M,ESTEE LAUDER,0.2508483853506861
3M,EXELON,0.08892669338102793
3M,EXXONMOBIL,0.13104234839352213
3M,FEDEX,0.08105693170634126
3M,FIFTH THIRD BANCORP,0.07184161248385816
3M,FIRST DATA,0.598989898989899
3M,FIRSTENERGY,0.08507970887779923
3M,FLUOR,0.11357324739577734
3M,FORD,0.2291820248155828
3M,GAP,0.1909858318921848
3M,GENERAL DYNAMICS,0.16599807102161945
3M,GENERAL ELECTRIC,0.1018469987070373
3M,GENERAL MOTORS,0.054310808885846946
3M,GENWORTH FINANCIAL,0.19538127781056286
3M,GILEAD SCIENCES,0.11385009778709507
3M,GOODYEAR TIRE & RUBBER,0.270119351199355
3M,GUARDIAN LIFE INS. CO. OF AMERICA,0.1270511795063203
3M,HARLEY-DAVIDSON,0.07964071856287425
3M,HARTFORD FINANCIAL SERVICES,0.10025049360259154
3M,HERSHEY,0.1257396184732961
3M,HILTON WORLDWIDE HOLDINGS,0.08951974361373967
3M,HOME DEPOT,0.079326385133822
3M,HONEYWELL INTERNATIONAL,0.0888743666184921
3M,HORMEL FOODS,0.1374312658026013
3M,HP,0.14169277278779258
3M,HUMANA,0.166460578037268
3M,HUNTSMAN,0.06648049227777282
3M,IBM,0.11620411925138134
3M,IHEARTMEDIA,0.05503882853319089
3M,ILLINOIS TOOL WORKS,0.0459016393442623
3M,INTEL,0.11921398196031084
3M,INTERNATIONAL PAPER,0.04970331719681405
3M,INTUIT,0.10503288524473856
3M,J.M. SMUCKER,0.3545904716917263
3M,JABIL,0.4315791209885238
3M,JETBLUE AIRWAYS,0.22529024151595298
3M,JOHNSON & JOHNSON,0.0861241375435611
3M,JPMORGAN CHASE & CO.,0.04530919429322223
3M,KELLOGG,0.12202086740347107
3M,KEYCORP,0.05623497966988845
3M,KIMBERLY-CLARK,0.09266506186986306
3M,KROGER,0.14568901390519287
3M,LAM RESEARCH,0.5789754691166002
