source,target,weight
3M,ABBOTT LABORATORIES,1
3M,ALTRIA GROUP,2
3M,AMERICAN EXPRESS,1
3M,AMGEN,1
3M,BOEING,1
3M,BROADCOM,1
3M,CITIGROUP,1
3M,CONSTELLATION BRANDS,1
3M,EOG RESOURCES,1
3M,HP,1
3M,INTERNATIONAL PAPER,1
3M,INTUIT,1
3M,MARATHON OIL,1
3M,MCDONALD'S,1
3M,NAVIENT,1
3M,PAYPAL HOLDINGS,1
3M,PRUDENTIAL FINANCIAL,1
3M,THERMO FISHER SCIENTIFIC,1
3M,WALMART,1
3M,WASTE MANAGEMENT,1
ABBOTT LABORATORIES,ELI LILLY,1
ABBOTT LABORATORIES,GILEAD SCIENCES,2
ABBOTT LABORATORIES,HORMEL FOODS,1
ABBOTT LABORATORIES,MCDONALD'S,1
ABBOTT LABORATORIES,MERCK,1
ABBOTT LABORATORIES,NORTHWESTERN MUTUAL,1
ABBOTT LABORATORIES,PFIZER,1
ABBOTT LABORATORIES,VERIZON,1
ABBOTT LABORATORIES,WALGREENS BOOTS ALLIANCE,1
ADOBE,3M,1
ADOBE,AFLAC,1
ADOBE,BOEING,1
ADOBE,BROADCOM,1
ADOBE,CITIGROUP,1
ADOBE,HP,1
ADOBE,HUMANA,1
ADOBE,IHEARTMEDIA,1
ADOBE,OWENS CORNING,1
ADOBE,TEXAS INSTRUMENTS,1
ADOBE,VERIZON,1
ADOBE,WALMART,1
ADVANCED MICRO DEVICES,ABBOTT LABORATORIES,1
ADVANCED MICRO DEVICES,ALTRIA GROUP,1
ADVANCED MICRO DEVICES,AMGEN,1
ADVANCED MICRO DEVICES,BROADCOM,1
ADVANCED MICRO DEVICES,ELI LILLY,1
ADVANCED MICRO DEVICES,ENTERGY,1
ADVANCED MICRO DEVICES,GILEAD SCIENCES,1
ADVANCED MICRO DEVICES,MERCK,1
ADVANCED MICRO DEVICES,TARGET,1
ADVANCED MICRO DEVICES,UNITED PARCEL SERVICE,1
ADVANCED MICRO DEVICES,VERIZON,1
ADVANCED MICRO DEVICES,WALGREENS BOOTS ALLIANCE,1
AECOM,FORD,1
AFLAC,3M,2
AFLAC,ABBOTT LABORATORIES,1
AFLAC,ALTRIA GROUP,1
AFLAC,BOEING,1
AFLAC,BROADCOM,1
AFLAC,CITIGROUP,1
AFLAC,FEDEX,1
AFLAC,HP,1
AFLAC,HUMANA,1
AFLAC,IHEARTMEDIA,1
AFLAC,LOCKHEED MARTIN,1
AFLAC,MCDONALD'S,1
AFLAC,OWENS CORNING,1
AFLAC,TEXAS INSTRUMENTS,1
AFLAC,WALMART,1
ALLSTATE,ALLY FINANCIAL,1
ALLSTATE,ALTRIA GROUP,2
ALLSTATE,AT&T,1
ALLSTATE,BIOGEN,1
ALLSTATE,BOOZ ALLEN HAMILTON,1
ALLSTATE,BRISTOL-MYERS SQUIBB,1
ALLSTATE,COMCAST,1
ALLSTATE,FLUOR,1
ALLSTATE,IBM,1
ALLSTATE,JETBLUE AIRWAYS,1
ALLSTATE,MARSH & MCLENNAN,1
ALLSTATE,MERCK,1
ALLSTATE,MORGAN STANLEY,1
ALLSTATE,NORFOLK SOUTHERN,1
ALLSTATE,PAYPAL HOLDINGS,1
ALLSTATE,PRUDENTIAL FINANCIAL,1
ALLSTATE,SALESFORCE.COM,1
ALLSTATE,SEMPRA ENERGY,1
ALLY FINANCIAL,ALTRIA GROUP,1
ALLY FINANCIAL,AT&T,1
ALLY FINANCIAL,BOOZ ALLEN HAMILTON,1
ALLY FINANCIAL,BRISTOL-MYERS SQUIBB,1
ALLY FINANCIAL,IBM,1
ALLY FINANCIAL,MORGAN STANLEY,1
ALLY FINANCIAL,NORFOLK SOUTHERN,1
ALLY FINANCIAL,SEMPRA ENERGY,1
ALPHABET,ALLSTATE,1
ALPHABET,ALLY FINANCIAL,1
ALPHABET,ALTRIA GROUP,2
ALPHABET,AMAZON,1
ALPHABET,AMEREN,1
ALPHABET,AMERICAN AIRLINES GROUP,1
ALPHABET,AMGEN,1
ALPHABET,APPLE,1
ALPHABET,AT&T,1
ALPHABET,BOEING,4
ALPHABET,BOOZ ALLEN HAMILTON,1
ALPHABET,BRISTOL-MYERS SQUIBB,1
ALPHABET,CISCO SYSTEMS,1
ALPHABET,EASTMAN CHEMICAL,1
ALPHABET,ELI LILLY,1
ALPHABET,EXXONMOBIL,1
ALPHABET,GENERAL ELECTRIC,1
ALPHABET,IBM,1
ALPHABET,INTUIT,1
ALPHABET,JOHNSON & JOHNSON,1
ALPHABET,MARSH & MCLENNAN,1
ALPHABET,MERCK,1
ALPHABET,MORGAN STANLEY,1
ALPHABET,NORFOLK SOUTHERN,1
ALPHABET,NORTHROP GRUMMAN,1
ALPHABET,S&P GLOBAL,2
ALPHABET,SALESFORCE.COM,2
ALPHABET,SEMPRA ENERGY,1
ALPHABET,UNITED HEALTH GROUP,1
ALPHABET,WALMART,1
ALPHABET,WELLS FARGO,1
ALTRIA GROUP,ABBOTT LABORATORIES,4
ALTRIA GROUP,BIOGEN,1
ALTRIA GROUP,BOOZ ALLEN HAMILTON,1
ALTRIA GROUP,BRISTOL-MYERS SQUIBB,1
ALTRIA GROUP,COMCAST,2
ALTRIA GROUP,ELI LILLY,1
ALTRIA GROUP,EXXONMOBIL,1
ALTRIA GROUP,FLUOR,1
ALTRIA GROUP,GENERAL ELECTRIC,1
ALTRIA GROUP,GILEAD SCIENCES,1
ALTRIA GROUP,HORMEL FOODS,1
ALTRIA GROUP,IBM,1
